contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Rikkingahof"" Oosterwolde",0085::SB1,,1238,721,2,0,0,0,0,674,49,0,0,0,0,0,0,723,122,124,101,21,48,100,53,30,79,2,24,15,0,2
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Openbare Bibliotheek,0085::SB2,,1281,570,2,2,0,0,0,535,39,0,0,0,0,0,0,574,125,76,58,21,66,79,32,29,66,0,4,14,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Makkinga,0085::SB3,,826,446,0,0,0,0,0,407,39,0,0,0,0,0,0,446,97,66,73,12,33,50,11,21,40,0,28,14,0,1
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Kantine dorpsbelang Nijeberkoop,0085::SB4,,216,131,0,1,0,0,0,112,20,0,0,0,0,0,0,132,11,31,32,2,7,7,1,8,9,1,15,6,0,1
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""'t Kamphuis"" Oldeberkoop",0085::SB5,,1218,691,0,3,0,0,0,644,50,0,0,0,0,0,0,694,175,91,112,37,53,62,32,37,39,2,26,25,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Zaal ""'t Anker"" Elsloo",0085::SB6,,474,231,1,0,0,0,0,212,20,0,0,0,0,0,0,232,25,53,57,7,34,22,0,9,9,0,9,6,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Langedijke,0085::SB7,,319,215,0,0,0,0,0,192,23,0,0,0,0,0,0,215,21,40,44,8,20,23,11,16,8,0,16,8,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Verenigings Kamer,0085::SB8,,1351,679,0,2,0,0,1,622,58,0,0,0,0,0,0,681,128,102,92,10,79,91,24,32,59,1,30,30,0,1
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Aanloop"" Appelscha",0085::SB9,,1077,686,2,2,0,0,2,608,80,0,0,0,0,0,0,690,108,121,110,12,96,111,22,23,32,1,19,31,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Fochteloo,0085::SB10,,327,215,1,0,0,0,0,194,22,0,0,0,0,0,0,216,22,31,47,5,13,19,25,16,18,0,11,8,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Pro Rege"" Donkerbroek",0085::SB11,,1423,788,0,0,0,0,0,730,58,0,0,0,0,0,0,788,99,199,108,51,70,84,42,23,57,3,20,32,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Het Anker"" Oosterwolde",0085::SB12,,1138,583,4,0,0,0,0,545,42,0,0,0,0,0,0,587,104,104,91,20,56,84,17,17,42,0,27,17,0,4
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Haule,0085::SB13,,472,284,0,0,0,0,0,256,28,0,0,0,0,0,0,284,40,54,42,14,44,25,18,11,16,2,10,8,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau MFC Waskemeer,0085::SB14,,642,374,2,0,0,0,0,342,34,0,0,0,0,0,0,376,31,121,30,22,30,41,55,16,14,2,8,4,0,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Sinnehiem"" Haulerwijk",0085::SB15,,1188,601,1,2,0,0,0,551,54,0,0,0,1,0,0,605,73,134,40,21,88,62,100,24,28,1,15,14,1,0
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Enter"" Haulerwijk",0085::SB16,,1354,813,4,5,0,0,0,767,55,0,0,0,0,0,0,822,70,186,98,34,80,90,135,30,42,4,19,24,0,1
,Ooststellingwerf,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Ravenswoud,0085::SB17,,318,199,0,0,0,0,0,182,17,0,0,0,0,0,0,199,30,18,23,9,38,22,2,17,15,0,20,5,0,0
