contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Vita,0784::SB1,5121 CM,1958,845,6,1,0,0,0,770,82,0,0,0,0,0,0,852,134,137,109,160,99,81,22,48,26,0,0,14,3,6,6
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Boodschap,0784::SB2,5121 BC,1670,746,1,1,0,0,0,704,44,0,0,0,0,0,0,748,109,91,122,142,68,82,30,52,20,0,0,22,1,7,0
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Burg. van Mierloschool,0784::SB3,5121 HT,1502,607,1,3,0,0,0,554,57,0,0,0,0,0,0,611,105,97,81,124,55,55,20,39,17,0,0,10,0,2,2
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau School De Brakken,0784::SB4,5121 EM,2307,990,6,5,0,0,0,873,128,0,0,0,0,0,0,1001,140,128,115,207,82,133,43,67,34,0,0,25,1,14,1
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Sint Jozefschool,0784::SB5,5121 EG,2246,944,1,2,0,0,0,830,117,0,0,0,0,0,0,947,157,132,118,185,95,109,40,41,34,1,0,22,2,5,3
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Hal NS-station,0784::SB6,5121 EA,2097,988,5,1,0,0,0,890,104,0,0,0,0,0,0,994,210,118,107,160,98,124,46,60,34,0,0,26,0,5,0
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Woonstichting Leystromen,0784::SB7,5121 LN,995,380,0,1,0,0,1,345,35,0,0,0,0,0,0,381,93,42,61,55,37,35,9,24,11,0,0,11,0,2,0
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Sint Franciscus,0784::SB8,5126 GC,1845,892,0,6,0,0,0,821,77,0,0,0,0,0,0,898,155,214,81,107,85,94,20,81,24,1,2,17,2,9,0
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Sporthal Achter de Tuintjes,0784::SB9,5126 HA,1973,926,2,3,0,0,0,844,87,0,0,0,0,0,0,931,176,236,122,118,61,99,28,40,20,1,0,19,3,2,1
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Heemkring Molenheide,0784::SB10,5126 CE,2031,694,2,1,0,0,0,625,72,0,0,0,0,0,0,697,126,103,84,131,78,70,14,47,13,0,0,24,1,1,2
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Molenwiek,0784::SB11,5124 RM,999,468,1,0,0,0,0,416,53,0,0,0,0,0,0,469,91,157,54,54,22,37,9,18,5,0,0,18,1,2,0
Tilburg,Gilze en Rijen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau The Chump,0784::SB12,5125 NL,276,118,0,0,0,0,0,111,7,0,0,0,0,0,0,118,17,35,18,5,5,19,2,4,2,0,1,9,1,0,0
