contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gemeentehuis,0274::SB1,6861 GG,1733,1410,5,2,0,0,1,1365,41,0,0,10,0,0,0,1407,242,167,178,54,112,329,148,35,9,62,36,2,1,1,19,9,4,2,0
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Openbare Basisschool De Marlijn,0274::SB2,6862 XH,1935,1092,5,3,0,0,0,998,103,1,0,0,1,0,0,1101,245,100,94,50,79,272,119,29,5,56,22,3,0,2,7,3,1,4,1
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verpleeghuis De Molenberg,0274::SB3,6862 EZ,1795,1099,4,1,0,0,0,1008,96,0,0,0,0,0,0,1104,208,121,124,46,89,226,125,27,16,65,19,0,2,0,15,7,6,3,0
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verzorgingshuis Overdal,0274::SB4,6861 ZW,1634,966,2,1,2,0,0,887,84,0,0,0,2,0,0,971,169,101,109,47,99,162,131,29,8,49,28,3,0,0,15,6,4,5,1
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Parkflat De Valkenburcht,0274::SB5,6861 AJ,1730,842,1,1,0,0,0,760,85,0,1,0,1,0,0,845,251,78,96,61,50,167,51,17,4,34,17,1,0,1,8,3,2,1,0
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Ontmoetingskerk,0274::SB6,6865 WC,1489,776,2,1,0,0,0,711,69,0,1,0,1,0,0,780,131,70,93,58,108,141,53,19,5,48,28,0,2,2,6,4,8,0,0
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Poort van Doorwerth,0274::SB7,6865 GB,1660,1186,1,4,0,0,0,1082,109,0,0,0,0,0,0,1191,280,105,123,104,88,209,67,28,8,57,82,2,4,0,21,3,3,1,1
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Sporthal Doorwerth,0274::SB8,6865 CZ,1382,687,1,2,0,0,0,629,61,0,0,0,0,0,0,690,178,67,80,60,38,147,32,11,1,35,24,0,1,2,6,2,2,0,1
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Het Schild,0274::SB9,6874 AD,1408,777,0,2,0,1,0,718,62,0,0,0,1,0,0,780,132,87,94,50,62,148,75,36,8,48,23,0,1,0,7,1,3,1,1
Arnhem,Renkum,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Serviceflat De Koningshof,0274::SB10,6866 CM,1714,1072,2,3,0,1,0,984,94,0,0,0,1,0,0,1078,240,106,182,70,50,174,91,40,10,35,40,1,4,1,18,5,4,0,1
