contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,0153::SB1,,1751,1003,6,0,0,0,1,934,74,0,0,0,0,0,0,1009,76,128,157,77,127,239,39,86,1,19,17,37
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau OBS Het Zeggelt,0153::SB2,,1210,675,2,1,9,0,0,628,59,0,0,0,9,0,0,687,68,87,105,35,63,160,23,94,2,7,3,28
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau OBS La Res,0153::SB3,,1599,506,1,3,0,1,0,456,53,0,0,1,0,0,0,509,29,70,64,63,75,92,27,45,2,11,5,23
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau OBS Freinet,0153::SB4,,2856,899,7,4,0,0,0,833,76,0,0,1,0,0,0,909,87,163,87,95,154,131,33,63,6,30,12,38
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau AriënsZorgpalet De Eschpoort,0153::SB5,,1594,804,1,4,0,0,3,745,61,0,0,0,0,0,0,809,141,94,109,66,100,100,81,35,7,36,6,29
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Speeltuin Hoogeland,0153::SB7,,1698,639,4,3,0,0,0,587,61,0,2,0,2,0,0,648,83,59,62,89,128,88,42,37,4,16,7,24
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Zuider Speeltuin,0153::SB8,,1572,918,4,3,0,1,0,844,80,0,0,1,0,0,0,924,104,132,108,96,168,115,35,68,6,40,16,30
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Medisch Spectrum Twente,0153::SB9,,1716,682,5,1,0,0,0,625,63,0,0,0,0,0,0,688,52,98,100,80,100,118,31,55,6,14,6,22
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool St. Jan,0153::SB10,,1858,669,1,2,0,0,0,600,72,0,0,0,0,0,0,672,72,83,65,89,128,108,33,42,7,12,9,21
,Enschede,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Saxion,0153::SB11,,1834,1072,9,4,0,1,0,979,105,0,0,1,0,0,0,1084,91,186,135,78,120,245,34,121,9,18,7,28
