contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Het Oude Raadhuis,0340::SB1,3911 LJ,1654,732,0,0,0,0,0,657,75,0,0,0,0,0,0,732,126,40,93,99,103,35,47,39,92,29,26,1,2,0,0
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis,0340::SB2,3911 MJ,1602,901,1,7,0,0,1,794,115,0,0,0,1,0,0,910,116,87,83,137,108,54,66,68,116,29,31,0,4,0,2
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Vlam,0340::SB3,3911 XK,1002,627,4,1,0,0,0,566,64,0,0,2,0,0,0,630,108,43,98,88,71,34,31,35,64,21,26,0,8,0,0
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Steakhouse Cunera,0340::SB4,3911 AS,1700,1067,3,2,0,0,0,943,129,0,0,0,0,0,0,1072,204,89,157,167,83,89,70,51,75,32,46,0,3,1,0
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Ontmoetingskerk,0340::SB5,3911 EA,1331,741,5,1,0,0,0,672,75,0,0,0,0,0,0,747,73,64,116,82,106,21,61,44,126,24,18,0,3,3,0
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Rhenendael,0340::SB6,3911 RM,847,549,0,0,0,0,0,474,75,0,0,0,0,0,0,549,145,25,104,34,53,3,19,32,117,8,5,1,1,1,1
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Achterberg,0340::SB7,3911 CX,1039,934,0,2,0,0,0,778,158,0,0,0,0,0,0,936,92,23,94,33,39,11,28,45,545,11,12,0,1,0,0
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Het Bestegoed I,0340::SB8,3921 CM,1729,732,2,0,0,0,1,652,82,0,0,0,1,0,0,735,115,52,78,57,91,24,51,70,136,21,20,0,9,2,6
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Het Bestegoed II,0340::SB9,3921 CM,1611,986,3,1,0,0,0,869,120,0,0,1,0,0,0,989,124,59,97,74,152,16,43,71,282,25,29,0,9,0,5
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Tollekamp,0340::SB10,3911 ND,1390,554,5,3,0,0,0,500,63,0,0,0,1,0,0,563,48,56,84,65,67,23,46,35,78,28,19,2,0,2,1
,Rhenen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gebouw Bethel,0340::SB11,3911 CS,745,276,3,1,0,0,0,224,56,0,0,0,0,0,0,280,9,3,54,10,12,1,2,21,155,2,4,0,0,0,3
