contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ons Dorpshuis,1730::SB1,9765 AP,1199,693,8,1,0,0,0,646,56,0,0,0,0,0,0,702,95,136,50,56,75,120,15,79,34,2,15,16
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Notenkraker,1730::SB2,9765 AC,1216,549,1,2,0,2,0,501,53,0,0,0,2,0,0,554,73,102,50,51,49,108,14,64,24,0,8,6
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Else van der Laanhuis,1730::SB3,9761 GR,1403,998,3,0,0,0,0,913,88,0,0,0,0,0,0,1001,182,220,88,66,88,152,37,110,25,2,16,12
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Sportcentrum De Marsch,1730::SB4,9765 EA,1314,893,2,0,0,0,1,807,87,0,0,0,0,0,0,895,138,191,63,75,75,158,27,105,40,3,10,8
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Restaurant 't Huys van Bunne,1730::SB5,9496 PA,601,322,1,0,0,0,0,279,44,0,0,0,0,0,0,323,30,103,26,28,16,49,10,35,9,1,10,5
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFA Borchkwartier,1730::SB6,9766 PP,1603,927,1,0,0,0,0,819,109,0,0,0,0,0,0,928,122,231,66,37,41,256,41,91,23,3,6,10
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Verzorgingscentrum Kornoeljehof,1730::SB7,9481 AD,1041,519,2,1,0,0,0,472,50,0,0,0,0,0,0,522,112,96,60,51,41,59,26,24,30,1,11,8
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau O.b.s. De Vijverstee,1730::SB8,9481 GA,1207,940,1,1,0,0,0,852,90,0,0,0,0,0,0,942,165,143,108,82,106,133,30,92,49,1,20,11
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFA YdersHoes,1730::SB9,9494 RB,845,477,2,0,0,0,0,438,41,0,0,0,0,0,0,479,63,103,23,60,72,56,13,42,24,0,11,10
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Tynaarlo,1730::SB10,9482 PJ,1390,738,5,1,0,0,0,685,59,0,0,0,0,0,0,744,121,176,54,68,98,87,38,51,15,1,17,12
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Oudemolen,1730::SB11,9484 TA,445,265,1,0,0,0,0,241,25,0,0,0,0,0,0,266,38,77,15,16,20,40,12,32,7,0,5,3
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFA De Zeijer Hoogte,1730::SB12,9491 AA,571,350,2,2,0,0,0,324,30,0,0,0,0,0,0,354,68,91,20,22,41,40,13,25,8,2,15,5
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gebouw buurtvereniging,1730::SB13,9473 TL,345,192,0,1,0,0,0,172,21,0,0,0,0,0,0,193,29,37,14,31,15,23,12,15,4,0,8,4
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Chr.Basisschool De Tol,1730::SB14,9472 WH,1450,804,4,0,0,0,0,743,65,0,0,0,0,0,0,808,139,110,97,60,100,107,54,88,23,6,11,9
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Sprookjeshof,1730::SB15,9471 AR,1214,623,3,1,0,0,0,580,47,0,0,0,0,0,0,627,83,119,84,68,62,63,45,39,30,2,17,11
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Sporthal De Zwet,1730::SB16,9472 RN,1298,822,5,0,0,0,1,762,64,0,0,0,0,0,0,827,120,113,88,58,120,113,64,75,31,4,24,12
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Geref.Kerk Vrijgemaakt,1730::SB17,9471 PR,1338,819,1,1,0,1,0,760,62,0,0,0,1,0,0,822,124,84,154,53,80,72,141,65,23,4,11,8
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Tienelswolde Woon Zorg Centrum,1730::SB18,9471 JD,1323,694,1,1,0,0,0,639,57,0,0,0,0,0,0,696,106,140,111,45,57,93,74,34,11,5,10,8
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Rest. De Gasterie,1730::SB19,9475 PA,290,195,0,0,0,0,0,181,14,0,0,0,0,0,0,195,23,35,15,9,14,42,14,33,4,0,4,2
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Soc.Cult.Gebouw,1730::SB20,9474 PD,250,153,1,0,1,0,0,135,18,0,0,1,0,0,0,153,22,39,8,14,19,16,10,11,6,0,7,1
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis,1730::SB21,9481 AW,1151,499,0,1,0,0,0,448,52,0,0,0,0,0,0,500,90,115,51,43,37,46,21,51,17,2,15,11
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Openbare Bibliotheek Eelde,1730::SB22,9761 BA,1359,664,4,2,0,0,0,603,67,0,0,0,0,0,0,670,147,76,49,77,91,81,20,55,31,1,20,16
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau O.b.s. De Ekkel,1730::SB23,9761 HJ,1246,759,5,0,0,1,0,710,53,0,0,1,0,0,0,763,143,119,50,45,89,136,30,86,32,1,18,10
,Tynaarlo,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Synagoge,1730::SB24,9471 KJ,1299,776,3,2,0,0,0,708,73,0,0,0,0,0,0,781,93,177,96,72,88,89,58,53,23,2,20,5
