contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gemeentehuis Kerkdriel,0263::SB1,5331 CB,2193,1125,6,3,0,0,0,945,189,0,0,0,0,0,0,1134,246,58,170,284,149,97,25,13,3,25,38,0,3,0,1,1,9,3
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Leijenstein,0263::SB3,5331 TA,1114,638,2,2,0,0,0,564,78,0,0,0,0,0,0,642,97,39,140,149,89,34,10,7,4,16,44,0,0,0,0,1,7,1
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau MFC De Kreek,0263::SB4,5331 KC,2545,713,3,1,0,0,0,596,121,0,0,0,0,0,0,717,174,26,111,202,83,61,10,0,1,12,15,1,0,1,3,0,13,0
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Boxhof,0263::SB6,5334 JR,1158,727,5,1,0,0,0,591,142,0,0,0,0,0,0,733,181,20,181,179,69,31,6,0,7,12,22,1,2,0,2,5,8,1
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Gelre's End,0263::SB7,5321 GG,1269,750,1,1,0,0,0,663,92,0,3,0,3,0,0,755,145,42,150,109,65,71,18,24,74,17,25,1,0,1,2,1,5,0
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Rehoboth,0263::SB8,5321 TM,2377,1028,1,0,0,3,0,896,136,0,0,0,3,0,0,1032,162,49,211,103,94,123,34,50,110,32,39,0,1,0,4,6,8,2
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Lindeboom,0263::SB10,5324 EP,1306,533,1,0,0,0,2,477,55,0,0,0,0,0,0,534,87,38,116,91,64,55,5,6,9,22,30,2,0,0,0,0,7,1
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Weesboom,0263::SB11,5324 AT,1375,667,2,2,1,0,0,572,100,0,0,0,1,0,0,672,144,22,195,128,40,66,13,8,5,13,26,0,0,0,2,2,2,1
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Ons Huis,0263::SB13,5325 XE,790,450,0,1,0,0,0,395,56,0,0,0,0,0,0,451,65,29,122,56,37,25,11,35,42,4,21,1,1,0,0,0,1,0
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis De Vrijheid,0263::SB14,6624 KN,981,473,6,0,0,0,0,429,51,0,0,0,0,0,0,480,89,58,55,76,57,43,21,6,6,19,26,1,2,0,2,1,10,1
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Vaste Burcht,0263::SB16,5328 ES,2121,933,6,4,0,0,0,844,99,0,0,0,0,0,0,943,210,71,153,121,97,109,53,17,10,33,46,0,2,1,1,2,4,3
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis De Kil,0263::SB17,5327 AR,537,383,2,1,0,0,0,348,38,0,0,0,0,0,0,386,85,36,71,39,41,49,22,2,2,15,16,0,0,2,1,1,1,0
Nijmegen,Maasdriel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Drie Linden,0263::SB18,5335 LK,499,266,0,1,0,0,0,231,36,0,0,0,0,0,0,267,36,15,76,32,44,24,12,2,3,10,7,2,1,1,0,1,0,0
