contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis,0736::SB1,,1711,1140,4,2,0,0,0,1043,103,0,0,0,0,0,0,1146,279,60,232,135,131,30,87,41,24,71,28,2,16,1,3
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Bibliotheek AVV,0736::SB2,,2058,967,2,2,0,0,0,864,107,0,0,0,0,0,0,971,211,51,213,98,125,24,87,35,14,60,38,0,8,1,2
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Zaal Driehuis,0736::SB3,,2105,844,5,2,0,0,0,762,92,0,0,0,3,0,0,854,189,52,159,115,136,23,46,31,14,38,31,1,6,1,2
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Verenigingsgebouw Ons Streven,0736::SB4,,1080,558,0,2,0,0,0,507,53,0,0,0,0,0,0,560,140,26,154,41,67,24,24,12,4,32,22,3,7,1,1
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Springbok,0736::SB5,,722,414,4,0,0,0,0,371,47,0,0,0,0,0,0,418,116,34,129,33,41,11,5,8,4,11,19,0,3,0,0
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau voorm. De Hoeksteen,0736::SB6,,1436,772,0,2,0,0,0,683,91,0,0,0,0,0,0,774,174,55,147,103,101,21,54,21,11,44,20,2,10,4,5
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Veenlanden College,0736::SB7,,1529,858,0,0,0,0,0,776,82,0,0,0,0,0,0,858,267,62,142,141,75,25,47,24,4,38,22,0,6,0,5
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS De Trekvogel,0736::SB8,,1932,983,1,3,0,0,0,886,101,0,0,0,0,0,0,987,271,59,136,138,147,43,41,28,18,54,34,1,10,2,1
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS Molenland,0736::SB9,,2268,1201,1,5,0,6,0,1059,142,0,0,6,0,0,0,1201,317,81,225,175,130,39,68,27,10,57,43,2,11,0,16
,De Ronde Venen,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Zorgcentrum Maria Oord (Vinkenoord),0736::SB10,,1641,894,5,4,0,0,0,798,105,0,0,0,0,0,0,903,208,55,173,86,122,12,43,40,44,50,34,0,18,1,8
