contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis,0074::SB1,8441 ES,1330,902,6,2,0,0,1,844,65,0,0,0,0,0,0,910,201,100,105,71,70,111,33,63,93,3,23,29,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Mariënbosch,0074::SB2,8441 BN,1333,618,0,0,0,0,0,576,42,0,0,0,0,0,0,618,122,112,79,54,42,81,27,19,52,1,10,17,1,1
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau obs van Maasdijkschool,0074::SB3,8441 CP,1320,700,0,1,0,2,0,645,58,0,0,0,2,0,0,703,159,85,83,58,66,85,27,30,63,5,24,15,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymnastieklokaal van Kleffensschool,0074::SB4,8447 BS,1262,505,1,0,0,0,1,469,36,0,0,0,0,0,0,506,119,66,62,36,34,46,42,33,38,3,10,14,0,2
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymnastieklokaal van Kleffensschool,0074::SB5,8447 BS,1298,765,4,4,0,1,1,772,1,0,0,0,1,0,0,774,163,93,81,56,72,93,46,47,76,4,15,19,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Serviceflat Heerenhage,0074::SB6,8446 DC,1110,629,1,2,0,0,1,592,39,0,0,0,0,0,0,632,136,84,78,34,54,87,23,34,56,3,17,22,1,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum de As,0074::SB7,8446 SC,1275,643,0,2,0,2,0,602,41,0,0,2,0,0,0,643,107,50,50,46,76,119,54,37,57,5,25,14,2,1
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau EKC Atlas,0074::SB8,8446 MD,1236,587,3,1,0,0,0,546,45,0,0,0,0,0,0,591,128,78,34,36,54,77,55,27,60,0,27,11,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Coornhertstate,0074::SB9,8446 KC,2073,1006,5,5,0,4,0,939,73,0,0,4,0,0,0,1012,216,157,80,75,72,152,69,30,90,1,29,30,1,4
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Brandweerkazerne,0074::SB11,8445 PZ,1211,907,3,0,1,0,0,819,90,0,0,1,0,0,0,909,145,148,260,43,34,42,32,31,143,0,16,13,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Heremastate,0074::SB13,8444 AN,1496,687,2,1,0,0,0,635,55,0,0,0,0,0,0,690,108,133,80,49,78,85,32,28,50,0,24,18,0,2
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Serviceflat Oranjewoud,0074::SB14,8443 EL,1874,961,3,6,0,0,0,896,74,0,0,0,0,0,0,970,200,150,109,78,66,123,56,28,77,4,38,30,0,2
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum De Kempenaer,0074::SB15,8442 EM,1740,716,2,1,0,2,0,664,53,0,0,2,0,0,0,717,148,101,67,51,55,108,45,31,58,4,27,18,2,1
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Marijke Hiem,0074::SB16,8442 GH,1717,801,1,3,0,3,0,759,43,0,0,3,0,0,0,802,201,102,70,63,72,113,45,31,57,4,17,25,1,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau de Heerenveense school,0074::SB18,8442 CE,1500,635,2,2,0,1,0,592,48,0,0,0,1,0,0,640,167,78,55,37,48,102,17,34,46,3,24,23,1,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Kantine VV Heerenveen,0074::SB19,8448 MT,1529,904,3,2,0,1,0,829,81,0,0,0,1,0,0,910,159,121,237,54,47,43,43,27,125,5,30,12,0,1
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau MFC ""de Spil""",0074::SB20,8448 RP,1515,831,3,4,0,0,0,770,68,0,0,0,0,0,0,838,161,104,151,64,36,65,52,31,131,4,19,13,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""it Trefpunt""",0074::SB21,8454 KG,994,616,2,0,0,0,0,584,34,0,0,0,0,0,0,618,101,113,125,43,36,50,37,21,62,4,17,4,0,3
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis ""de Kiekenhof""",0074::SB22,8414 LJ,2082,1081,0,4,0,1,0,989,95,0,0,1,0,0,0,1084,287,170,99,125,96,80,50,33,84,2,44,11,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau het Streekcentrum,0074::SB24,8411 ZD,844,388,4,0,0,0,0,356,36,0,0,0,0,0,0,392,71,63,31,42,36,62,8,23,23,1,17,11,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis ""it Pipegaeltsje""",0074::SB25,8411 ZE,639,331,3,1,0,0,0,291,44,0,0,0,0,0,0,335,46,65,50,35,24,42,7,14,26,1,17,4,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Ontmoetingscentrum ""Yn 'e Beage""",0074::SB26,8411 XN,1816,787,4,1,0,0,0,711,83,0,2,0,2,0,0,794,165,60,45,123,108,187,10,21,29,2,26,9,2,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Multifunctioneel centrum ""de Barte""",0074::SB28,8456 HR,1415,832,0,1,0,0,0,766,67,0,0,0,0,0,0,833,156,117,124,113,61,62,41,35,82,3,15,19,2,2
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Hartmanshûs Tjalleberd,0074::SB29,8458 CC,1362,736,5,0,0,1,1,686,55,0,0,0,1,0,0,742,110,111,117,101,53,80,41,35,63,3,13,9,0,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Verzorgingscentrum Leppehiem,0074::SB30,8491 GJ,1731,929,1,3,0,0,1,864,68,0,0,0,0,0,0,933,224,141,119,100,42,109,14,47,75,2,28,25,3,0
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau obs Akkrum,0074::SB31,8491 HA,1634,967,2,3,0,2,0,908,66,0,0,0,2,0,0,974,156,131,210,92,72,76,26,38,116,5,17,20,5,3
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Dorpshuis ""De Jister""",0074::SB32,8495 KJ,1128,597,1,2,0,0,0,553,47,0,0,0,0,0,0,600,77,140,75,97,28,50,32,25,47,0,6,18,0,2
,Heerenveen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau It Deelshûs,0074::SB33,8468 BJ,430,281,0,0,0,0,0,261,20,0,0,0,0,0,0,281,71,42,35,35,30,19,9,9,18,1,8,4,0,0
