contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Rosengaerde,0148::SB1,7721 CT,1375,956,5,0,0,0,0,872,89,0,0,0,0,0,0,961,309,110,101,52,75,94,114,22,20,16,29,14
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1355,707,1,1,0,0,0,652,57,0,0,0,0,0,0,709,336,63,81,35,39,51,25,10,3,24,29,11
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Wiekelaar,0148::SB3,7722 ST,1172,643,2,1,0,0,1,579,66,0,0,0,0,0,0,646,242,34,55,55,26,34,70,11,14,7,81,14
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1270,764,0,3,0,2,0,685,84,0,0,0,0,0,0,769,344,44,98,31,39,49,69,21,11,23,23,12
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,693,442,0,0,0,0,1,385,56,0,0,0,0,0,0,442,164,20,56,22,16,33,62,10,32,9,11,7
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,1832,1052,0,1,0,1,1,943,110,0,0,0,0,0,0,1054,276,75,141,57,67,89,225,19,40,11,40,12
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,0148::SB7,7721 AX,1010,614,3,2,0,0,0,566,53,0,0,0,0,0,0,619,163,60,76,19,57,82,60,27,11,17,28,14
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1310,1009,3,1,0,0,0,930,82,0,0,1,0,1,0,1012,231,103,116,41,67,126,201,27,26,16,39,16
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,974,480,3,2,0,0,0,438,47,0,0,0,0,0,0,485,208,32,89,33,23,33,12,12,1,19,9,9
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1591,678,5,1,0,0,0,622,62,0,0,0,0,0,0,684,172,63,107,40,46,85,93,17,4,22,18,11
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Hofje van Buisman,0148::SB11,8151 BL,1174,591,2,5,0,0,0,555,43,0,0,0,0,0,0,598,206,49,95,36,57,49,21,8,7,28,29,6
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau NH Jeugdgebouw,0148::SB12,7711 CD,1675,977,1,2,0,0,0,887,93,0,0,0,0,0,0,980,328,67,151,61,46,59,136,9,22,37,49,12
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau CBS Het Kompas,0148::SB13,7711 GC,1048,506,0,0,0,0,0,447,59,0,0,0,0,0,0,506,163,16,57,34,26,26,72,5,65,5,22,15
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Maranathakerk,0148::SB14,7711 HS,1425,771,2,1,0,0,0,689,85,0,0,0,0,0,0,774,213,58,102,62,36,35,106,10,53,30,48,18
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Restaurant Madrid,0148::SB15,7722 HS,497,247,0,0,0,0,0,204,43,0,0,0,0,0,0,247,125,13,37,10,8,10,9,8,10,3,6,8
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Schakel,0148::SB16,7711 KK,1513,728,2,1,0,0,0,656,75,0,0,0,0,0,0,731,207,50,89,74,47,80,112,8,10,14,25,12
,Dalfsen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Hulstkampen,0148::SB17,7711 JE,1346,675,0,0,0,0,0,625,50,0,0,0,0,0,0,675,196,67,50,46,73,36,104,13,23,20,41,6
