contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis Winsum,0053::SB1,9951 AC,783,406,2,1,0,0,1,366,42,0,0,0,0,0,0,409,83,37,26,95,15,15,60,21,7,12,6,21,0,2,2,0,2,0,2
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Winkheem,0053::SB2,9951 BG,827,486,3,1,0,2,0,452,40,0,0,0,2,0,0,492,106,41,45,123,18,17,49,22,8,11,6,33,1,0,1,0,2,0,3
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Sportschool Veldwijk,0053::SB3,9951 TD,1141,843,9,2,0,0,0,776,78,0,0,0,0,0,0,854,167,81,70,117,78,36,129,31,12,30,11,64,0,1,7,2,0,0,7
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Agricola,0053::SB4,9953 PH,878,645,0,2,0,0,0,590,57,0,0,0,0,0,0,647,76,76,75,129,32,40,63,33,13,20,6,60,2,4,5,0,4,0,7
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau CSG Winsum,0053::SB5,9951 HX,1020,669,2,2,0,0,0,613,61,0,1,0,1,0,0,674,138,39,74,72,43,30,135,32,11,24,10,51,1,0,2,0,2,0,5
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Hoogte Zalenverhuur,0053::SB6,9951 EP,943,610,3,0,0,2,1,561,53,0,0,0,2,0,0,615,181,30,83,72,35,25,63,28,11,16,11,42,1,3,2,1,1,0,5
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Sporthal Ripperdahal,0053::SB7,9951 JH,1001,539,2,1,0,0,0,507,35,0,0,0,0,0,0,542,123,31,85,53,24,36,63,45,6,22,7,25,0,6,5,0,1,0,7
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau ""Op Streek""",0053::SB8,9956 PN,425,246,0,2,0,0,0,220,28,0,0,0,0,0,0,248,37,23,47,10,15,14,9,29,4,18,1,36,0,0,1,1,0,0,1
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Schleurholtshuus,0053::SB9,9891 AC,898,488,5,2,0,0,0,444,51,0,0,0,0,0,0,495,77,41,75,91,34,26,28,56,6,22,4,13,0,5,3,1,0,0,6
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Viskenij Wooncentrum,0053::SB10,9953 PW,813,382,0,0,0,0,0,348,34,0,0,0,0,0,0,382,56,13,42,92,18,20,51,9,7,13,8,38,0,2,9,0,2,0,2
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Kromme Akkers,0053::SB11,9893 PD,356,252,0,0,0,0,0,228,24,0,0,0,0,0,0,252,43,19,28,20,16,9,15,55,5,25,2,10,0,0,0,1,1,0,3
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau ""Ubbegaheem""",0053::SB12,9771 BB,942,651,0,0,0,0,0,599,52,0,0,0,0,0,0,651,63,37,60,112,30,30,158,53,15,28,11,36,1,3,6,0,1,0,7
,Winsum,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau ""Artharpe""",0053::SB13,9774 PH,515,354,0,1,0,0,0,328,27,0,0,0,0,0,0,355,69,43,39,30,23,18,19,52,10,13,2,21,0,3,6,0,0,2,4
