contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Gemeentehuis, Tubbergen",0183::SB1,7651 CV,1557,730,0,1,0,0,0,642,89,0,0,0,0,0,0,731,335,35,138,79,48,50,6,12,0,12,5,10
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau De Delle, Tubbergen",0183::SB2,7651 KT,1510,658,4,1,0,0,0,581,82,0,0,0,0,0,0,663,323,46,80,63,36,54,4,17,1,25,6,3
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau RK BS De Wiekslag,0183::SB3,7651 BS,1426,686,0,3,0,0,0,605,84,0,0,0,0,0,0,689,307,54,79,81,53,69,3,11,0,18,7,4
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Ontm ruimte De Aanleg Geesteren,0183::SB4,7651 VZ,1682,868,1,5,0,0,0,725,149,0,0,0,0,0,0,874,506,30,115,92,36,28,5,10,10,21,12,3
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Zaal Kottink Geesteren,0183::SB5,7678 AW,1563,647,0,14,0,0,0,577,84,0,0,0,0,0,0,661,394,24,88,52,22,19,4,6,11,15,5,7
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau De Spil, Fleringen",0183::SB6,7666 LJ,672,404,0,1,0,0,0,353,52,0,0,0,0,0,0,405,248,12,60,32,12,20,1,4,3,3,0,9
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Dorpshuis 't Eschhoes,0183::SB7,7661 RA,1125,567,2,2,0,0,0,484,87,0,0,0,0,0,0,571,340,21,82,23,26,35,1,18,0,11,5,5
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Zaal Morshuis, Albergen",0183::SB8,7665 RX,1406,623,0,3,0,0,0,527,99,0,0,0,0,0,0,626,347,12,134,40,29,34,3,10,0,7,2,5
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Clubgeb. Concordia, Albergen",0183::SB9,7665 AB,1225,650,1,2,0,0,0,580,73,0,0,0,0,0,0,653,405,22,82,42,27,34,1,10,1,15,3,8
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Rabo Kultuurhoes Reutum,0183::SB10,7667 PV,1004,500,1,1,0,2,1,443,60,0,0,0,2,0,0,504,356,9,41,32,24,19,1,5,0,5,5,3
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau De Gaarf, Langeveen",0183::SB11,7679 VG,972,432,0,4,0,0,0,362,74,0,0,0,0,0,0,436,287,13,45,45,13,11,2,1,2,8,2,3
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Kulturhus Manderveen,0183::SB12,7664 VV,496,258,0,1,0,0,0,229,30,0,0,0,0,0,0,259,138,18,23,31,12,13,4,5,0,7,1,6
,Tubbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau De Haambrink, Mariaparochie",0183::SB13,7614 LA,1420,628,0,0,0,0,1,560,67,0,0,0,0,0,0,628,319,37,77,75,34,38,3,10,1,22,5,7
