contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Ned. Herv. Weeshuis,0852::SB1,1141 BN,1546,926,3,4,0,1,1,831,102,0,0,0,1,0,0,934,171,93,77,137,81,129,125,42,18,19,15,7,1,7,4
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau zorgcentra Evean Swaensborch,0852::SB2,1141 VZ,1434,769,6,3,0,1,1,701,75,0,0,1,0,0,0,777,148,63,137,55,72,126,52,24,22,30,18,3,1,16,2
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau openbare basisschool De Fuut,0852::SB3,1141 JL,949,536,0,1,0,1,0,481,55,0,0,1,0,0,0,536,99,75,70,77,57,52,36,25,7,18,10,1,0,5,4
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Gemeentehuis,0852::SB4,1141 GV,1362,674,1,3,0,0,0,619,59,0,0,0,0,0,0,678,78,57,105,62,99,113,51,28,16,33,13,3,0,6,10
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Sociaal Cultureelcentrum De Bolder,0852::SB5,1141 SB,1170,746,5,0,0,0,0,680,71,0,0,0,0,0,0,751,149,97,77,106,104,44,80,25,14,28,7,1,0,7,7
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Karmac Bibliotheek,0852::SB6,1141 SE,1293,793,2,3,0,1,0,715,82,0,0,1,0,0,0,797,179,83,92,84,74,111,56,35,10,32,13,8,0,6,10
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Het Hart van Katwoude,0852::SB7,1145 PN,205,159,0,0,0,0,0,128,31,0,0,0,0,0,0,159,49,5,17,7,4,38,21,3,1,4,4,0,0,6,0
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Dorpshuis Het Trefpunt,0852::SB8,1156 BM,1465,845,2,4,0,0,0,738,113,0,0,0,0,0,0,851,133,52,91,50,86,311,56,10,6,10,32,1,0,5,2
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Karmac bibliotheek,0852::SB9,1151 AK,861,579,2,3,0,0,0,507,77,0,0,0,0,0,0,584,139,59,26,131,45,46,77,31,3,7,7,0,0,1,7
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau wijksteunpunt Broek in Waterland,0852::SB10,1151 CD,1077,635,0,1,0,0,1,562,73,0,0,0,0,0,0,636,125,53,86,105,56,68,63,35,4,11,11,3,0,8,7
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau obs De Overhaal,0852::SB11,1153 PD,329,229,0,1,0,0,0,206,24,0,0,0,0,0,0,230,44,19,6,39,14,26,36,21,5,5,13,0,0,0,1
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Dorpshuis Ilpendam,0852::SB12,1452 PR,1413,841,1,3,0,0,0,780,65,0,0,0,0,0,0,845,171,74,96,83,64,179,89,23,11,25,11,2,0,9,4
Den Helder,Waterland,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,1454 AA,323,201,0,0,0,0,0,177,24,0,0,0,0,0,0,201,51,22,19,21,10,19,31,8,1,6,5,5,1,1,1
