contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Beetsterzwaag, Gemeentehuis",0086::SB1,9244 CR,1584,855,1,0,0,0,3,765,88,0,0,0,0,0,0,856,156,141,138,82,34,73,35,53,97,3,29,13,0,1
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Beetsterzwaag, Dorpshuis",0086::SB2,9244 CH,1401,963,3,1,0,4,0,888,83,0,0,0,4,0,0,971,215,155,121,76,43,110,50,54,103,2,22,9,3,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Bakkeveen, It Ankerplak",0086::SB3,9243 KN,1464,838,0,0,0,0,0,738,100,0,0,0,0,0,0,838,135,161,121,45,55,108,48,41,83,4,26,11,0,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Frieschepalen, De Dobber",0086::SB4,9249 MC,738,450,2,1,0,0,0,408,45,0,0,0,0,0,0,453,46,99,23,23,34,22,175,9,7,2,5,5,0,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Gorredijk, De Miente",0086::SB5,8401 AC,1430,675,1,2,0,0,1,626,51,0,0,0,0,0,0,678,179,99,97,58,45,80,14,24,53,3,8,15,0,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Gorredijk, De Skâns",0086::SB6,8401 DV,1687,866,2,3,0,0,0,813,58,0,0,0,0,0,0,871,161,111,98,77,84,163,41,33,55,5,20,17,1,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Gorredijk, R.K.-kerk",0086::SB7,8401 RV,1243,467,2,1,1,0,0,444,25,0,0,1,0,0,0,469,108,54,33,34,62,87,22,11,24,0,10,21,0,1
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Hemrik, Dorpshuis",0086::SB8,8409 JW,569,364,0,3,0,1,0,329,39,0,0,0,1,0,0,368,55,36,52,48,30,59,9,25,25,3,17,4,1,0
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Langezwaag, Dorpshuis",0086::SB9,8404 BV,1187,554,4,3,0,0,0,510,51,0,0,0,0,0,0,561,118,69,83,81,45,52,15,21,45,1,20,3,0,1
,Opsterland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Lippenhuizen, Dorpshuis",0086::SB10,8408 HH,1034,598,0,0,0,0,0,532,66,0,0,0,0,0,0,598,137,51,90,48,35,97,26,21,59,3,19,11,1,0
