contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),CDA,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),50PLUS,Partij voor de Dieren,Volkspartij Limburg,LOKAAL-LIMBURG,Partij voor Leefbaarheid en Democratie
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeentehuis Gulpen,1729::SB1,6271 DA,1347,781,0,3,0,0,0,671,114,0,1,0,1,0,0,785,154,206,66,51,104,64,72,20,22,5,16,1
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum Dr. Ackenshuis,1729::SB2,6271 EA,1029,469,2,2,0,0,0,406,67,0,0,0,0,0,0,473,117,105,42,43,71,20,31,16,11,3,9,1
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Reijmerstok,1729::SB3,6274 NK,641,338,0,1,0,0,2,301,36,0,0,0,0,0,0,339,53,140,33,11,26,30,24,8,11,0,1,1
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Wielderhoes,1729::SB4,6321 BG,1062,522,5,1,0,0,0,479,49,0,0,0,0,0,0,528,97,164,48,20,63,27,51,14,17,8,11,2
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Basisschool Op de Tien Bunder,1729::SB5,6321 CP,1065,479,1,1,0,0,0,435,46,0,0,0,0,0,0,481,84,140,41,23,78,35,25,23,14,2,14,0
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis A gen Sjoeël,1729::SB6,6281 AE,1532,778,9,2,0,0,0,689,101,0,1,0,1,0,0,790,128,241,55,41,99,92,48,26,14,4,28,2
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Patronaat (Epen),1729::SB7,6285 BD,898,434,3,2,0,0,0,371,68,0,0,0,0,0,0,439,70,174,47,9,36,28,29,18,14,2,7,0
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Café A gen Baag (Nijswiller),1729::SB8,6286 CA,594,273,3,0,0,0,0,233,43,0,0,0,0,0,0,276,48,70,14,12,50,20,23,14,12,1,7,2
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis A ge Wienhoes,1729::SB9,6286 AM,613,346,0,2,0,0,0,302,46,0,0,0,0,0,0,348,57,76,26,26,67,27,27,19,10,1,10,0
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Woonzorgcomplex Agathahöfke,1729::SB10,6287 AL,1410,818,2,3,0,0,0,737,88,0,2,0,2,0,0,825,120,295,70,52,97,47,67,24,23,4,18,1
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Wilder Tref,1729::SB11,6286 BG,342,183,2,0,0,0,1,170,14,0,0,0,0,0,0,185,33,42,6,8,29,15,27,4,13,2,4,0
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Fanfarezaal Berg en Dal (Slenaken),1729::SB12,6277 NC,527,317,0,0,0,0,0,287,30,0,0,0,0,0,0,317,38,83,41,10,48,30,26,16,12,4,8,1
Maastricht,Gulpen-Wittem,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Verpleeghuis Klein Gulpen,1729::SB13,6271 AA,866,266,0,2,0,0,0,234,34,0,0,0,0,0,0,268,57,79,16,19,36,18,17,12,8,0,4,0
