contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Stadhuis,0297::SB1,5301 AL,1477,879,1,3,0,0,0,794,89,0,0,0,0,0,0,883,209,99,82,59,93,175,76,9,6,38,19,0,0,1,5,2,6,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Brede school de Waluwe cult café,0297::SB2,5301 RT,1570,818,6,0,0,2,0,748,78,0,0,0,2,0,0,826,159,74,128,106,69,140,41,29,17,25,19,0,1,0,0,0,9,1
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Brandweerkazerne,0297::SB3,5301 HK,1561,639,1,5,1,0,0,583,61,0,0,1,0,0,0,644,100,71,76,111,96,61,26,46,9,12,16,3,0,1,1,2,7,1
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Grote Aak,0297::SB4,5301 GX,1548,809,7,4,0,1,0,744,78,0,1,0,2,0,0,822,120,92,114,114,102,99,36,39,8,28,27,6,0,0,8,6,9,1
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Brede school  'de Zandkampen',0297::SB5,5301 WE,1492,782,5,1,0,0,0,723,65,0,0,0,0,0,0,788,110,100,100,64,102,117,58,40,25,26,17,0,1,1,2,5,9,5
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Sporthal Cambium,0297::SB6,5301 DH,1468,785,0,3,0,0,1,690,97,0,0,0,0,0,0,788,153,74,99,84,71,114,33,46,34,26,23,5,0,0,6,1,14,2
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Kerkwijk,0297::SB7,5315 AL,720,419,1,1,0,0,0,364,57,0,0,0,0,0,0,421,55,27,76,42,18,32,6,51,89,10,9,0,0,0,2,0,2,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau ""Eben Haëzer"" Bruchem",0297::SB8,5314 AX,1225,780,1,1,0,0,0,673,109,0,0,0,0,0,0,782,128,26,123,64,44,43,19,160,134,12,16,0,1,0,5,2,3,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau Zorgcentrum "" 't Slot""",0297::SB9,5311 CM,1673,940,2,5,0,1,0,829,119,0,0,0,1,0,0,948,103,35,186,58,40,62,16,117,283,17,15,3,0,0,1,1,1,2
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau CBS 'de Regenboog',0297::SB10,5313 AP,516,319,2,0,0,0,0,276,45,0,0,0,0,0,0,321,39,9,54,19,14,10,7,29,127,5,4,0,0,0,0,0,2,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau Dorpshuis ""de Gaarde""",0297::SB11,5317 JS,1141,685,1,3,0,0,0,564,125,0,0,0,0,0,0,689,39,14,55,28,25,11,3,95,386,10,13,0,0,0,2,1,3,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Basisschool Willem van Oranje,0297::SB12,5306 BN,1019,502,0,1,0,0,0,413,90,0,0,0,0,0,0,503,42,20,97,38,13,11,4,77,175,11,10,1,1,0,0,1,1,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Wilhelminahof,0297::SB13,5306 XA,1223,652,2,2,0,0,0,576,80,0,0,0,0,0,0,656,63,32,104,67,33,15,4,100,197,8,26,0,0,1,1,0,1,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau Dorpshuis ""Podarwic""",0297::SB14,5307 HA,683,449,1,0,0,0,0,383,67,0,0,0,0,0,0,450,16,8,35,22,13,13,5,43,280,2,7,1,1,0,0,2,1,0
Nijmegen,Zaltbommel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau Dorpshuis ""den Ham""",0297::SB15,5305 CP,1199,597,0,1,0,0,0,531,67,0,0,0,0,0,0,598,51,33,87,75,36,50,16,71,158,5,11,0,0,0,2,0,1,1
