contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Stadhuis,0080::SB1,8911 HJ,1145,844,6,1,0,0,0,798,53,0,0,0,0,0,0,851,189,66,121,39,34,97,23,82,126,0,44,12,8,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkzorgcentrum Het Nieuwe Hoek,0080::SB2,8911 JW,1448,524,4,3,0,0,0,505,26,0,0,0,0,0,0,531,87,49,56,17,54,76,20,42,69,2,36,12,1,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dominicuskerk,0080::SB3,8913 CE,1327,842,3,4,0,0,0,778,71,0,0,0,0,0,0,849,175,115,99,38,49,89,41,75,101,2,32,20,6,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw De Toekomst,0080::SB4,8913 GL,1552,899,1,3,0,0,1,836,66,0,0,0,0,0,0,903,209,122,111,35,50,87,50,49,139,3,24,19,0,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau LKC-Sonnenborgh,0080::SB5,8916 ET,1564,879,2,0,0,0,1,815,65,0,0,0,0,0,0,881,177,96,100,53,58,112,46,39,124,3,27,30,11,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Westenkwartier,0080::SB6,8915 CD,1461,449,3,1,0,0,0,453,0,0,0,0,0,0,0,453,82,45,40,20,54,79,19,32,35,1,17,12,10,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkzorgcentrum de Hofwijck,0080::SB7,8917 AZ,2562,619,2,2,0,0,0,573,50,0,0,0,0,0,0,623,148,83,96,22,30,53,31,43,65,2,27,16,2,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Tylkedam,0080::SB8,8918 LW,1371,474,1,0,0,0,1,433,40,0,0,1,0,1,0,474,94,66,34,15,52,113,23,18,24,0,17,13,5,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Bilgaard,0080::SB9,8918 HV,1220,725,2,2,0,0,0,676,53,0,0,0,0,0,0,729,179,79,30,25,110,145,34,15,40,3,19,26,19,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Adventkerk,0080::SB10,8918 CA,1444,558,2,3,0,0,0,523,40,0,0,0,0,0,0,563,143,59,27,17,50,70,36,38,60,4,17,34,3,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Westeinde,0080::SB11,8915 DZ,1732,1280,4,3,0,1,0,1169,117,0,0,1,0,0,0,1286,269,215,104,48,96,179,92,50,120,2,38,59,8,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkzorgcentrum Swettehiem,0080::SB12,8915 EH,1386,511,1,1,0,0,0,492,21,0,0,0,0,0,0,513,113,110,31,16,37,67,36,13,43,1,13,28,3,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkzorgcentrum Sint Jozef,0080::SB13,8922 JA,1485,515,4,1,0,0,0,499,21,0,0,0,0,0,0,520,87,51,39,24,62,107,23,32,50,1,24,10,3,2
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Fontein,0080::SB14,8922 CP,1305,557,0,0,0,0,0,531,26,0,0,0,0,0,0,557,98,55,43,27,79,96,34,37,38,3,27,16,2,2
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Het Mozaiek,0080::SB15,8923 BW,1099,761,2,4,1,0,0,714,54,0,0,0,1,0,0,768,132,86,49,19,101,147,71,24,49,2,36,37,5,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Het Mozaiek,0080::SB16,8923 BW,1831,281,0,3,0,0,0,284,0,0,0,0,0,0,0,284,49,22,30,5,36,53,17,12,35,0,5,15,2,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Tjerk Hiddes,0080::SB17,8921 NM,1312,579,2,0,0,0,0,544,37,0,0,0,0,0,0,581,93,45,34,28,79,111,25,51,54,1,30,23,3,2
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Cambuursterhoek,0080::SB18,8921 TL,1264,532,2,7,0,0,0,519,22,0,0,0,0,0,0,541,118,61,25,25,82,90,26,34,40,4,25,0,2,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Emmastate (voormalig P.E.B. gebouw),0080::SB19,8921 AG,1381,428,0,0,0,0,0,407,21,0,0,0,0,0,0,428,81,23,32,18,39,70,25,54,49,1,33,3,0,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Insulinde,0080::SB20,8924 AS,1253,382,4,2,0,0,23,365,0,0,0,0,0,0,0,388,74,37,20,16,55,77,21,22,20,5,22,7,4,2
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Schieringen,0080::SB21,8924 EJ,1516,489,8,4,0,0,0,476,25,0,0,0,0,0,0,501,70,34,23,15,74,117,41,23,48,1,28,11,3,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.f.c. Camminghastins,0080::SB22,8925 CK,1349,554,0,1,0,0,0,520,35,0,0,0,0,0,0,555,123,58,31,15,77,101,37,26,39,3,19,24,0,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymlokaal obs Trianova,0080::SB23,8926 NA,1444,692,5,2,0,0,0,659,40,0,0,0,0,0,0,699,135,63,47,30,77,109,64,39,69,5,24,19,7,4
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Schakel,0080::SB24,8925 AZ,1409,797,0,2,0,0,0,749,50,0,0,0,0,0,0,799,167,125,83,23,65,119,41,33,73,4,30,31,2,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymlokaal Algraschool,0080::SB25,8925 AG,1431,703,0,3,0,0,0,659,47,0,0,0,0,0,0,706,140,112,71,21,69,96,45,22,66,3,23,30,5,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymlokaal De Wielen,0080::SB26,8925 GZ,1420,1030,0,3,0,2,0,935,100,0,0,0,2,0,0,1035,246,143,161,33,52,93,67,64,109,3,28,27,3,1
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gymlokaal Menno van Coehoorn,0080::SB27,,1335,537,1,2,0,0,0,504,36,0,0,0,0,0,0,540,110,43,42,26,52,66,21,74,55,4,26,14,1,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkzorgcentrum Greunshiem,0080::SB28,8937 AS,1474,375,5,1,0,0,0,358,23,0,0,0,0,0,0,381,78,42,12,16,55,70,20,22,25,0,22,9,4,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkcentrum 't Knooppunt,0080::SB29,8933 GS,1296,492,3,5,0,0,0,450,50,0,0,0,0,0,0,500,116,38,31,24,49,76,16,35,57,1,25,21,3,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Opstandingskerk,0080::SB30,8933 CX,1811,784,1,1,0,11,0,728,47,0,0,11,0,0,0,775,147,79,46,27,87,131,61,49,94,3,47,11,2,0
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Abbingahiem,0080::SB31,8934 BM,1020,652,0,1,0,0,0,587,66,0,0,0,0,0,0,653,143,88,43,30,62,86,45,31,57,3,19,40,2,3
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Gerard Dou,0080::SB32,8632 JG,1358,715,3,1,0,0,0,651,68,0,0,0,0,0,0,719,167,71,53,37,56,103,27,46,80,4,33,26,10,2
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wijkgebouw Gerard Dou,0080::SB33,8632 JG,1589,626,0,5,0,0,0,588,43,0,0,0,0,0,0,631,151,66,34,35,45,96,32,45,62,3,31,21,1,4
,Leeuwarden,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Cultuurcentrum Huizum,0080::SB34,8932 CT,1427,607,1,4,0,0,0,572,40,0,0,0,0,0,0,612,126,57,23,24,71,125,26,40,67,2,28,14,2,2
