contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Raadhuis Werkendam,0870::SB1,4251 VZ,1764,929,6,0,0,0,0,766,169,0,0,0,0,0,0,935,57,158,104,36,26,21,6,37,15,0,1,6,0,460,2
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Goezate,0870::SB2,4251 VS,1827,785,2,3,0,0,0,648,142,0,0,0,0,0,0,790,49,117,91,52,32,21,2,21,6,0,0,1,1,388,4
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Kwinter,0870::SB3,4251 HE,1670,846,1,7,0,0,0,680,174,0,0,0,0,0,0,854,67,81,106,32,24,8,11,23,10,0,0,12,0,471,1
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Grote zaal der Chr.Ger. kerk,0870::SB4,4251 DG,1459,672,0,2,0,0,0,550,124,0,0,0,0,0,0,674,66,105,65,23,24,12,8,4,6,0,0,15,1,343,0
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau wooncomplex d'Altenaer,0870::SB5,4251 TW,1625,741,5,1,0,0,0,611,136,0,0,0,0,0,0,747,55,120,59,27,24,12,6,6,11,0,1,8,0,410,2
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Het Trefpunt ingang Ontmoetingskerk,0870::SB6,4254 CC,1215,672,1,1,0,0,0,609,65,0,0,0,0,0,0,674,91,196,68,53,38,43,27,26,11,0,1,28,0,89,1
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Klimroos,0870::SB7,4254 XT,1283,660,3,0,0,0,0,594,69,0,0,0,0,0,0,663,121,197,76,46,33,41,13,15,12,0,1,25,5,71,4
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Bolderik,0870::SB8,4254 EP,1638,917,3,0,0,1,0,820,101,0,0,0,1,0,0,921,160,228,80,63,68,71,34,28,27,0,0,18,2,138,0
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Steunpunt,0870::SB9,4255 HJ,1415,518,0,2,0,0,0,464,56,0,0,0,0,0,0,520,35,204,53,43,24,22,8,10,9,0,0,7,3,97,3
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Tavenu,0870::SB10,4255 HD,1390,800,1,2,0,0,0,702,101,0,0,0,0,0,0,803,105,252,93,54,46,49,19,17,12,0,0,21,1,130,1
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gereformeerde Kerk De Hoeksteen,0870::SB11,4271 AN,884,477,1,1,0,0,0,414,65,0,0,0,0,0,0,479,88,128,55,47,15,33,13,9,4,0,0,10,0,75,0
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau de Molenwiek,0870::SB12,4271 XA,1055,444,0,0,0,0,0,389,55,0,0,0,0,0,0,444,76,102,75,43,14,31,18,18,16,0,0,10,0,40,1
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Steunpunt Den Dotter,0870::SB13,4273 CG,1516,663,1,1,0,0,0,603,62,0,0,0,0,0,0,665,101,133,111,79,57,52,28,41,18,0,0,21,0,22,0
Tilburg,Werkendam,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau basisschool de Bolderik,0870::SB14,4273 ET,1571,759,4,0,0,0,0,690,73,0,0,0,0,0,0,763,142,155,164,81,48,64,21,34,19,0,0,22,0,8,1
