contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,1742::SB1,,1913,1369,1,3,0,0,0,1181,192,0,0,0,0,0,0,1373,231,88,53,90,54,37,219,19,534,14,25,5
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Schutse,1742::SB2,,1901,1219,1,4,0,0,2,1044,178,0,0,0,0,0,0,1224,206,42,79,81,24,41,261,9,436,11,23,6
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Parkgebouw,1742::SB3,,1921,948,1,3,0,0,1,846,106,0,0,0,0,0,0,953,184,70,83,107,57,24,140,16,230,13,15,9
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gebouw Schietvereniging,1742::SB4,,1841,1075,1,5,0,0,0,956,125,0,0,0,0,0,0,1081,187,53,52,78,58,22,202,18,350,14,29,12
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Hervormde Gemeente gebouw Sion,1742::SB5,,1536,961,0,0,0,0,0,853,108,0,0,0,0,0,0,961,143,61,35,87,47,19,158,14,354,18,18,7
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Wellehof,1742::SB6,,2013,1265,1,2,0,0,0,1083,185,0,0,0,0,0,0,1268,134,34,29,69,32,24,174,7,734,9,10,9
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Cursusruimte EHBO,1742::SB7,,1726,910,1,1,0,0,0,798,114,0,0,0,0,0,0,912,102,21,29,65,35,17,138,7,454,22,16,4
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau obs de Salto,1742::SB8,,1990,1098,0,3,0,0,0,957,144,0,0,0,0,0,0,1101,177,52,55,88,33,39,190,20,404,20,18,2
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau basisschool De Ronde Maat,1742::SB9,,1672,1040,0,6,0,2,0,904,144,0,0,0,2,0,0,1048,172,23,29,76,47,21,162,9,469,12,13,7
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Jacobus Fruijtierschool,1742::SB10,,1757,1281,1,2,0,0,0,1078,206,0,0,0,0,0,0,1284,185,40,56,80,29,37,242,9,571,11,17,4
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Kulturhus Holten,1742::SB11,,1630,1116,6,3,0,0,0,1024,101,0,0,0,0,0,0,1125,321,110,274,91,57,104,38,33,12,35,28,13
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Woon- en zorgcentrum Diessenplas,1742::SB12,,1478,840,2,2,0,0,1,776,67,0,0,0,0,0,0,844,236,104,194,63,49,81,21,26,6,23,16,21
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Kulturhus Dijkerhoek,1742::SB13,,864,543,2,1,0,1,0,466,81,0,0,0,1,0,0,547,199,30,183,28,23,32,5,6,3,12,18,4
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Lokaal osb Holterenk,1742::SB14,,1476,819,0,4,0,0,0,765,58,0,0,0,0,0,0,823,193,109,183,69,68,84,21,20,13,16,24,19
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Lokaal osb Haarschool,1742::SB15,,1762,874,3,3,0,0,0,806,74,0,0,0,0,0,0,880,173,143,175,47,68,135,28,23,3,36,21,22
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Tabernakel,1742::SB16,,2371,1296,0,3,0,0,0,1109,190,0,0,0,0,0,0,1299,247,33,85,65,17,36,253,10,517,5,24,4
,Rijssen-Holten,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Mobiel Stembureau,1742::SB17,,0,280,2,2,0,0,0,242,42,0,0,0,0,0,0,284,26,6,22,15,3,6,54,1,138,4,5,0
