contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Stadhuis, ontvangstruimte trouwzaal",0014::SB1,9712 HN,847,1144,6,6,0,0,1,1097,58,0,0,0,0,0,0,1156,152,165,138,92,303,24,40,121,10,40,2,19,2,4,4,4,5,6,13
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Werkman College,0014::SB2,9711 VG,728,415,1,0,0,0,0,401,15,0,0,0,0,0,0,416,50,44,63,33,77,19,7,75,2,29,4,5,0,3,2,0,1,0,1
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeente Groningen,0014::SB3,9713 GW,1310,456,5,0,0,0,1,440,21,0,0,0,1,0,0,462,62,60,60,31,104,17,17,52,6,19,2,7,1,1,4,2,2,0,9
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeente Groningen,0014::SB4,9711 HL,771,701,4,1,0,0,1,665,40,0,0,0,0,0,0,706,99,96,74,43,162,27,22,96,9,41,1,17,1,3,2,0,5,0,3
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Het Pepergasthuis,0014::SB5,9711 PE,1125,412,4,1,1,0,0,404,14,0,0,0,1,0,0,418,37,85,44,23,104,14,12,53,2,16,2,7,0,0,2,1,4,3,3
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau St. Michaelschool,0014::SB6,9712 EW,933,432,2,1,0,0,0,419,16,0,0,0,0,0,0,435,50,69,43,22,107,16,9,57,3,29,4,11,0,1,2,3,3,0,3
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Hanzehogeschool,0014::SB7,9711 EJ,1384,573,2,1,0,0,0,539,36,0,0,1,0,1,0,575,65,99,54,47,125,16,13,88,2,40,6,6,1,1,2,1,6,0,1
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Harmoniecomplex R.U.G.,0014::SB8,9712 EK,994,648,3,1,0,0,0,627,25,0,0,0,0,0,0,652,69,85,47,42,218,11,27,94,5,28,0,10,0,2,1,0,3,1,5
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Remonstrantse kerk,0014::SB9,9711 BS,890,356,3,1,0,0,0,342,18,0,0,0,0,0,0,360,34,68,24,24,111,11,7,41,5,11,8,8,0,1,3,0,0,0,0
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Activiteitencentrum De Holm,0014::SB10,9711 JS,1730,666,1,0,0,1,0,640,28,0,0,0,1,0,0,668,69,89,70,45,177,18,16,102,9,41,10,11,0,2,2,0,1,0,4
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Het Heerenhuis,0014::SB11,9712 NR,844,418,1,0,0,0,0,400,19,0,0,0,0,0,0,419,39,66,49,36,125,8,12,49,2,11,2,5,0,1,4,1,4,1,3
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Borgmanschool,0014::SB12,9712 CS,1761,909,11,4,0,0,0,874,50,0,0,0,0,0,0,924,141,71,108,45,161,15,27,187,13,92,4,10,0,4,5,4,8,9,5
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Het Paleis,0014::SB13,9712 LM,1488,668,6,0,0,0,0,674,0,0,0,0,0,0,0,674,67,81,73,53,160,18,24,100,9,51,0,10,1,2,4,0,4,0,11
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Ebbingepoort,0014::SB14,9712 XA,934,358,2,5,0,0,0,349,16,0,0,0,0,0,0,365,56,40,65,28,67,12,10,33,8,14,1,11,0,3,3,0,3,1,3
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Doopsgezinde Gemeente Groningen,0014::SB16,9712 GD,1020,280,1,0,0,0,0,271,10,0,0,0,0,0,0,281,25,38,26,19,77,5,6,47,4,17,3,5,0,4,0,2,1,0,1
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Leger des Heils,0014::SB20,9713 GL,1507,845,9,3,0,0,0,811,46,0,0,0,0,0,0,857,110,84,125,62,177,34,31,106,10,49,5,23,0,2,12,2,3,0,10
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Buurt- en speeltuinvereniging FEO,0014::SB21,9713 CL,1353,448,2,2,0,0,0,422,30,0,0,0,0,0,0,452,67,57,49,39,98,14,15,60,6,26,0,10,0,1,1,1,1,1,2
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Oosterparkheem,0014::SB22,9713 VX,1824,537,3,5,0,14,29,530,0,0,0,0,14,0,0,559,89,32,100,34,85,28,27,62,14,24,9,10,0,2,6,2,5,2,6
,Groningen,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Simon van Hasseltschool,0014::SB23,9713 KX,1529,614,1,0,0,0,0,615,0,0,0,0,0,0,0,615,65,40,164,25,82,55,17,55,9,47,6,23,3,2,8,6,2,0,5
