contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Ambtmanshuis,0281::SB1,4001 MC,2280,891,1,1,0,1,0,803,89,0,0,1,0,0,0,892,147,112,87,117,101,85,44,24,5,37,38,1,6,0,2,2,80,3
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verenigingsgebouw AVGN,0281::SB2,4001 WJ,1854,646,1,2,0,0,0,576,73,0,0,0,0,0,0,649,88,93,64,108,81,70,27,14,0,23,24,0,5,0,4,4,40,1
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zorgcentrum Walstede,0281::SB3,4001 HE,1497,724,3,1,0,0,2,644,82,0,0,0,0,0,0,728,136,77,81,104,77,90,35,19,4,31,19,0,4,1,2,0,41,3
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verenigingsgebouw KTVM,0281::SB4,4001 HZ,1889,502,4,1,0,0,0,445,62,0,0,0,0,0,0,507,56,72,27,113,77,36,22,19,5,20,11,1,6,0,1,3,30,3
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Centrum Oosthonk,0281::SB5,4005 VR,1823,661,3,4,0,0,0,594,74,0,0,0,0,0,0,668,92,75,57,148,84,72,25,10,9,22,17,0,1,1,1,2,42,3
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Vier Gravinnen,0281::SB6,4001 RZ,1523,582,4,6,0,1,0,513,78,0,0,1,0,0,0,591,79,95,69,97,65,59,19,17,6,20,24,1,0,1,2,4,24,0
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Achtbaan,0281::SB7,4005 VV,1707,481,2,1,0,0,2,433,49,0,0,0,0,0,0,484,85,52,29,98,54,60,19,9,2,20,16,0,4,0,4,0,24,5
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verpleeghuis Vrijthof,0281::SB8,4003 CA,1715,818,0,3,0,4,0,742,83,0,0,0,4,0,0,825,173,81,114,81,78,114,40,31,7,33,27,2,2,0,0,2,28,5
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Serviceflat De Batouwe,0281::SB9,4006 AG,2298,866,8,2,0,0,0,772,104,0,0,0,0,0,0,876,53,155,112,162,94,92,22,39,12,29,47,2,2,0,1,3,37,4
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zorgcentrum Lingewaarde,0281::SB10,4002 AG,1710,864,1,1,0,0,1,769,97,0,1,0,1,0,0,867,155,118,119,130,62,109,42,11,8,27,37,2,2,0,2,1,37,2
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Centrum Westroyen,0281::SB11,4003 AL,1526,582,1,1,0,0,0,529,55,0,0,0,0,0,0,584,45,105,39,100,87,61,11,20,7,18,32,0,3,1,3,1,47,2
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau dorpshuis De Kokkenhof,0281::SB12,4014 MA,1393,711,1,1,0,0,0,618,95,0,0,0,0,0,0,713,176,42,83,99,35,61,31,19,85,20,28,0,2,0,2,1,26,1
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Drumptse Hof,0281::SB13,4003 GA,1746,992,1,1,0,0,0,875,119,0,0,0,0,0,0,994,228,112,103,134,101,117,37,25,7,30,47,1,2,0,2,0,41,5
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verenigingsgebouw Tielse T.C.,0281::SB14,4003 KX,1570,679,1,1,0,0,2,588,91,0,0,0,0,0,0,681,114,71,79,84,81,93,31,24,4,23,24,0,2,3,0,1,42,3
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Eksternest,0281::SB15,4007 VA,2074,885,2,2,0,0,0,795,94,0,0,0,0,0,0,889,189,98,84,118,92,124,38,33,2,22,39,0,3,0,4,0,37,2
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau de Waaijer,0281::SB16,4007 TP,2141,1117,2,2,0,0,0,965,156,0,0,0,0,0,0,1121,259,101,104,179,88,170,37,29,6,39,40,4,2,3,6,3,40,7
Nijmegen,Tiel,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Rotondaschool,0281::SB17,4007 TJ,2228,753,0,0,0,0,0,646,107,0,0,0,0,0,0,753,192,64,62,114,50,122,17,39,7,29,22,0,0,0,3,5,24,3
