contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1275,861,3,6,0,0,2,790,78,0,0,0,0,0,0,870,153,188,124,62,82,115,51,34,22,8,11,11
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1382,771,3,1,0,0,1,714,60,0,0,0,0,0,0,775,159,119,131,47,81,70,50,43,51,2,8,10
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1510,840,0,4,0,0,0,789,55,0,0,0,0,0,0,844,193,84,128,109,128,61,46,26,36,2,18,9
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum De Wester Es,1731::SB4,9411 LB,1694,758,1,3,0,0,0,705,57,0,0,0,0,0,0,762,124,111,180,55,79,63,54,32,37,9,10,4
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Kerkgebouw De Ark,1731::SB5,9411 NX,1800,882,4,0,0,0,0,810,76,0,0,0,0,0,0,886,155,145,156,54,83,91,78,31,47,10,22,10
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Dorpshoeve,1731::SB6,9415 PG,809,452,0,1,0,0,0,401,52,0,0,0,0,0,0,453,66,102,85,41,32,34,38,20,16,5,5,8
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,1137,696,1,1,0,0,0,640,58,0,0,0,0,0,0,698,101,176,74,45,62,44,102,33,25,11,11,12
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1519,775,4,2,0,0,0,695,86,0,0,0,0,0,0,781,122,172,107,93,82,41,36,36,40,6,30,10
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau 't aole gemientehoes,1731::SB9,9431 AD,1305,949,0,3,0,0,0,855,97,0,0,0,0,0,0,952,136,314,154,54,72,92,18,55,26,14,6,8
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1028,550,1,0,0,0,0,495,56,0,0,0,0,0,0,551,133,119,78,47,69,44,5,20,22,2,4,7
,Midden-Drenthe,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Sportclubgeb. Perkenslag,1731::SB11,9431 HE,1310,739,0,0,0,0,0,667,72,0,0,0,0,0,0,739,152,148,88,50,64,98,29,56,24,3,13,14
