contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis,1651::SB1,9981 AA,935,812,0,2,0,0,0,731,85,0,2,0,2,0,0,816,114,53,149,103,28,76,62,21,13,15,22,138,0,3,4,1,1,1,8
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau St. Vincentiusgebouw,1651::SB2,9981 AX,1088,476,1,0,0,0,0,435,42,0,0,0,0,0,0,477,51,24,70,73,23,36,53,18,4,9,11,88,0,3,2,1,4,0,6
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Ability,1651::SB3,9981 GJ,1119,575,0,0,0,0,0,524,51,0,0,0,0,0,0,575,99,31,132,87,20,32,44,12,3,14,10,76,2,1,4,3,0,0,5
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Verzorgingshuis Hunsingoheerd,1651::SB4,9981 CJ,1279,792,2,4,0,0,1,723,74,0,0,0,0,0,0,798,121,58,112,121,30,63,80,20,10,10,23,123,0,1,1,0,1,1,17
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Bommelhoes,1651::SB5,9982 HE,863,574,0,0,0,0,0,518,56,0,0,0,0,0,0,574,39,59,48,142,12,32,143,10,3,10,7,66,0,0,0,0,0,1,2
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Sporthal Scherphorn,1651::SB6,9982 BZ,941,512,2,3,0,0,0,467,50,0,0,0,0,0,0,517,32,22,60,86,15,49,132,15,4,8,4,75,1,2,0,4,0,0,3
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Verzorgingshuis De Mieden,1651::SB7,9982 AB,819,489,2,2,0,0,0,439,54,0,0,0,0,0,0,493,33,39,54,92,24,31,97,15,3,13,7,68,0,1,1,1,4,0,6
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Nieuw Calvaria,1651::SB8,9983 PE,864,511,0,0,1,0,0,473,38,0,0,0,0,0,0,511,44,20,77,94,10,41,148,6,1,1,6,55,0,2,4,0,0,0,2
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Diggelschip,1651::SB9,9984 XD,267,153,0,0,0,0,0,143,10,0,0,0,0,0,0,153,7,28,28,25,7,15,8,8,1,8,0,13,0,0,2,0,2,0,1
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau 't Klokhoes,1651::SB10,9997 PB,570,331,0,1,0,0,0,304,26,0,0,2,0,2,0,330,30,27,51,43,18,31,31,10,5,17,5,58,0,0,3,0,0,0,2
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau 't Schienvat,1651::SB11,9995 PH,749,532,0,4,0,0,0,476,60,0,0,0,0,0,0,536,41,30,86,40,38,19,125,26,9,23,4,73,1,2,3,0,2,0,10
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Usquert,1651::SB12,9988 RV,1135,676,1,1,0,0,0,615,63,0,0,0,0,0,0,678,107,68,144,44,45,42,30,30,9,27,5,102,2,6,3,1,1,1,9
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Pro Rege,1651::SB13,9989 AH,876,678,4,1,0,0,1,623,59,0,0,0,0,0,0,683,91,36,109,82,67,36,39,49,17,25,13,102,2,1,0,0,3,0,6
,Eemsmond,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Op Roakeldaisgebouw,1651::SB14,9989 EL,922,485,1,1,0,0,0,435,52,0,0,0,0,0,0,487,66,39,96,41,26,31,22,22,4,25,1,100,0,3,0,2,1,0,6
