contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Boschpoort,1895::SB1,9671 GB,1135,794,5,1,0,0,1,732,67,0,0,0,0,0,0,800,97,94,142,70,64,70,37,31,41,30,14,37,4,6,16,30,3,2,6
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Leger des Heils,1895::SB2,9671 CC,1034,498,0,4,0,1,0,457,46,0,0,0,1,0,0,503,70,87,71,67,28,58,18,11,27,8,11,18,2,3,4,10,0,1,4
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1597,818,2,0,0,0,0,738,82,0,0,0,0,0,0,820,141,63,198,62,33,97,37,22,51,16,17,39,1,1,10,24,1,0,5
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1289,603,3,1,0,0,0,553,54,0,0,0,0,0,0,607,98,32,146,35,34,80,22,10,56,13,15,21,2,0,8,29,1,0,1
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Voormalige kantine brandweer,1895::SB5,9675 HJ,1390,765,0,0,0,0,0,685,81,0,1,0,1,0,0,766,107,87,152,58,65,79,44,19,54,20,7,33,1,1,4,23,0,0,11
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Speeltuinvereniging Bovenburen,1895::SB6,9675 JW,1505,538,0,4,0,0,0,490,52,0,0,0,0,0,0,542,77,31,118,29,37,56,27,24,34,9,16,28,2,2,9,31,4,0,4
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Renselheerdt,1895::SB7,9675 AB,1127,687,3,5,0,0,0,643,51,0,0,1,0,1,0,694,121,36,182,47,29,85,29,9,28,14,28,18,4,1,16,27,1,2,10
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Voormalig SBO Delta,1895::SB8,9675 HH,1096,350,0,2,0,0,0,317,35,0,0,0,0,0,0,352,52,8,109,15,28,48,20,5,14,11,4,13,1,1,3,16,0,0,2
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Het Parkholt,1895::SB9,9675 JA,1340,886,3,0,0,0,1,817,71,0,0,0,0,0,0,889,113,133,139,85,77,80,41,27,62,33,13,38,0,3,12,20,1,0,9
,Oldambt,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Campus Winschoten,1895::SB10,9673 GS,1206,445,1,2,0,0,0,395,53,0,0,0,0,0,0,448,47,50,100,29,31,45,23,11,30,13,4,36,0,3,1,16,1,0,5
