contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Antoniushove,1586::SB1,7131 CW,1446,678,2,1,0,0,0,642,39,0,0,0,0,0,0,681,127,47,228,48,72,57,12,4,1,18,48,0,0,0,15,0,0,0,1
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Schuttersgilde St. Switbertus,1586::SB2,7131 ZT,1573,760,2,1,0,0,0,701,62,0,0,0,0,0,0,763,114,70,179,75,102,108,25,1,1,9,26,1,1,1,34,4,4,5,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau St. Jozefschool,1586::SB3,7131 GK,1508,793,1,0,0,0,0,720,74,0,0,0,0,0,0,794,186,74,210,51,67,112,17,9,2,15,35,1,0,0,12,0,2,0,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Den Diek,1586::SB4,7131 DP,1494,772,3,2,0,5,0,723,59,0,0,0,5,0,0,782,133,92,159,72,105,102,18,7,3,15,40,0,2,1,19,1,2,1,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Schoppe,1586::SB5,7131 SB,1325,649,1,4,0,1,0,601,54,0,0,0,1,0,0,655,91,57,84,91,135,81,21,9,6,17,26,1,1,0,23,0,1,5,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau St. Jorisschool,1586::SB6,7132 DK,1463,596,2,0,0,0,0,553,45,0,0,0,0,0,0,598,153,47,93,47,61,117,16,5,2,10,10,3,1,1,21,2,6,1,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gemeentehuis,1586::SB7,7131 BJ,1343,510,2,0,0,0,0,464,50,0,2,0,2,0,0,514,127,34,126,40,50,61,15,5,1,9,25,3,1,0,10,1,2,0,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Sportcomplex De Bult,1586::SB8,7134 NJ,816,422,0,0,0,0,1,373,48,0,0,0,0,0,0,422,93,14,221,29,17,22,8,2,2,3,4,0,0,1,5,0,1,0,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis 't Kempken,1586::SB9,7135 JD,986,494,1,0,1,0,1,448,43,0,0,3,0,0,0,492,86,19,214,40,40,42,13,4,0,5,11,0,1,0,12,2,3,2,0
Arnhem,Oost Gelre,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Parochiehuis,1586::SB10,7136 LM,1573,814,1,1,0,0,0,742,74,0,0,0,0,0,0,816,158,49,347,48,57,77,20,1,3,2,21,1,1,0,25,1,3,0,0
