contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.01:Trouwzl. gemeentehuis Rheden,0275::SB1,6994 AB,983,703,1,0,0,0,1,631,72,0,0,0,0,0,0,704,143,67,81,54,87,118,48,23,7,42,11,0,1,3,5,11,0,2,0
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.02:Woonzorgcompl. Nw-Schoonoord,0275::SB2,6881 TV,975,739,2,4,0,0,1,744,0,0,0,0,0,0,0,745,239,65,100,26,49,157,41,9,1,33,7,0,0,2,3,0,3,3,1
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.03:Verzorgingshuis De Biesdel,0275::SB3,6881 CD,980,664,1,2,0,1,0,608,60,0,0,0,1,0,0,668,247,49,70,29,28,141,35,15,2,28,8,1,0,0,2,6,2,1,0
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.04:Parkstaete Zalencentrum Vof,0275::SB4,6881 JA,1130,728,0,2,0,0,0,656,74,0,0,0,0,0,0,730,207,68,90,30,64,144,64,15,4,20,11,2,1,0,2,3,2,1,0
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.05:PC Basisschool De Arnhorst,0275::SB5,6881 NV,1392,886,1,3,0,0,0,815,74,0,0,1,0,1,0,889,169,92,85,54,86,185,78,28,9,55,22,4,1,1,10,0,5,1,1
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.06:RK Basisschool Fredericus,0275::SB6,6881 SV,1283,776,2,4,0,0,0,718,64,0,0,0,0,0,0,782,145,69,108,63,76,152,75,23,5,35,7,2,2,2,5,4,1,1,1
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.07: Woonzorgcentrum Oosterwolde,0275::SB7,6883 JK,1097,606,0,2,0,0,0,565,43,0,0,0,0,0,0,608,122,66,77,31,73,111,52,23,0,23,15,0,3,1,1,0,6,2,0
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.08:Wooncomplex Broeckerhave,0275::SB8,6883 BD,1584,763,3,5,0,0,0,715,56,0,0,0,0,0,0,771,133,91,105,69,94,110,55,15,0,47,23,0,1,1,9,4,3,2,1
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.09:Voorm.Van Voorthuijsenschool,0275::SB9,6882 NS,1763,753,2,3,0,0,0,704,54,0,0,0,0,0,0,758,78,82,54,85,157,104,89,23,4,45,14,0,1,1,6,4,5,1,0
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.10:Verzorgingshuis H.A. Lorentz,0275::SB10,6882 LR,1334,566,1,0,0,4,2,522,47,0,0,0,4,0,0,571,45,61,61,124,136,51,28,10,3,26,10,0,1,1,3,1,2,2,1
Arnhem,Rheden,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau stb.11:Wooncentrum De Ulenpas,0275::SB11,6882 GS,1052,445,0,2,0,0,0,420,27,0,0,0,0,0,0,447,27,61,50,109,95,35,6,7,1,14,27,1,2,1,0,1,1,1,6
