contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dienstencentrum 'De Veste',0715::SB1,4531 GV,2092,1061,1,4,0,0,0,957,109,0,0,0,0,0,0,1066,149,120,143,148,39,111,29,41,99,22,45,47,68
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Buurtcentrum 'de Triangel',0715::SB2,4531 CL,1330,376,2,0,0,0,0,348,31,0,1,0,1,0,0,379,49,37,30,62,7,63,10,14,30,14,21,21,18
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Buurthuis 'De Kameleon',0715::SB3,4537 RJ,1080,433,2,4,0,0,0,385,54,0,0,0,0,0,0,439,21,78,18,86,30,71,14,20,28,13,8,14,32
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Sportcentrum 'Vliegende Vaart',0715::SB4,4537 DH,1492,632,4,1,0,1,1,580,55,0,0,1,0,0,0,636,64,59,71,97,42,60,19,48,64,21,17,22,48
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum 'Bachten Dieke',0715::SB5,4532 BP,1874,1000,3,5,0,0,0,892,116,0,0,0,0,0,0,1008,100,91,177,148,95,69,32,66,45,27,45,51,54
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum 'De Blide',0715::SB6,4532 CZ,1323,522,4,4,0,1,3,463,63,0,0,1,0,0,0,529,41,68,83,78,44,74,11,37,31,9,11,19,16
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Praktijkschool 'De Sprong',0715::SB7,4535 AD,1366,474,3,3,0,0,0,430,48,0,0,2,0,2,0,478,53,59,44,55,30,62,22,24,42,10,29,15,29
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau CZR Ter Schorre,0715::SB8,4536 GD,1714,884,2,2,0,0,0,794,94,0,0,0,0,0,0,888,40,128,93,133,66,141,24,59,53,23,47,27,50
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Ziekenhuis ZorgSaam Z-Vl.,0715::SB9,4535 PA,1715,724,1,3,0,0,1,626,101,0,0,0,0,0,0,728,92,77,89,80,57,62,22,63,65,18,20,26,53
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau O.B.S. 'De Meerpaal',0715::SB10,4535 ED,1561,784,1,1,0,0,1,701,84,0,0,0,0,0,0,786,116,84,141,71,35,71,25,43,74,19,24,46,35
,Terneuzen,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Brede School De Twijn,0715::SB11,4532 JM,1509,704,0,0,0,0,0,616,88,0,0,0,0,0,0,704,85,51,104,84,77,84,21,46,62,19,17,20,34
