contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau BP I, Streekmuzieksch. De Wâldsang",0059::SB1,9285 RZ,1733,949,0,1,0,0,1,867,82,0,0,0,0,0,0,950,115,249,58,69,55,68,234,23,47,1,13,16,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau BP II, ""It Koartling""",0059::SB2,9285 NE,1278,744,1,2,0,0,0,678,69,0,0,0,0,0,0,747,106,186,53,96,64,64,110,11,31,2,7,14,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau BP III, Zorgcentrum ""Haersmahiem""",0059::SB3,9285 TR,1461,1096,1,1,0,2,0,1023,77,0,0,0,2,0,0,1100,151,281,69,81,69,89,234,24,53,1,17,22,0,5
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau SV I, Schoolgebouw ""De Bêrnebrege"".",0059::SB4,9231 JJ,1502,684,2,2,0,1,0,622,65,0,0,1,0,0,0,687,91,190,40,50,76,60,110,10,38,1,7,10,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau SV II, Zorgcentrum""'t Suyderhuys""",0059::SB5,9231 BB,1714,876,2,0,0,2,0,798,78,0,0,2,0,0,0,876,135,264,81,89,76,48,116,11,34,0,9,13,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau SV III, Ver. gebouw ""De Lantearne""",0059::SB6,9231 CA,1436,794,0,1,0,0,3,712,80,0,0,0,0,0,0,795,87,234,52,76,107,84,109,10,16,1,9,9,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau HK I, ""De Fûgelkamp""",0059::SB7,9281 MA,1547,555,0,2,0,0,0,461,96,0,0,0,0,0,0,557,50,102,48,79,126,54,64,3,10,0,9,9,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau HK II, SCW ""Clubhuis""",0059::SB8,9281 RD,1725,692,4,3,0,0,0,613,86,0,0,0,0,0,0,699,88,149,35,121,119,62,78,9,5,1,11,14,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau KT, MFA ""Tillehûs""",0059::SB9,9288 AM,1872,849,1,2,0,0,0,778,74,0,0,0,0,0,0,852,89,133,60,188,132,71,115,7,19,0,8,26,1,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau TH, Dorpshuis ""De Jister""",0059::SB10,9287 LC,1393,630,2,4,0,0,0,551,85,0,0,0,0,0,0,636,48,112,26,139,127,61,93,4,7,3,4,5,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau DH, Ver. gebouw ""De Fakkel""",0059::SB11,9289 HL,1293,645,4,3,0,0,0,576,76,0,0,0,0,0,0,652,21,205,30,71,80,34,175,2,7,0,7,12,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau SZ, MFC ""De Delfeart""",0059::SB12,9283 TR,976,487,1,0,0,0,0,429,59,0,0,0,0,0,0,488,31,138,41,94,39,31,77,11,17,1,2,5,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau AG, Seniorencomplex ""Ny Stiensgea""",0059::SB13,9284 TL,944,475,0,3,0,0,0,422,56,0,0,0,0,0,0,478,38,84,30,122,61,38,70,6,11,0,7,7,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau BL, Dorpshuis ""De Smoutte""",0059::SB14,9233 KL,896,465,0,1,0,0,0,403,63,0,0,0,0,0,0,466,70,32,24,109,91,70,25,4,20,2,11,7,0,0
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau GK, Dorpshuis ""Rehoboth""",0059::SB15,9873 RE,863,457,2,0,0,0,0,410,50,0,1,0,1,0,0,460,30,139,28,68,50,32,68,14,13,1,8,5,0,1
,Achtkarspelen,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau TW, Dorpshuis ""De Bining""",0059::SB16,9286 EP,856,487,1,0,0,0,0,435,53,0,0,0,0,0,0,488,47,106,45,107,62,27,63,2,18,0,3,6,0,1
