contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Ons Dorpshuis Kruiningen,0703::SB1,4416BJ,685,462,4,3,0,0,2,408,59,0,0,0,0,0,0,469,49,48,49,48,155,39,36,13,8,5,6,3,3
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Geref. Gemeente Kruiningen,0703::SB2,4416BJ,1051,849,0,1,0,1,2,713,136,0,0,0,0,0,0,851,95,37,52,44,471,44,22,35,20,10,8,5,6
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Kaj Munk Hansweert,0703::SB3,4417AA,1213,660,2,4,0,2,3,588,77,0,0,0,2,0,0,668,69,95,60,132,8,83,108,22,32,6,28,10,7
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum MeerWaarde Waarde,0703::SB4,4414AK,933,678,0,1,0,0,0,573,106,0,0,0,0,0,0,679,37,15,85,31,370,22,41,51,9,5,4,4,4
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kerkelijk centrum De Haven Yerseke,0703::SB5,4401EC,1204,830,0,0,0,3,0,722,111,0,0,0,3,0,0,833,65,44,92,110,297,43,36,80,25,4,12,10,12
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Apeldoorn Oostdijk,0703::SB6,4415AE,375,307,0,0,0,0,2,252,53,0,0,0,0,0,0,307,7,3,23,10,237,0,6,21,0,0,0,0,0
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Geref. Gemeente Yerseke,0703::SB7,4401CB,1216,853,2,0,0,0,0,703,152,0,0,0,0,0,0,855,86,21,58,55,480,17,26,63,19,4,7,5,12
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis de Meiboom Krabbendijke,0703::SB8,4413GB,1056,732,0,0,0,0,0,639,93,0,0,0,0,0,0,732,44,19,77,61,369,15,64,60,8,6,5,3,1
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Ter Weel Krabbendijke,0703::SB9,4413CP,1030,872,0,3,0,0,0,747,128,0,0,0,0,0,0,875,45,25,125,56,422,45,47,71,12,7,11,4,2
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum Luctor et Emergo Rilland,0703::SB10,4411AP,1207,656,1,1,0,0,0,586,72,0,0,0,0,0,0,658,86,49,70,104,86,104,37,34,32,16,19,9,10
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Seniorencomplex Oostkilhoek Rilland,0703::SB11,4411AC,897,479,0,1,0,0,3,429,48,0,0,0,0,0,0,480,55,50,57,60,66,76,24,22,31,11,18,3,6
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Brandweerkazerne Yerseke,0703::SB12,4401KW,1140,583,0,2,1,0,0,480,104,0,0,1,0,0,0,584,73,19,79,83,167,33,40,39,20,6,9,6,9
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Moerzicht Yerseke,0703::SB13,4401HZ,1187,806,1,1,0,0,0,690,118,0,0,0,0,0,0,808,96,40,143,76,259,23,40,78,20,2,16,3,10
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gebouw Bridgeclub Reimerswaal Kruiningen,0703::SB14,4416BT,1216,640,1,5,0,0,0,565,81,0,0,0,0,0,0,646,83,58,72,66,195,38,36,32,27,6,11,6,10
,Reimerswaal,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Geref. Kerk Krabbendijke,0703::SB15,4413BK,1005,546,1,0,0,1,0,477,69,0,0,1,0,0,0,546,20,14,73,43,276,13,40,50,8,3,6,0,0
