contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis,0114::SB1,,1706,1093,2,8,1,0,2,990,110,0,0,1,0,0,0,1102,159,212,236,123,92,97,58,25,29,5,23,34
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Oostermarke,0114::SB2,,966,639,0,3,0,0,0,580,62,0,0,0,0,0,0,642,98,137,157,32,25,82,36,21,22,1,17,11
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Goede Herderkerk,0114::SB3,,590,379,2,4,0,0,0,341,44,0,0,0,0,0,0,385,58,48,69,19,36,45,45,25,17,0,6,11
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Holdert,0114::SB4,,701,339,1,3,0,0,0,309,34,0,0,0,0,0,0,343,84,32,79,20,27,21,26,6,20,0,6,18
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Wijkcentrum Meerstede,0114::SB5,,1344,521,0,1,0,0,0,480,42,0,0,0,0,0,0,522,108,33,53,90,92,29,28,9,26,6,13,34
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ichthus,0114::SB6,,1208,616,3,1,0,0,0,568,52,0,0,0,0,0,0,620,87,80,117,66,66,58,47,17,20,6,23,29
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau R.K.b.s. St. Frans,0114::SB7,,1266,411,0,1,0,0,0,377,35,0,0,0,0,0,0,412,85,20,49,62,84,25,23,13,14,2,8,26
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau o.b.s. Emmermeer,0114::SB8,,1258,473,1,3,0,0,1,443,33,0,0,0,0,0,0,477,91,26,73,69,94,30,15,21,22,2,14,16
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Zuidermarke,0114::SB9,,1491,810,3,2,0,0,0,743,72,0,0,0,0,0,0,815,138,54,155,132,115,52,44,16,40,6,18,40
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau AOC Terra,0114::SB10,,652,341,0,0,0,0,1,298,42,0,0,0,0,0,0,341,55,64,75,31,31,28,21,11,8,0,12,5
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis 't Hoefijzer Zuidbarge,0114::SB11,,764,434,0,0,0,0,0,392,42,0,0,0,0,0,0,434,47,76,85,24,57,56,26,25,13,1,16,8
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Schanskuil,0114::SB12,,920,423,1,1,0,0,0,386,39,0,0,0,0,0,0,425,66,27,80,56,59,35,25,25,16,5,15,14
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Weerdinge,0114::SB13,,567,344,1,0,0,0,0,307,38,0,0,0,0,0,0,345,35,40,29,42,37,30,35,14,12,2,11,57
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Marke,0114::SB14,,1207,650,1,3,1,1,0,595,61,0,0,0,2,0,0,656,170,30,82,95,128,26,26,15,37,2,10,29
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Kerkgebouw het Baken,0114::SB15,,1287,496,1,6,0,0,0,450,53,0,0,0,0,0,0,503,123,10,50,106,94,32,20,13,26,2,9,11
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Heidehiem,0114::SB16,,647,278,0,3,0,0,0,252,29,0,0,0,0,0,0,281,53,33,47,29,43,26,18,0,13,0,3,13
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Voorhof,0114::SB17,,1004,476,2,1,1,0,0,416,62,0,0,1,0,0,0,478,86,48,86,53,69,44,24,12,25,2,18,9
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Kantine Looackerhof,0114::SB18,,1151,404,3,6,0,0,0,382,31,0,0,0,0,0,0,413,76,28,42,76,66,34,23,17,16,1,12,13
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Tine Marcusschool,0114::SB19,,955,406,2,5,0,0,1,372,39,0,0,1,0,1,0,412,59,48,44,56,75,38,15,27,18,2,16,8
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Verpleegtehuis De Horst,0114::SB20,,982,359,0,2,0,0,0,332,29,0,0,0,0,0,0,361,62,17,34,58,71,32,24,19,21,3,7,11
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum De Schans,0114::SB21,,1307,617,0,1,0,0,0,566,52,0,0,0,0,0,0,618,131,73,98,47,91,70,26,30,13,1,20,17
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,"Stembureau o.b.s. De Kubus, locatie het Waal",0114::SB22,,1284,666,1,3,0,1,0,612,59,0,0,0,1,0,0,671,150,34,56,76,128,52,49,30,23,13,25,30
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,"Stembureau O.b.s. De Kubus, locatie Kinholt",0114::SB23,,1333,529,4,5,0,0,0,486,51,0,0,1,0,0,0,537,83,14,47,90,143,45,22,27,26,4,13,15
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Verpleegtehuis De Bleerinck,0114::SB24,,1131,511,1,0,0,0,0,470,42,0,0,0,0,0,0,512,72,39,73,43,105,50,33,46,23,2,12,13
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau O.b.s. De Brink,0114::SB25,,1234,482,0,3,0,0,0,444,41,0,0,0,0,0,0,485,64,32,25,83,120,48,21,37,14,6,19,13
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Holtingerhof,0114::SB26,,938,531,0,0,0,0,0,490,41,0,0,0,0,0,0,531,91,65,106,38,57,66,30,23,23,0,6,26
,Emmen,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau 't Brinkenhoes,0114::SB27,,1019,589,1,3,0,0,1,544,48,0,0,0,0,0,0,593,105,73,89,46,88,68,28,31,25,5,13,18
