contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Coolsingel 40 (links),0599::SB1,3011 AD,1015,372,0,2,0,0,0,341,33,0,0,0,0,0,0,374,77,52,45,20,27,76,36,4,0,10,22,1,2,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Goudseweg 17 (links),0599::SB2,3031 XH,1478,333,8,1,0,2,1,313,30,0,0,0,2,0,0,344,52,32,56,27,44,61,18,6,2,16,16,0,1,2
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Raampoortstraat 15,0599::SB3,3032 AH,2520,446,1,5,0,0,0,401,51,0,0,0,0,0,0,452,60,59,42,21,57,88,53,13,4,17,29,3,0,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Looiershof 1 (links),0599::SB4,3024 CZ,1195,192,0,0,0,0,0,176,16,0,0,0,0,0,0,192,16,25,20,15,17,44,22,10,0,5,14,3,0,1
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Springerstraat 340,0599::SB5,3067 CX,1593,758,3,5,0,0,0,695,71,0,0,0,0,0,0,766,73,83,138,122,89,44,24,89,32,38,21,0,1,4
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Marcel Duchampplein 801 (links),0599::SB6,3059 RB,1514,423,2,3,1,0,0,362,67,0,0,0,1,0,0,429,111,31,70,29,30,83,8,17,4,16,22,2,0,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Anna van Westrienenstraat 1,0599::SB7,3038 SX,1560,514,6,2,2,0,0,482,42,0,0,0,2,0,0,524,55,60,64,26,55,110,69,9,3,13,48,0,1,1
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bergsingel 152 (links),0599::SB8,3037 GM,1171,537,1,2,0,0,0,489,50,0,0,1,0,1,0,539,71,69,36,24,51,126,83,19,8,7,39,2,2,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Cole Porterstraat 2,0599::SB9,3069 ZD,1487,618,0,1,0,1,1,555,62,0,0,1,0,0,0,618,119,78,117,43,61,85,31,15,3,23,35,4,1,3
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schiedamse Vest 188 (links),0599::SB10,3011 BH,1191,431,5,3,0,0,0,412,27,0,0,0,0,0,0,439,84,54,37,14,44,119,39,6,0,5,27,0,2,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Statensingel 103,0599::SB11,3039 LH,1382,660,7,4,0,2,0,617,56,0,0,0,2,0,0,673,103,67,37,57,69,174,86,13,1,16,33,2,2,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bergwegplantsoen 10,0599::SB12,3037 SK,1031,544,2,4,0,0,0,500,50,0,0,0,0,0,0,550,42,62,85,33,103,102,32,7,6,22,49,1,0,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Vliegerstraat 55 (links),0599::SB13,3021 ZN,1533,489,0,9,0,0,0,446,52,0,0,0,0,0,0,498,59,78,26,28,49,122,84,9,4,6,24,0,0,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Achillesstraat 290,0599::SB14,3054 RL,1262,624,3,2,0,0,0,578,51,0,0,0,0,0,0,629,145,56,113,64,71,55,20,14,4,45,32,1,2,2
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dempostraat 143,0599::SB15,3029 CL,2048,341,3,5,0,0,0,304,45,0,0,0,0,0,0,349,7,79,77,24,77,34,14,3,1,14,3,7,0,1
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Nicolaas Beetsstraat 2,0599::SB16,3027 AR,1649,448,5,11,0,0,1,368,95,0,0,0,0,0,0,464,13,100,36,47,91,82,40,14,1,6,16,2,0,0
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Vrijenbansestraat 48,0599::SB17,3037 VZ,835,283,3,3,0,0,0,246,43,0,0,0,0,0,0,289,17,53,27,22,34,52,37,6,4,6,23,0,0,2
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Snauwstraat 7,0599::SB18,3028 HV,1312,328,0,6,0,0,0,299,35,0,0,0,0,0,0,334,20,48,53,17,57,59,12,25,4,11,20,0,1,1
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Oostzeedijk 276 (links),0599::SB19,3063 CA,701,486,2,1,0,2,1,447,39,0,0,2,0,0,0,487,150,40,47,31,39,100,27,9,4,10,25,1,2,1
Rotterdam,Rotterdam,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Hoogstraat 110 (links),0599::SB20,3011 PV,2026,1063,6,4,0,0,0,987,86,0,0,0,0,0,0,1073,286,130,91,61,71,252,78,15,5,18,39,6,8,3
