contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Woonzorgcentrum St. Agnes,0396::SB1,1962 GA,1998,839,2,6,0,0,0,770,77,0,0,0,0,0,0,847,84,92,112,87,115,141,30,25,33,39,32,5,21,19,4
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Verpleeghuis Meerstate,0396::SB2,1962 AB,1748,988,4,4,0,0,0,922,74,0,0,0,0,0,0,996,163,93,129,124,100,140,46,41,21,60,19,5,2,33,12
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau RKBS de Otterkolken,0396::SB3,1963 AS,1932,878,5,0,0,0,0,815,68,0,0,0,0,0,0,883,115,111,113,117,112,84,53,35,18,50,33,3,3,25,6
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau OBS De Zevenhoeven,0396::SB4,1963 KH,1944,977,0,1,0,0,0,903,75,0,0,0,0,0,0,978,134,125,115,136,111,142,57,32,34,34,22,9,1,21,4
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Kantine Brandweerkazerne,0396::SB5,1962 TG,1654,681,1,2,0,0,1,637,46,0,0,0,0,0,0,684,78,91,111,71,77,126,24,17,15,31,13,2,4,18,3
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Buurthuis de Schuilhoek,0396::SB6,1962 TV,1685,650,2,2,0,0,0,596,58,0,0,0,0,0,0,654,97,66,87,66,71,132,21,29,16,30,10,5,2,13,5
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Gemeentehuis,0396::SB7,1964 EZ,2186,1032,3,5,0,0,0,958,82,0,0,0,0,0,0,1040,156,108,142,114,129,185,36,31,20,53,12,7,3,24,12
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Tuinkamer Burisbeek,0396::SB8,1964 KT,1771,922,1,8,0,0,0,851,80,0,0,0,0,0,0,931,142,67,109,120,113,140,46,35,10,49,35,10,1,38,7
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Verpleeghuis Heemswijk,0396::SB9,1964 RM,1785,866,0,3,0,0,0,782,87,0,0,0,0,0,0,869,127,89,124,136,108,109,38,34,12,33,20,4,4,22,6
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Buurtcentrum D'Evelaer,0396::SB10,1969 MV,1403,655,3,0,0,0,1,585,72,0,0,0,0,0,0,658,153,44,78,72,45,167,18,16,14,17,9,4,1,15,2
Haarlem,Heemskerk,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Verzorgingshuis Westerheem,0396::SB11,1962 GA,1975,944,8,3,0,1,0,877,79,0,0,0,1,0,0,956,151,108,127,111,97,175,53,21,23,36,14,6,0,17,5
