contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Pro Rege,1714::SB1,,1741,695,3,0,0,0,0,620,78,0,0,0,0,0,0,698,61,49,173,71,16,107,92,25,33,9,17,23,19
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,"Stembureau OBS de Berenburcht, voorheen Den Hoekzak",1714::SB2,,1911,977,1,4,0,0,0,853,129,0,0,0,0,0,0,982,135,125,249,88,8,102,79,11,68,21,27,22,42
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Multifunctioneel gebouw Zuidzande,1714::SB3,,421,228,1,0,0,0,0,203,26,0,0,0,0,0,0,229,41,17,54,28,1,28,23,4,16,7,3,2,4
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verenigingsgebouw Cadzand,1714::SB4,,562,326,1,2,0,0,0,292,37,0,0,0,0,0,0,329,88,32,48,26,3,24,37,7,25,10,5,14,7
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Nieuwvliet,1714::SB5,,339,190,0,2,0,0,0,165,27,0,0,0,0,0,0,192,57,17,37,13,2,7,12,5,11,8,8,9,4
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Multifunctioneel centrum 't Torentje,1714::SB6,,824,450,0,1,0,0,0,396,55,0,0,0,0,0,0,451,87,45,68,50,4,61,32,13,32,25,7,17,9
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Multifunctioneel centrum Breskens,1714::SB7,,1981,780,1,2,0,0,0,697,86,0,0,0,0,0,0,783,158,73,83,112,0,95,92,19,45,26,29,24,24
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hooge Platen,1714::SB8,,1771,800,0,2,0,0,1,715,86,0,0,0,0,0,0,802,118,98,108,139,8,87,68,11,44,13,33,33,40
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Hoofdplaat,1714::SB9,,598,273,1,2,0,0,0,250,26,0,0,0,0,0,0,276,45,18,46,43,2,38,32,10,10,4,12,3,10
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgzaam Emmaus,1714::SB10,,1826,925,2,2,0,0,0,797,133,0,1,0,1,0,0,930,132,89,225,92,12,82,77,16,90,23,20,39,28
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hoofdingang Protestantse Kerk Schoondijke,1714::SB11,,1109,541,0,0,0,0,0,482,59,0,0,0,0,0,0,541,65,75,98,47,17,62,57,13,35,25,20,10,17
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Waterlandkerkje,1714::SB12,,420,250,0,0,0,0,2,216,32,0,0,0,0,0,0,250,40,25,50,29,11,11,26,6,11,10,6,6,19
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Aardenburg,1714::SB13,,1667,796,3,2,0,0,0,691,110,0,0,0,0,0,0,801,89,80,200,71,1,94,106,12,42,15,14,32,40
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Sint Kruis,1714::SB14,,213,138,0,0,0,0,0,124,14,0,0,0,0,0,0,138,18,3,59,7,2,11,11,0,7,0,1,3,16
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Eede,1714::SB15,,507,213,1,1,0,0,0,184,31,0,0,0,0,0,0,215,24,11,84,30,0,8,17,4,7,4,9,7,8
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Multifunctioneel centrum De Keure,1714::SB16,,1610,718,5,3,0,0,0,603,123,0,0,0,0,0,0,726,137,54,162,74,0,61,56,3,46,11,17,31,66
,Sluis,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Retranchement,1714::SB17,,237,154,0,0,0,0,0,141,12,0,0,1,0,1,0,153,27,13,33,7,2,22,10,3,6,3,5,12,11
