contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau 't Olderloug te Slochteren,0040::SB1,,1581,956,1,5,0,0,1,858,103,0,0,0,0,0,0,962,92,97,117,76,68,37,273,36,16,35,15,71,0,5,7,4,0,3,4
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Meent te Schildwolde,0040::SB2,,1396,729,3,4,1,0,0,657,80,0,0,0,1,0,0,737,52,83,81,64,51,29,230,27,18,17,9,50,0,3,2,3,2,0,8
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau 't Ufkenshuis te Siddeburen,0040::SB3,,1582,790,5,2,0,2,0,723,76,0,0,0,2,0,0,799,80,81,115,152,33,61,73,20,18,31,11,81,0,2,14,3,3,0,12
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Plaaisterploats te Tjuchem,0040::SB4,,401,217,1,0,0,0,0,194,24,0,0,0,0,0,0,218,24,22,35,21,10,27,12,12,3,11,2,22,0,1,2,0,1,7,5
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Pompel te Overschild,0040::SB5,,484,258,0,0,0,0,0,232,26,0,0,0,0,0,0,258,19,22,32,40,6,28,34,11,6,19,2,28,1,0,4,0,2,1,3
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Borgstee te Harkstede,0040::SB6,,1046,949,0,3,0,0,0,858,94,0,0,0,0,0,0,952,124,93,158,58,80,53,102,55,21,25,6,154,3,2,4,1,1,1,8
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Dorpshuis ""Mainschoar"" te Kolham",0040::SB7,,1090,611,1,2,0,0,0,557,57,0,0,0,0,0,0,614,72,56,105,49,41,64,39,22,8,13,9,106,1,6,10,2,0,3,5
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Ruitenvelder te Froombosch,0040::SB8,,877,465,0,0,0,0,0,427,38,0,0,0,0,0,0,465,55,33,87,47,16,52,30,25,11,16,12,62,1,2,3,1,1,0,11
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Rehoboth te Siddeburen,0040::SB9,,1411,761,5,3,0,0,0,680,89,0,0,0,0,0,0,769,84,71,137,126,38,75,74,5,21,17,7,77,0,2,9,3,4,0,11
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Scharmerhoeve te Scharmer,0040::SB10,,1365,556,2,3,0,0,0,504,57,0,0,0,0,0,0,561,76,74,48,40,74,31,38,29,12,25,5,83,1,8,7,0,1,0,4
,Slochteren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Graankorrel te Harkstede,0040::SB11,,900,484,3,0,0,0,0,424,63,0,0,0,0,0,0,487,62,54,75,45,36,24,56,37,6,22,3,60,0,0,1,0,1,0,2
