contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Vriezenhof,1700::SB1,7671 GM,1178,686,3,5,0,0,0,628,66,0,0,0,0,0,0,694,207,43,31,47,13,30,157,13,106,25,6,8
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Buurthuis, Dokter Boomstr",1700::SB2,7671 AK,830,453,0,1,0,0,0,405,49,0,0,0,0,0,0,454,116,24,27,41,25,13,50,9,119,15,7,7
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau Westerkerk, Kanaalweg Z",1700::SB3,7671 GD,1464,642,0,0,0,0,0,572,70,0,0,0,0,0,0,642,158,24,56,64,41,26,113,10,118,18,5,9
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Hervormd Centrum Hoofdweg,1700::SB7,7676 AK,934,552,3,3,0,0,0,499,59,0,0,0,0,0,0,558,93,67,29,140,69,10,60,5,29,20,21,9
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau NH Kerk Oude Hoevenweg 40,1700::SB8,7671 PJ,562,256,0,0,0,0,0,229,27,0,0,0,0,0,0,256,73,15,35,26,13,8,46,5,15,12,4,4
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Eltheto,1700::SB9,7671 GG,658,316,0,0,0,0,0,281,35,0,0,0,0,0,0,316,85,16,28,25,18,8,53,12,48,10,4,9
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Weemelanden,1700::SB10,7672 GD,1159,623,0,1,0,0,0,547,77,0,0,0,0,0,0,624,166,38,50,45,45,27,103,16,92,16,12,13
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Baptistenkerk,1700::SB11,7676 AC,1240,497,5,1,0,0,0,447,56,0,0,0,0,0,0,503,94,74,25,83,52,18,48,12,47,14,19,11
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis Vriezenveen,1700::SB12,7671 GS,1104,673,2,2,0,0,0,612,65,0,0,0,0,0,0,677,189,34,47,72,57,27,112,12,77,35,3,8
,Twenterand,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Verzorgingscentrum 't Haarhuus,1700::SB13,7676 GA,1454,280,0,4,0,0,0,247,37,0,0,0,0,0,0,284,43,41,17,78,35,9,27,3,4,12,8,3
