contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Gemeentehuis, Parelhof1",0398::SB1,,2189,1302,8,3,0,0,0,1222,91,0,0,0,0,0,0,1313,220,151,144,153,156,177,38,42,83,75,38,5,0,12,8
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau O.B.S. De Carrousel, Smaragd 27",0398::SB2,,1392,651,0,1,0,0,0,579,73,0,0,0,0,0,0,652,99,75,79,90,116,49,19,31,11,24,28,10,0,14,6
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau O.B.S. De Fonkelsteen, Middenweg 30A",0398::SB3,,2322,1166,0,5,0,0,0,1060,111,0,0,0,0,0,0,1171,228,135,121,157,144,120,64,39,45,50,32,4,3,14,10
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Buurthuis De Hoeksteen, Amatist 13",0398::SB4,,1793,689,0,1,0,0,0,630,60,0,0,0,0,0,0,690,82,82,78,94,115,49,30,26,32,33,32,3,0,26,7
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ICBS De Vaart Bakboord, Standerdmolen 8",0398::SB5,,1584,508,2,3,0,0,0,481,32,0,0,0,0,0,0,513,50,43,89,61,103,27,17,27,25,22,22,2,3,10,7
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ICBS De Vaart Stuurboord, Standerdmolen 2",0398::SB6,,1735,610,1,1,0,0,1,549,62,0,0,0,0,0,0,612,76,64,124,56,113,41,24,15,18,27,17,5,3,20,7
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Trinitas College, loc. J.Bosco, Windmolen 2-4",0398::SB7,,1312,611,0,1,0,0,0,560,52,0,0,0,0,0,0,612,103,50,76,80,97,60,23,26,30,32,11,2,2,9,10
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau O.B.S. Atalanta, Zonnegloren 1",0398::SB8,,2102,603,3,0,0,0,0,523,83,0,0,0,0,0,0,606,215,51,63,108,29,37,19,22,17,7,10,8,7,4,6
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau ICBS De Boomladder, Eikenlaan 6",0398::SB9,,1591,850,1,2,0,0,0,779,74,0,0,0,0,0,0,853,131,106,118,103,122,86,31,35,44,36,21,5,0,7,5
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Woonzorgcomplex Arboretum, Tamarixplantsoen 1",0398::SB10,,1697,711,1,1,0,0,0,662,51,0,0,0,0,0,0,713,82,64,109,54,135,90,30,27,43,30,24,8,6,4,5
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Huize Hugo-Oord, van Veenweg 15",0398::SB11,,1846,931,4,3,0,0,0,846,94,0,0,0,2,0,0,940,213,65,103,117,63,175,29,37,43,33,28,5,0,14,6
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Buurthuis de Ezel, Fabritiuspark 20",0398::SB12,,1115,666,1,1,0,0,0,608,60,0,0,0,0,0,0,668,114,52,100,70,114,94,19,15,23,27,23,3,2,8,2
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau BS De Zevensprong, Saenredamlaan 2",0398::SB13,,1455,583,1,1,0,0,0,541,44,0,0,0,0,0,0,585,88,34,83,60,111,80,21,23,28,20,18,4,2,6,5
Den Helder,Heerhugowaard,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Dorpshuis de Noord, Middenweg 537",0398::SB14,,2060,1013,6,1,0,0,0,901,119,0,0,0,0,0,0,1020,293,50,138,74,39,281,20,18,33,29,15,8,0,12,3
