contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis,0766::SB1,5104 JJ,3073,1281,3,7,0,0,0,1148,143,0,0,0,0,0,0,1291,255,230,126,186,94,168,52,38,37,0,1,73,2,17,2
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Vlinderboom,0766::SB2,5102 XS,2630,981,3,5,0,0,0,900,89,0,0,0,0,0,0,989,150,131,108,235,99,86,32,43,22,0,1,53,2,18,1
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Volckaert,0766::SB3,5102 DB,1257,682,3,0,0,0,0,627,58,0,0,0,0,0,0,685,113,134,68,102,66,79,9,39,37,0,0,25,2,8,0
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool  St Jan,0766::SB4,5104 CL,1591,749,0,2,0,0,1,675,75,0,0,0,0,0,0,751,135,93,105,161,63,55,24,40,20,2,2,37,2,9,1
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool Achterberg,0766::SB5,5104 EG,1296,558,0,0,0,0,0,485,73,0,0,0,0,0,0,558,80,114,78,82,50,75,13,18,13,0,0,33,0,2,0
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Clubgebouw V.V.Dongen,0766::SB6,,2124,990,0,5,0,0,1,897,97,0,0,0,0,0,0,995,227,146,114,126,100,123,41,27,25,2,0,48,0,11,0
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool de Noorderpoort,0766::SB7,5103 GN,2510,1021,3,0,0,0,0,923,101,0,0,0,0,0,0,1024,119,118,139,188,110,146,43,41,40,2,1,69,2,3,0
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Sportzaal De Gaasjes,0766::SB8,5106 NC,822,360,3,0,0,0,0,313,50,0,0,0,0,0,0,363,52,134,43,26,17,22,1,13,10,3,0,34,1,4,0
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Dorpshuis De Geubel,0766::SB9,5109 AC,1834,949,1,3,0,0,0,834,119,0,0,0,0,0,0,953,136,228,104,71,48,101,22,30,27,1,0,81,3,94,3
Tilburg,Dongen,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Europlus,0766::SB10,5101 TJ,2646,897,3,6,0,0,0,818,88,0,0,0,0,0,0,906,147,138,121,172,66,113,20,37,25,0,0,41,3,12,2
