contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Stadhuis Veghel,0860::SB1,,1425,850,7,4,0,0,0,785,76,0,0,0,0,0,0,861,182,226,74,125,70,78,16,34,23,0,1,16,2,3
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Dienstencentrum De Peppelhof,0860::SB2,,1445,588,1,1,0,0,0,531,59,0,0,0,0,0,0,590,104,184,44,92,34,54,17,33,15,1,1,9,0,0
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Wijkgebouw De Bloemfontein,0860::SB3,,1325,431,3,4,0,0,0,387,51,0,0,0,0,0,0,438,56,79,76,106,26,30,11,19,19,0,1,5,2,1
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Joachim en Anna,0860::SB4,,1181,757,3,3,0,0,0,690,74,0,1,0,1,0,0,764,139,272,73,110,30,66,12,28,13,0,0,8,2,4
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Wijkgebouw De Lapvoet,0860::SB5,,1437,575,5,3,0,0,0,520,63,0,0,0,0,0,0,583,83,79,70,150,48,64,12,29,21,6,0,8,2,3
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum AAtrium,0860::SB6,,1360,670,1,4,0,0,0,628,46,0,0,1,0,1,0,674,92,122,100,152,51,67,15,47,7,0,0,4,2,11
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Vijfmaster,0860::SB7,,1069,300,2,0,0,0,0,271,31,0,0,0,0,0,0,302,63,53,31,56,18,40,4,27,7,1,0,0,0,0
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Wijkgebouw De Golfstroom,0860::SB8,,1294,437,6,1,0,0,0,387,57,0,0,0,0,0,0,444,69,78,72,116,26,44,7,13,7,0,0,5,0,0
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Uilenbrink,0860::SB9,,1309,706,4,2,0,1,0,638,75,0,0,0,1,0,0,713,181,149,70,103,42,101,21,14,13,2,0,4,2,4
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Verpleegtehuis De Watersteeg,0860::SB10,,1133,704,0,1,0,1,1,635,68,0,0,1,0,0,0,704,90,167,69,143,60,96,17,21,23,3,0,7,1,7
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Wijkgebouw De Spil,0860::SB11,,987,463,0,1,0,0,0,421,43,0,0,0,0,0,0,464,72,44,73,126,44,42,17,16,15,0,1,7,0,6
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool  't Heibosch,0860::SB12,,1257,569,5,1,0,0,0,519,56,0,0,0,0,0,0,575,107,78,78,102,44,89,21,17,20,0,1,11,1,0
's-Hertogenbosch,Veghel,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau ROC de Leijgraaf,0860::SB13,,1195,459,1,1,0,0,0,400,61,0,0,0,0,0,0,461,78,76,66,69,30,82,15,18,13,3,0,6,0,3
