contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Oostdam,1924::SB1,3252 AV,1658,954,3,4,0,0,0,842,119,0,0,0,0,0,0,961,182,52,90,124,40,73,20,88,241,20,22,0,0,0,1,1
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dorpstienden,1924::SB2,3253 AS,1427,1078,1,3,0,0,7,932,143,0,0,0,0,0,0,1082,224,41,93,119,22,42,13,59,425,19,17,1,0,2,1,0
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Eben Haëzer,1924::SB3,3253 VJ,1782,979,0,3,0,0,0,849,133,0,0,0,0,0,0,982,110,34,93,100,29,14,8,79,489,9,9,0,0,2,0,3
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Vliedberg,1924::SB4,3253 CT,1246,735,2,0,0,0,3,636,98,0,0,0,0,0,0,737,90,31,85,66,32,22,5,54,310,24,10,0,1,2,0,3
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Rank,1924::SB5,3251 AB,1377,671,0,2,0,0,0,583,90,0,0,0,0,0,0,673,83,44,102,102,45,23,2,54,172,18,20,0,1,2,0,3
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 't Haegse Huus,1924::SB6,3251 CR,1285,688,0,2,0,0,0,616,74,0,0,0,0,0,0,690,62,74,102,103,52,27,9,53,161,23,18,1,0,0,0,3
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Schakel,1924::SB7,3247 AA,1998,1184,0,0,0,0,150,1031,3,0,0,0,0,0,0,1184,129,68,158,110,93,32,21,76,445,22,21,2,0,1,0,6
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Geldershof,1924::SB9,3247 KE,2032,1068,1,7,0,0,1,932,143,0,0,0,0,0,0,1076,116,70,145,99,64,31,10,76,408,32,16,0,0,0,1,0
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Ons Huis,1924::SB10,3249 AJ,985,561,2,0,0,0,0,506,57,0,0,0,0,0,0,563,82,36,106,43,29,22,11,27,170,15,14,1,2,0,0,3
Dordrecht,Goeree-Overflakkee,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Melishof,1924::SB11,3248 BE,1643,835,0,3,0,0,0,746,92,0,0,0,0,0,0,838,107,63,147,96,74,34,16,46,179,34,28,5,3,1,0,2
