contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Gasthuis,0664::SB1,,1488,836,3,3,0,0,1,762,79,0,0,0,0,0,0,842,122,96,153,89,59,104,17,43,77,39,26,6,5
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Ter Valcke,0664::SB2,,1352,744,0,4,0,0,0,669,79,0,0,0,0,0,0,748,99,85,115,55,112,76,18,41,74,28,24,4,13
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Basisschool De Wingerd,0664::SB3,,1339,824,2,1,0,0,0,725,103,0,1,0,1,0,0,828,132,59,116,39,119,54,11,116,106,39,11,10,12
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Randhof,0664::SB4,,1337,709,4,2,0,0,0,655,60,0,0,0,0,0,0,715,48,81,91,75,102,121,21,42,60,21,27,7,13
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Stadskantoor,0664::SB5,,1351,817,1,2,0,0,0,740,80,0,0,0,0,0,0,820,162,95,103,81,39,119,14,35,73,53,30,4,9
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum de Westkant,0664::SB6,,1371,587,2,5,0,0,0,535,59,0,0,0,0,0,0,594,91,70,80,63,34,85,21,54,43,25,11,4,6
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kantine Openbare Ruimte,0664::SB7,,1781,396,0,3,0,0,0,359,40,0,0,0,0,0,0,399,27,58,39,38,20,88,17,30,33,19,13,9,5
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wooncentrum Erasmuspark,0664::SB8,,1554,875,2,4,0,0,0,790,91,0,0,0,0,0,0,881,69,95,137,107,55,140,28,76,59,51,33,12,13
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum de Spinne,0664::SB9,,1626,762,3,2,1,0,0,675,93,0,0,0,1,0,0,768,72,113,67,81,41,160,14,60,50,47,33,7,17
,Goes,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum De Pit,0664::SB10,,1305,672,2,2,0,0,0,627,49,0,0,0,0,0,0,676,47,94,127,65,46,119,25,42,45,28,16,8,10
