contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,0147::SB1,7622 DG,1493,767,1,4,0,0,2,706,64,0,0,0,0,0,0,772,215,76,87,79,140,74,8,29,3,24,9,23
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Zeppelin,0147::SB2,7622 HB,1439,680,0,1,0,0,0,619,62,0,0,0,0,0,0,681,180,77,67,77,121,72,10,35,2,18,10,11
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Wiekslag,0147::SB3,7621 EK,929,496,0,3,0,0,0,452,47,0,0,0,0,0,0,499,116,55,41,51,99,56,8,35,1,18,5,11
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Wijkgebouw De Letterbak,0147::SB4,7621 CV,1538,735,1,2,0,0,0,659,79,0,0,0,0,0,0,738,189,77,94,73,107,98,13,42,4,27,5,6
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool 't Oldhof,0147::SB5,7621 XJ,1257,715,0,1,0,0,1,637,78,0,0,0,0,0,0,716,224,66,89,69,101,79,12,27,0,16,15,17
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Brandweerkazerne,0147::SB6,7622 BM,1251,542,0,3,0,0,0,490,55,0,0,0,0,0,0,545,138,50,98,70,71,60,11,19,1,14,6,4
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Het Dijkhuis,0147::SB7,7622 CM,1399,752,2,5,0,0,0,685,73,0,0,1,0,1,0,758,269,87,100,56,78,86,13,28,3,17,3,12
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool 't Iemnschelf,0147::SB8,7623 DR,1379,759,1,0,0,0,0,696,64,0,0,0,0,0,0,760,170,92,84,70,121,95,14,39,1,32,23,18
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau MFA Sindron,0147::SB9,7625 PH,1130,641,2,0,0,0,0,568,75,0,0,0,0,0,0,643,304,27,85,49,52,51,6,19,1,24,7,16
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool De Vonder,0147::SB10,7623 AJ,1445,660,1,0,0,0,0,557,104,0,0,0,0,0,0,661,180,49,157,54,40,116,18,19,1,7,10,9
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool St. Aegidius,0147::SB11,7626 LW,382,222,0,0,0,0,0,192,30,0,0,0,0,0,0,222,128,10,33,15,11,11,2,4,0,3,1,4
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeenschapsruimte,0147::SB12,7623 HD,1590,891,1,1,0,0,0,804,89,0,0,0,0,0,0,893,232,90,124,57,116,147,13,47,0,22,19,24
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool De Zonnebloem,0147::SB13,7621 GL,973,328,2,1,0,0,0,309,22,0,0,0,0,0,0,331,76,29,30,54,64,29,10,9,1,10,7,9
,Borne,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gezondheidscentrum Fleminghof,0147::SB14,7622 MB,782,652,3,0,0,0,0,602,53,0,0,0,0,0,0,655,224,75,67,42,82,87,12,21,7,23,2,10
