contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis,1690::SB1,7921 GD,1374,838,4,0,0,0,0,756,86,0,0,0,0,0,0,842,89,204,131,74,47,87,56,39,9,7,90,5
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontmoetingscentrum De Boerhoorn,1690::SB2,7921 GB,893,590,0,1,0,0,0,537,54,0,0,0,0,0,0,591,52,97,128,52,61,29,36,34,22,3,68,8
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Tonckenshuys,1690::SB3,7921 VR,1479,735,3,1,0,0,0,669,70,0,0,0,0,0,0,739,72,106,159,46,48,68,64,42,33,7,83,7
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis 't Markehuus,1690::SB4,7924 PP,456,247,0,3,0,0,0,227,23,0,0,0,0,0,0,250,35,56,28,26,11,22,12,16,6,0,34,1
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Buddingehof,1690::SB5,7961 AM,1028,606,0,2,0,0,1,547,60,0,0,0,0,0,0,608,86,166,97,42,48,64,33,16,17,2,28,7
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorphuis De Kolonie,1690::SB6,7961 NH,703,476,1,2,0,0,1,426,52,0,0,0,0,0,0,479,46,130,104,25,21,41,21,41,10,3,28,6
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Streekcentrum De Snikke,1690::SB7,7924 RD,538,314,0,1,0,0,0,287,28,0,0,0,0,0,0,315,36,82,45,20,22,29,10,19,13,3,30,5
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Linde,1690::SB8,7925 PB,438,257,0,0,0,0,0,228,29,0,0,0,0,0,0,257,18,78,46,23,9,26,17,7,11,8,12,2
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis 't Drogterhuus,1690::SB9,7705 PH,421,211,3,0,0,0,0,188,26,0,0,0,0,0,0,214,11,35,53,19,18,25,14,3,8,2,17,6
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum De Priensenije,1690::SB10,7963 CN,1426,708,1,3,0,0,0,661,51,0,0,0,0,0,0,712,118,201,85,53,67,71,15,27,30,1,25,15
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontmoetingscentrum De Tump,1690::SB11,7963 BX,1292,785,2,0,0,0,2,738,47,0,0,0,0,0,0,787,93,248,65,80,99,65,16,26,32,0,51,10
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Bastogne,1690::SB12,7964 KK,461,299,0,1,0,0,0,277,23,0,0,0,0,0,0,300,40,111,30,14,21,31,7,26,4,0,11,4
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Schakel,1690::SB13,7958 SB,1501,880,0,2,0,0,0,802,80,0,0,0,0,0,0,882,82,152,260,67,52,59,54,48,22,4,72,8
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Welzijncentrum Havezate,1690::SB14,7957 AC,1115,736,1,1,0,0,1,674,63,0,0,0,0,0,0,738,95,171,51,79,57,125,15,47,36,3,43,14
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum Dunninghe,1690::SB15,7957 EA,1111,555,1,3,0,0,0,511,48,0,0,0,0,0,0,559,69,148,68,22,37,120,17,20,20,6,27,1
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis D' Olde Karke,1690::SB16,7932 PP,305,213,1,0,0,0,0,197,17,0,0,0,0,0,0,214,14,54,22,15,7,13,18,9,8,1,50,2
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Alke,1690::SB17,7927 TC,1267,660,0,4,0,0,0,601,63,0,0,0,0,0,0,664,34,69,243,76,33,35,62,18,21,16,45,8
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum 't Vonder,1690::SB18,7961 AV,1204,559,1,3,0,0,0,518,45,0,0,0,0,0,0,563,77,134,96,44,43,62,23,29,8,2,35,6
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Veldhoek,1690::SB19,7958 RC,467,235,0,0,0,0,0,208,27,0,0,0,0,0,0,235,30,45,34,29,11,22,4,15,13,0,28,4
,De Wolden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Ontmoetingskerk,1690::SB20,7921 AH,1188,581,0,3,0,0,0,536,48,0,0,0,0,0,0,584,42,99,142,43,26,51,54,45,11,3,62,3
