contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,FNP,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Democraten 66 (D66),Friese Koers,Partij voor de Dieren,50PLUS,Verenigd Links-Feriene Lofts,Libertarische Partij (LP)
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis Kollum,0079::SB1,9291 KB,1535,787,2,2,0,1,0,720,72,0,0,0,1,0,0,792,96,241,75,92,80,54,68,12,29,2,18,16,0,4
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Meckama State"" Kollum",0079::SB2,9291 AM,1563,764,1,4,0,0,1,716,52,0,0,0,0,0,0,769,78,238,51,98,68,77,79,10,32,1,17,12,2,1
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Pro Rege"" Kollum",0079::SB3,9291 EM,1335,849,3,3,0,0,0,779,76,0,0,0,0,0,0,855,80,255,83,95,71,63,117,22,17,2,20,22,0,2
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis 't Trefpunt Kollumerpomp,0079::SB4,9293 LL,385,226,1,2,0,0,0,208,21,0,0,0,0,0,0,229,12,54,35,32,26,22,25,3,4,3,7,3,0,0
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Toutenburg Burum,0079::SB5,9851 AR,614,310,1,1,0,0,0,278,34,0,0,0,0,0,0,312,15,103,50,13,34,15,35,9,15,1,13,6,0,1
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Schans Munnekezijl,0079::SB6,9853 PH,372,205,0,1,0,0,0,185,21,0,0,0,0,0,0,206,22,44,39,10,35,22,16,1,4,0,2,10,0,0
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.F.C. Hústerwâld Oudwoude,0079::SB7,9294 KP,718,364,0,0,0,0,0,321,43,0,0,0,0,0,0,364,39,89,54,60,35,35,22,8,9,1,5,7,0,0
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau M.F.C. De Tredder Westergeest,0079::SB8,9295 KC,707,408,0,0,0,0,0,368,40,0,0,0,0,0,0,408,48,84,39,69,58,33,36,12,17,2,3,6,0,1
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Eendracht"" K'Zwaag",0079::SB9,9298 RG,1095,579,2,3,0,0,0,514,70,0,0,0,0,0,0,584,26,179,35,72,53,33,138,4,10,4,8,14,0,3
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis K'zwaag,0079::SB10,9298 JP,1092,501,0,1,0,0,0,433,69,0,0,0,0,0,0,502,27,131,29,81,66,35,90,3,13,1,9,10,1,5
,Kollumerland en Nieuwkruisland,PS2015_Fryslan,Provinciale Staten Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Bosk Zwagerbosch,0079::SB11,9299 HT,538,194,0,3,0,0,0,177,20,0,0,0,0,0,0,197,20,24,6,37,37,25,31,1,6,1,4,2,0,0
