contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,OPA,JEZUS LEEFT
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Gemeentehuis,0050::SB1,,1313,1028,3,3,0,0,0,938,96,0,0,0,0,0,0,1034,255,69,109,179,86,87,91,45,20,48,33,2,4
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau 't Wold,0050::SB2,,1199,674,2,3,0,0,0,601,78,0,0,0,0,0,0,679,125,48,91,110,72,51,51,36,15,47,27,1,0
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau De Richtingwijzer,0050::SB3,,1384,866,1,4,0,1,0,771,101,0,0,0,1,0,0,872,182,32,78,147,77,92,116,51,20,39,25,3,4
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau In de Lichtkring,0050::SB4,,1441,769,0,2,0,1,0,700,72,0,0,0,1,0,0,772,105,45,90,125,58,72,151,37,14,50,18,4,0
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau De Zevenster,0050::SB5,,946,539,1,1,0,0,0,488,53,0,0,0,0,0,0,541,137,31,61,78,36,50,45,32,12,39,18,0,0
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau De Delta,0050::SB6,,1641,876,0,0,0,0,0,780,96,0,0,0,0,0,0,876,200,56,77,130,72,90,105,38,11,50,40,3,4
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau 't Kofschip,0050::SB7,,1455,731,3,3,0,0,0,661,76,0,0,0,0,0,0,737,153,46,85,92,47,79,98,39,9,45,28,7,3
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau De Toermalijn,0050::SB8,,1520,850,3,3,0,1,1,750,104,0,0,1,0,0,0,855,187,41,118,120,37,90,145,35,12,32,29,2,2
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Het Mozaïek,0050::SB9,,1579,879,0,1,0,0,0,782,98,0,0,0,0,0,0,880,214,44,95,150,42,71,121,47,32,42,18,1,2
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Panta Rhei (10),0050::SB10,,1029,664,2,1,0,0,0,546,121,0,0,0,0,0,0,667,239,26,64,113,24,43,64,25,35,13,17,0,1
,Zeewolde,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Panta Rhei (11),0050::SB11,,1735,538,0,0,0,0,0,448,90,0,0,0,0,0,0,538,147,17,55,102,22,48,57,32,19,22,15,1,1
