contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,OPA,JEZUS LEEFT
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1089,440,1,2,0,0,1,381,62,0,1,0,1,0,0,444,58,36,87,86,47,23,24,9,9,41,14,5,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1783,807,2,0,0,0,0,725,84,0,0,0,0,0,0,809,121,90,119,90,97,66,53,40,19,73,32,6,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Laetare,0995::SB3,8223 ZR,1496,557,2,3,0,0,0,485,77,0,0,0,0,0,0,562,62,54,99,40,85,72,28,51,7,28,22,6,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1345,462,0,0,0,0,0,414,48,0,0,0,0,0,0,462,42,42,104,38,74,34,27,16,10,40,26,6,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Atolplaza,0995::SB5,8224 CM,1595,553,2,8,0,0,0,488,75,0,0,0,0,0,0,563,42,85,99,34,77,48,24,65,7,38,23,7,4
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1428,515,0,2,0,0,0,477,40,0,0,0,0,0,0,517,40,51,95,67,79,38,25,43,10,49,9,9,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Wingerd,0995::SB7,8212 CA,1487,881,3,0,0,0,0,787,97,0,0,0,0,0,0,884,153,112,90,129,64,94,86,63,16,38,24,11,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Arcus,0995::SB8,8224 KR,1209,526,3,2,1,0,0,470,60,0,0,1,0,0,0,530,75,72,71,66,44,53,32,43,5,37,21,3,4
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1714,967,0,2,0,0,0,887,83,0,0,0,1,0,0,970,147,108,161,94,110,81,49,60,15,81,40,19,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Laarstaete,0995::SB10,8225 CB,1496,440,4,0,0,0,0,409,35,0,0,0,0,0,0,444,43,58,67,43,71,33,32,25,6,35,22,3,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Driemaster,0995::SB11,8225 AG,1707,620,2,6,0,0,0,573,55,0,0,0,0,0,0,628,64,80,123,65,89,53,35,27,6,35,27,6,10
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Het Spectrum,0995::SB12,8225 MA,1469,639,5,2,0,0,0,594,52,0,0,0,0,0,0,646,80,87,102,53,63,65,45,38,8,57,33,8,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum De Brink,0995::SB13,8225 SX,1407,714,7,4,0,0,0,651,74,0,0,0,0,0,0,725,64,81,141,57,121,69,36,35,7,51,41,7,4
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Poolster,0995::SB14,8226 BA,1631,378,1,1,0,0,0,356,24,0,0,0,0,0,0,380,19,41,91,25,63,19,36,28,8,25,21,2,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School Driestromenland,0995::SB15,8226 KA,2081,933,4,5,0,0,0,844,98,0,0,0,0,0,0,942,83,106,145,50,127,88,62,59,5,64,127,7,10
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Apollo Hotel Lelystad,0995::SB16,8224 BZ,1244,411,2,1,0,0,0,381,33,0,0,0,0,0,0,414,55,52,69,36,81,32,21,22,1,21,12,3,6
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kerkcentrum Het Anker,0995::SB17,8231 BH,1561,950,6,1,0,0,0,863,94,0,0,0,0,0,0,957,128,118,128,135,85,103,70,47,9,56,54,13,4
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Boeier,0995::SB18,8242 VS,1335,899,0,0,0,0,0,798,101,0,0,0,0,0,0,899,192,127,83,107,86,109,31,50,7,59,34,10,4
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum De Dukdalf,0995::SB19,8242 EK,2127,757,3,3,0,0,0,690,73,0,0,0,0,0,0,763,77,68,158,84,125,73,42,23,5,68,23,11,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Albatros,0995::SB20,8242 AL,2106,887,0,2,0,0,0,784,105,0,0,0,0,0,0,889,252,67,135,92,93,90,23,31,3,58,32,9,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Dans- en Partycentrum Overeem,0995::SB21,8242 BA,1797,772,3,2,0,0,0,712,65,0,0,0,0,0,0,777,77,83,153,56,148,70,17,33,12,73,32,15,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kindcentrum Warande,0995::SB22,8245 AA,1149,505,0,0,0,0,0,439,66,0,0,0,0,0,0,505,156,44,40,46,25,76,19,33,2,25,35,2,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Woonzorgcentrum Hanzeborg,0995::SB23,8232 DC,2191,968,12,8,0,0,2,891,99,0,0,0,4,0,0,992,116,106,175,68,157,106,37,43,7,92,48,10,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kerkcentrum 't Lichtschip,0995::SB24,8243 BW,1654,787,1,0,0,1,0,720,69,0,0,0,1,0,0,789,106,63,126,85,136,59,52,39,12,51,43,14,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Toermalijn,0995::SB25,8243 LR,1612,619,1,0,0,0,0,561,59,0,0,0,0,0,0,620,74,67,143,46,104,54,30,14,7,47,26,5,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kerkcentrum Petruskerk,0995::SB26,8243 KA,1506,670,1,2,0,1,0,600,74,0,0,0,1,0,0,674,90,63,133,61,109,62,27,40,1,51,28,4,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Tjalk,0995::SB27,8232 LT,1563,692,2,3,0,0,0,631,66,0,0,0,0,0,0,697,98,63,125,70,108,63,45,23,6,51,30,7,3
