contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Hof van Coevorden Coevorden,0109::SB1,7741 GC,1061,653,3,0,0,0,0,594,62,0,0,0,0,0,0,656,103,112,120,76,95,62,14,17,17,3,22,12
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Nieuwe Bastion Coevorden,0109::SB2,7741 HX,1144,559,1,0,0,0,0,516,44,0,0,0,0,0,0,560,90,68,117,89,87,19,27,9,25,5,13,10
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Voorde Coevorden,0109::SB3,7742 VC,1274,757,0,4,0,0,0,714,47,0,0,0,0,0,0,761,140,100,149,118,94,53,20,25,23,1,20,14
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zaal De Loo Coevorden,0109::SB4,7741 EJ,1876,912,2,3,0,0,0,836,81,0,0,0,0,0,0,917,113,104,155,158,158,49,32,30,50,9,36,18
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau BSV Tuindorp Coevorden,0109::SB5,7741 TT,1467,288,0,0,0,0,0,264,24,0,0,0,0,0,0,288,42,21,35,68,62,31,3,7,13,2,4,0
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Sint-Franciscus Coevorden,0109::SB6,7742 BR,1588,707,3,0,0,0,0,645,65,0,0,0,0,0,0,710,69,113,202,80,97,55,17,26,21,1,13,13
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Drostenhal Coevorden,0109::SB7,7742 WJ,2067,813,0,3,0,0,0,738,78,0,0,0,0,0,0,816,103,93,110,154,158,72,30,21,38,3,21,10
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Schutse Coevorden,0109::SB8,7741 AD,960,388,0,3,0,0,0,360,31,0,0,0,0,0,0,391,68,34,63,80,68,26,13,1,14,6,10,5
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Schalm Steenwijksmoer,0109::SB9,7741 PL,758,365,1,2,0,0,0,341,27,0,0,0,0,0,0,368,21,52,118,60,48,18,6,9,18,0,10,5
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Breiberg Dalerpeel,0109::SB10,7753 TK,713,305,1,0,0,0,0,277,29,0,0,0,0,0,0,306,42,25,57,52,58,18,7,6,18,2,17,3
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Spinde Dalen,0109::SB11,7751 GC,1556,888,1,4,0,0,0,797,96,0,0,0,0,0,0,893,115,285,135,53,124,61,15,28,31,7,24,10
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Boerhoorn Dalerveen,0109::SB12,7755 NR,571,265,0,3,0,0,0,268,0,0,0,0,0,0,0,268,24,88,36,28,23,17,6,16,8,0,15,4
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Selkersgoorn Dalen,0109::SB13,7751 CZ,1515,721,1,2,0,0,0,645,79,0,0,0,0,0,0,724,125,202,65,51,77,95,7,22,22,2,42,11
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Kom Wachtum,0109::SB14,7754 MA,282,194,1,0,0,0,0,177,18,0,0,0,0,0,0,195,15,83,17,15,19,20,7,4,6,2,4,2
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Etgaarde Oosterhesselen,0109::SB15,7861 BT,1494,900,7,1,0,0,0,843,65,0,0,0,0,0,0,908,155,196,98,90,84,115,30,55,34,10,18,15
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Pluspunt Gees,0109::SB16,7863 PP,745,476,1,4,0,0,0,431,50,0,0,0,0,0,0,481,74,94,118,19,33,43,46,21,5,17,6,0
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Tiphof Geesbrug,0109::SB17,7917 PE,1084,449,0,1,0,0,0,400,50,0,0,0,0,0,0,450,43,80,87,86,54,11,34,4,13,11,16,10
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFC De Brink Sleen,0109::SB18,7841 CE,1842,1126,1,4,0,0,0,1051,80,0,0,0,0,0,0,1131,188,254,217,60,110,133,31,46,39,1,27,20
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau OBS De Vlinderhof Noord Sleen,0109::SB19,7846 TA,669,424,1,0,0,0,0,383,42,0,0,0,0,0,0,425,59,112,71,26,44,37,5,22,12,7,20,9
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Ellertsveld Schoonoord,0109::SB20,7848 BP,1767,831,1,3,0,0,1,740,94,0,0,0,0,0,0,835,177,104,126,129,148,40,22,21,30,3,17,14
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis De Kiel,0109::SB21,7849 PC,304,182,1,0,0,0,0,168,15,0,0,0,0,0,0,183,30,28,22,15,26,17,11,4,9,0,6,14
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau d' Aol Schoelstee Wezuperbrug,0109::SB22,7853 TA,336,177,1,0,0,0,0,156,22,0,0,0,0,0,0,178,23,56,19,11,14,24,3,12,3,1,6,5
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Restaurant Moorman Erm,0109::SB23,7843 PJ,751,385,0,1,0,0,0,363,23,0,0,0,0,0,0,386,43,84,80,51,43,30,10,13,12,2,8,9
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau De Korenhof Aalden,0109::SB24,7854 NA,1758,1015,4,2,0,0,2,943,76,0,0,0,0,0,0,1021,178,220,189,46,80,100,34,36,55,5,51,21
,Coevorden,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Brasserie Tramlokaal Meppen,0109::SB25,7855 PH,320,239,0,0,0,0,0,216,23,0,0,0,0,0,0,239,31,68,33,31,20,15,4,17,5,7,3,5
