contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis Goirle,0785::SB1,5051 LT,1404,860,2,3,0,1,1,798,67,0,0,0,1,0,0,866,101,161,100,181,78,100,47,29,38,1,0,20,0,3,1
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Woonzorgcentrum ""Elisabeth""",0785::SB2,5051 HC,1559,555,0,1,0,0,0,493,63,0,0,0,0,0,0,556,57,99,75,129,47,55,27,25,19,1,1,14,4,2,0
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Zorgcentrum  ""Guldenakker""",0785::SB3,5051 GB,1434,746,3,0,0,0,0,683,66,0,0,0,0,0,0,749,91,146,122,169,47,77,21,36,23,0,0,10,0,3,1
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Basisschool ""Den Bongerd""",0785::SB4,5052 BL,1393,536,0,0,0,0,0,476,60,0,0,0,0,0,0,536,79,60,44,110,72,96,23,15,21,0,0,12,1,3,0
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Café ""Bij Ons"" voorzijde Frankenhal",0785::SB5,5052 BL,1408,736,0,0,0,0,0,672,64,0,0,0,0,0,0,736,99,75,93,173,88,94,39,26,24,0,0,16,2,6,1
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Basisschool ""De Kleine Akkers""",0785::SB6,5051 CR,1487,717,0,1,0,1,0,653,66,0,0,0,1,0,0,719,155,132,61,121,46,107,43,13,18,0,1,13,0,5,2
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Basisschool ""De Regenboog""",0785::SB7,5051 KR,1576,745,2,2,0,0,0,674,75,0,0,0,0,0,0,749,111,130,69,143,56,133,32,29,15,0,2,17,0,7,1
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Kantoor Kompaan en De Bocht,0785::SB8,5053 EA,1643,526,0,0,0,1,0,475,50,0,0,1,0,0,0,525,148,71,61,60,41,67,21,20,16,1,1,16,0,3,0
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Cultureel Centrum Jan van Besouw,0785::SB9,5051 RJ,1298,590,3,0,0,0,0,551,43,0,1,0,1,0,0,594,80,95,57,120,58,85,30,24,22,1,2,7,0,6,3
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Sporthal De Wissel,0785::SB11,5051 NZ,1174,568,1,1,0,0,0,527,43,0,0,0,0,0,0,570,140,70,51,74,55,93,26,23,21,0,0,11,0,4,0
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Openbare Basisschool 't Schrijverke,0785::SB12,5051 ML,1522,829,3,0,0,0,0,736,96,0,0,0,0,0,0,832,171,90,111,114,78,142,54,25,21,1,0,17,4,1,0
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Ontmoetingscentrum ""De Leybron""",0785::SB13,5133 AM,1029,508,1,2,0,0,2,462,47,0,0,0,0,0,0,511,105,150,52,44,29,67,22,16,11,0,0,10,1,0,1
Tilburg,Goirle,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Basisschool ""de Vonder""",0785::SB14,5133 AP,1059,562,1,1,0,1,0,523,42,0,0,0,1,0,0,565,92,183,36,66,44,72,21,21,14,0,0,12,0,1,0
