contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis,0015::SB1,9861 AC,1653,904,2,4,0,0,0,798,112,0,0,0,0,0,0,910,62,74,69,244,40,74,206,19,20,30,9,41,1,3,8,1,0,1,2
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gebouw Irene,0015::SB2,9862 TJ,524,252,1,0,0,0,0,221,32,0,0,0,0,0,0,253,24,26,29,39,15,20,54,4,2,4,8,22,0,0,4,0,1,0,0
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis 't Kompas,0015::SB3,9866 AP,710,346,4,0,0,0,0,320,30,0,0,0,0,0,0,350,17,30,13,130,9,21,56,10,3,7,4,43,0,1,1,0,1,0,0
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Woonzorgcentrum ""Het Hooge Heem""",0015::SB4,9861 BM,946,439,3,3,0,0,0,412,33,0,0,0,0,0,0,445,34,25,44,157,17,40,68,9,6,8,9,16,0,1,2,1,1,0,1
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gebouw De Branding,0015::SB5,9863 PH,864,424,1,1,0,0,0,379,47,0,0,0,0,0,0,426,25,28,34,148,16,28,69,8,5,8,11,38,0,1,0,1,2,0,2
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,9864 PL,546,273,0,3,0,0,0,255,21,0,0,0,0,0,0,276,7,13,14,81,11,31,68,5,4,8,6,25,0,0,0,0,0,0,0
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Vrijzinnig gebouw,0015::SB7,9865 AM,423,239,0,0,0,0,0,209,30,0,0,0,0,0,0,239,12,16,24,27,3,25,32,7,2,8,3,78,0,0,1,1,0,0,0
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Stichting Mfc De Veste,0015::SB8,9865 TE,1366,692,0,1,0,0,0,605,88,0,0,0,0,0,0,693,43,44,43,101,22,47,73,9,1,8,3,291,0,1,2,0,4,0,0
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gebouw Ons Centrum,0015::SB9,9821 PA,919,453,1,0,0,0,0,411,43,0,0,0,0,0,0,454,17,46,42,134,36,31,73,16,9,11,10,23,1,0,2,1,0,0,1
,Grootegast,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis De Rotonde,0015::SB10,9822 AA,1252,712,1,4,0,4,0,664,49,0,0,4,0,0,0,713,81,85,94,125,44,43,93,24,14,10,20,67,2,2,3,0,2,1,2
