contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Stappen,0873::SB1,4631 AD,1636,666,1,1,0,0,0,608,60,0,0,0,0,0,0,668,78,109,151,94,54,66,16,26,31,0,0,36,0,5,0
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis,0873::SB2,4631 GC,1613,1033,0,4,0,0,0,931,107,0,0,0,1,0,1,1038,153,235,199,142,72,75,15,36,49,0,0,43,3,9,2
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Appartementencomplex Lucashof,0873::SB3,4631 LR,1791,717,1,0,0,0,0,650,68,0,0,0,0,0,0,718,129,163,133,82,22,59,16,38,29,0,0,37,0,7,2
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Dorpshuis 't Blickvelt,0873::SB4,4634 TN,1216,541,0,2,0,0,0,494,49,0,0,0,0,0,0,543,88,120,79,61,31,60,11,16,23,1,0,39,3,7,2
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Kantine Sportpark Jac. van Hoek,0873::SB5,4631 GH,1919,544,2,0,0,0,0,491,55,0,0,0,0,0,0,546,70,113,125,79,29,46,7,20,23,0,1,28,1,2,0
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Mult centrum De Drieschaar,0873::SB6,4641 TH,1459,518,0,4,0,0,0,456,66,0,0,0,0,0,0,522,93,148,86,39,52,40,5,15,16,0,0,20,0,4,0
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Woonzorgcentrum Mariahove,0873::SB7,4641 TL,1407,538,0,1,0,1,1,461,78,0,0,0,1,0,0,540,79,127,90,65,46,44,9,29,32,0,0,12,0,5,0
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Hotel Dekkers,0873::SB8,4641 CP,1089,481,3,2,0,0,0,417,68,0,0,1,0,1,0,485,48,117,104,63,36,25,10,38,22,0,0,12,1,5,0
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Multifunctioneel Centrum De Biezen,0873::SB9,4645 DA,1072,387,1,0,0,0,1,347,40,0,0,0,0,0,0,388,59,39,135,51,22,16,9,15,18,0,0,12,1,7,3
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Woonzorgcentrum De Beukenhof,0873::SB10,4645 HV,1346,568,1,3,0,0,0,517,55,0,0,0,0,0,0,572,104,62,148,71,47,51,9,38,16,0,0,19,0,2,1
Tilburg,Woensdrecht,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Multifunctioneel Centrum De Kloek,0873::SB11,4635 BW,1672,841,4,1,0,0,0,748,99,0,1,0,1,0,0,847,151,355,80,64,30,73,17,20,28,0,1,13,1,8,0
