contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Stadhuis,0164::SB1,7551 EC,1819,1303,5,4,0,0,1,1199,112,0,0,0,0,0,0,1312,170,145,202,98,266,213,35,71,11,16,28,48
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Verpleeghuis Het Borsthuis,0164::SB2,7555 SH,1552,668,5,4,0,0,0,601,76,0,0,0,0,0,0,677,98,93,122,55,106,102,9,36,3,16,12,16
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Woonzorgcentrum Het Woolde,0164::SB3,7555 DR,1689,925,2,0,0,0,2,821,104,0,0,0,0,0,0,927,181,111,112,93,164,119,28,52,3,29,11,22
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Buurthuis Weidedorp - Woolderes,0164::SB4,7556 TM,1722,801,4,3,0,0,0,727,81,0,0,0,0,0,0,808,135,80,81,109,171,110,25,44,3,12,8,23
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Dr. A. Kuyperschool,0164::SB5,7556 ET,1732,863,2,5,0,0,2,802,66,0,0,0,0,0,0,870,135,107,98,89,194,106,22,56,3,17,5,31
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Wijkcentrum De Hengelose Es,0164::SB6,7556 LN,1646,682,4,0,0,0,1,621,64,0,0,0,0,0,0,686,95,85,51,83,173,91,21,34,2,22,9,16
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Wijkcentrum De Hengelose Es,0164::SB7,7556 LN,1458,501,1,7,0,0,0,466,43,0,0,0,0,0,0,509,74,68,43,49,136,47,14,23,6,23,4,14
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Ontmoetingsruimte Thiemsbrug,0164::SB8,7556 CH,1694,793,3,4,0,0,0,736,64,0,0,0,0,0,0,800,153,77,98,88,144,112,25,29,2,32,5,28
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Ontmoetingskerk,0164::SB9,7556 NP,1623,695,1,3,0,0,0,656,43,0,0,0,0,0,0,699,180,66,96,77,111,70,19,23,2,22,12,17
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Woonzorgcentrum Backenhagen,0164::SB10,7557 KE,1565,567,1,8,0,0,0,527,49,0,0,0,0,0,0,576,168,36,56,70,118,45,10,24,2,17,9,12
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Buitenschoolse opvang Pino,0164::SB11,7557 VZ,1375,565,2,1,0,0,0,515,53,0,0,0,0,0,0,568,119,96,32,70,143,52,15,19,1,5,0,13
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Scholengemeenschap Beyaert,0164::SB12,7557 CC,1309,658,1,1,0,0,0,601,59,0,0,0,0,0,0,660,133,71,136,41,84,86,13,39,7,18,3,27
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau VSO 't Korhoen,0164::SB13,7557 PC,1310,626,1,0,0,0,0,557,70,0,0,0,0,0,0,627,153,62,85,48,115,77,11,28,4,11,13,19
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Scholengemeenschap Beyaert,0164::SB14,7557 RH,1532,511,1,1,0,0,0,457,56,0,0,0,0,0,0,513,110,49,51,67,104,58,11,23,3,6,4,25
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Denksportcentrum Hengelo,0164::SB15,7557 EG,1548,449,2,3,0,0,0,426,28,0,0,0,0,0,0,454,76,60,31,63,130,44,4,11,1,12,5,12
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau De Zevensprong,0164::SB16,7552 MT,1059,511,3,2,0,0,0,464,52,0,0,0,0,0,0,516,124,66,31,41,134,44,17,20,4,15,5,10
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Dienstencentrum 't Swafert,0164::SB17,7552 ZB,1283,540,0,4,0,0,0,508,36,0,0,0,0,0,0,544,129,80,21,56,143,38,19,11,2,23,5,13
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Wijkcentrum De Tempel,0164::SB18,7552 JZ,1177,571,1,3,0,0,0,514,61,0,0,0,0,0,0,575,121,57,16,68,148,50,15,29,2,27,14,24
,Hengelo,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Drienermarke,0164::SB19,7552 HE,1748,1245,0,6,0,0,0,1159,92,0,0,0,0,0,0,1251,226,161,187,102,179,187,48,76,8,15,10,46
