contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Willibrord Verpleeghuis,0687::SB1,,1539,788,4,1,0,0,0,727,66,0,0,0,0,0,0,793,126,135,43,54,14,103,26,52,116,79,19,6,15
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Acaciahof,0687::SB2,,1417,696,1,0,0,0,0,630,68,0,0,0,1,0,0,698,133,109,60,21,10,80,10,40,111,95,6,6,15
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,,1247,646,5,2,0,0,0,597,56,0,0,0,0,0,0,653,99,99,50,29,23,87,12,36,106,64,16,11,14
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum Van Cittershoff,0687::SB4,,898,603,2,0,0,0,0,547,58,0,0,0,0,0,0,605,52,59,143,23,112,38,14,55,44,32,12,7,12
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Zorgcentrum Eben-Haëzer,0687::SB5,,1121,752,1,2,0,0,0,689,66,0,0,0,0,0,0,755,103,93,121,35,129,67,6,67,72,33,14,5,7
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 't Gasthuis,0687::SB6,,1629,969,3,3,0,0,1,848,126,0,0,0,0,0,0,975,101,133,149,39,94,128,23,67,109,95,15,3,13
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hof van Buren,0687::SB7,,1594,1181,4,2,2,0,0,1083,102,0,0,2,0,0,0,1185,134,189,160,73,60,174,21,83,116,78,51,20,22
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkgebouw 't Bolwerk,0687::SB8,4331 TB,1016,518,0,1,0,0,1,465,53,0,0,0,0,0,0,519,51,58,60,36,41,75,10,30,60,69,10,5,13
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Praktijkschool Het Bolwerk,0687::SB9,,1214,722,1,3,0,0,0,647,79,0,0,0,0,0,0,726,92,120,90,37,66,74,13,56,101,41,14,9,9
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Durps'uus op d'n oek,0687::SB10,,1048,602,1,1,0,2,0,538,68,0,0,0,2,0,0,606,59,61,100,54,85,68,23,51,39,22,20,9,11
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kindcentrum De Aventurijn,0687::SB12,,1297,686,2,1,0,0,1,629,59,0,0,0,0,0,0,689,69,120,92,24,48,98,14,47,81,53,18,7,15
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kerkgebouw de Hoeksteen,0687::SB14,,1389,771,2,2,1,0,0,710,64,0,0,1,0,0,0,774,48,120,73,103,21,167,26,54,48,43,34,15,19
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kerkgebouw de Morgenster,0687::SB16,,2233,1110,0,3,0,0,0,981,132,0,0,0,0,0,0,1113,94,159,146,69,263,111,13,99,71,52,11,8,14
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau De Ontmoetingskerk,0687::SB17,,1440,558,1,0,0,1,3,523,34,0,0,0,1,0,0,560,49,87,53,39,60,106,21,45,46,26,11,6,9
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Het Getij,0687::SB19,,1424,781,0,1,0,0,2,708,72,0,0,0,0,0,0,782,62,108,77,69,74,152,17,71,67,39,20,10,15
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum Palet,0687::SB20,,2123,835,1,2,0,0,0,752,85,0,0,1,0,1,0,837,67,131,87,82,59,137,23,79,70,41,30,13,16
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Scalda Ravensteijnweg,0687::SB21,,1292,601,1,0,0,1,0,521,80,0,0,1,0,0,0,601,160,54,57,49,49,29,18,64,68,23,8,9,13
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau R.K. Franciscusschool,0687::SB22,,1316,476,0,0,0,0,0,444,32,0,0,0,0,0,0,476,49,71,51,59,15,62,20,39,39,33,13,10,15
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Rustenburg,0687::SB23,,1405,573,0,0,0,0,0,527,46,0,0,0,0,0,0,573,48,87,60,61,14,112,16,42,56,27,27,9,14
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Verpleegcentrum Buitenrust,0687::SB24,,1173,433,0,2,0,0,0,405,30,0,0,0,0,0,0,435,52,68,52,45,15,60,16,28,43,26,18,5,5
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dolfijnenburch,0687::SB25,,1157,885,0,1,0,0,0,801,85,0,0,0,0,0,0,886,118,151,123,30,77,69,13,84,103,84,13,8,12
,Middelburg,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Wijkcentrum Palet,0687::SB26,,1585,934,2,3,0,0,0,850,91,0,0,0,2,0,0,941,82,166,104,106,50,147,27,54,86,37,39,16,20
