contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Gemeentehuis Heiloo,0399::SB1,1851 JL,2013,1292,3,2,0,1,0,1152,146,0,0,0,1,0,0,1298,320,155,113,214,76,150,77,69,25,39,23,3,0,18,10
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool Paulus,0399::SB2,1851 ZC,1399,762,1,2,0,0,1,689,75,0,0,0,0,0,0,765,170,87,72,125,61,84,44,44,7,31,8,3,0,18,8
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool De Springschans,0399::SB3,1851 MA,2046,1217,0,7,0,1,0,1123,102,0,0,0,1,0,0,1225,248,156,91,199,85,174,87,63,14,35,25,5,0,20,15
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Bowling Heiloo,0399::SB4,1851 ND,1289,677,2,0,0,0,0,612,67,0,0,0,0,0,0,679,158,74,66,107,44,102,34,23,8,33,9,5,0,7,7
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Wijkgebouw ""Ypsalon""",0399::SB5,1851 ZC,1975,989,4,1,0,5,0,916,83,0,0,0,5,0,0,999,281,110,103,174,66,101,40,38,11,26,18,5,1,10,5
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Jan van Rijckenborghschool,0399::SB6,1852 CC,2209,1262,4,1,0,1,0,1148,118,0,0,1,0,0,0,1266,374,146,74,219,66,166,57,56,17,39,31,5,0,6,6
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Bibliotheek Heiloo,0399::SB7,1852 AR,1841,1291,3,4,0,3,0,1202,99,0,0,0,3,0,0,1301,237,171,91,181,104,210,75,60,31,72,23,5,0,15,16
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Basisschool ""Elckerlyc""",0399::SB8,1852 WS,1912,1029,5,0,0,2,0,937,99,0,0,0,2,0,0,1036,207,119,101,196,89,95,64,42,25,34,14,8,0,19,16
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau De Benedictusschool,0399::SB9,1851 CK,1378,830,1,4,0,0,2,767,66,0,0,0,0,0,0,835,190,88,59,146,50,107,54,31,14,33,31,3,0,10,14
Den Helder,Heiloo,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,"Stembureau Basisschool ""Willibrord""",0399::SB10,1852 WS,1672,894,1,1,0,0,0,807,89,0,0,0,0,0,0,896,196,125,65,143,62,107,64,48,16,40,12,4,0,8,4
