contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Stadhuis,0353::SB1,3401 BK,1225,765,7,1,0,0,1,701,71,0,0,0,0,0,0,773,176,60,108,127,83,31,81,28,6,30,28,0,7,0,0
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS De Tandem,0353::SB2,3402 HP,1486,795,1,0,0,1,0,732,65,0,0,0,1,0,0,797,128,80,90,142,85,68,99,21,4,27,36,5,9,1,0
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Studio 10,0353::SB3,3402 VD,1803,557,1,2,0,0,0,514,46,0,0,0,0,0,0,560,72,65,45,71,81,34,107,14,4,34,26,0,3,0,1
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Kanovereniging,0353::SB4,3402 MJ,1424,553,2,4,0,0,0,502,57,0,0,0,0,0,0,559,120,53,104,68,55,17,59,16,9,33,13,2,4,0,0
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Ewoud,0353::SB5,3401 RH,1795,882,3,4,0,0,0,790,99,0,0,0,0,0,0,889,195,53,130,128,92,18,88,71,43,29,33,0,2,0,0
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Ontmoetingskerk,0353::SB6,3402 BG,1071,640,4,2,0,1,0,601,46,0,0,0,1,0,0,647,130,61,131,73,61,27,68,25,13,32,14,0,4,0,1
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau 't Kruispunt,0353::SB7,3401 CB,1977,1028,1,2,0,0,0,919,112,0,0,0,0,0,0,1031,191,98,149,148,96,54,134,43,28,39,32,1,12,0,3
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Oase,0353::SB8,3401 BZ,726,341,1,0,0,0,0,310,32,0,0,0,0,0,0,342,75,26,99,41,22,9,19,7,7,20,11,0,5,0,0
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Groen Olijftak,0353::SB9,3401 BZ,1543,793,0,2,0,1,0,704,90,0,0,1,0,0,0,794,175,71,87,104,120,31,88,26,9,40,34,4,3,0,1
,IJsselstein,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau CBS De Brug,0353::SB10,3401 GX,1389,556,1,6,0,0,1,495,67,0,0,0,0,0,0,563,125,47,87,89,61,13,52,26,17,18,9,2,7,0,3
