contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,OPA,JEZUS LEEFT
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Gemeentehuis,Harmen Visserplein 1",0171::SB1,,1332,852,1,3,0,0,0,775,81,0,0,0,0,0,0,856,100,84,68,167,138,83,75,29,43,33,24,6,2
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Kerkcentrum de Ontmoeting, Europalaan 42",0171::SB2,,1261,793,3,4,0,0,0,742,60,0,2,0,2,0,0,802,73,63,77,142,131,59,149,21,43,19,10,5,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Gymzaal Erven Oost, Espelerlaan 71",0171::SB3,,1371,428,1,3,0,0,0,370,62,0,0,0,0,0,0,432,115,17,30,94,26,30,69,2,33,4,5,1,2
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Bosbadhal, Boslaan 28",0171::SB4,,984,499,4,0,0,0,0,440,63,0,0,0,0,0,0,503,114,26,39,142,45,48,39,10,15,9,10,1,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Verz.huis de Golfslag Smedingplein 2,0171::SB5,,1285,767,3,2,0,0,0,710,62,0,0,0,0,0,0,772,140,77,64,168,105,80,46,24,23,24,10,2,4
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Woonzorg Hof van Smeden,Smeden 5",0171::SB6,,1273,703,2,2,0,0,0,651,56,0,0,0,0,0,0,707,82,64,53,224,98,46,74,8,22,19,9,3,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Buurthuis Revelsant, Pallasstraat 65 A",0171::SB7,,1596,589,2,2,0,0,0,562,31,0,0,0,0,0,0,593,59,75,88,73,102,55,48,13,32,31,10,0,3
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Dienstencentr. Wittesteijn,Revelsant 80",0171::SB8,,1509,632,0,4,0,0,0,602,34,0,0,0,0,0,0,636,62,56,56,132,93,47,87,10,51,18,14,6,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Buurth.Espelervaart, Atlantischestr. 18",0171::SB9,,1896,1148,2,5,0,0,0,1041,114,0,0,0,0,0,0,1155,158,80,84,197,148,117,212,33,59,26,26,4,4
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Buurthuis de Brulboei, Markenstraat 1",0171::SB10,,1318,714,4,2,0,0,0,652,68,0,0,0,0,0,0,720,81,61,48,122,149,62,100,11,23,38,10,8,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Verpleegh. Talmahof, Genemuidenstr 4",0171::SB11,,1311,604,1,3,0,0,0,551,56,0,0,1,0,0,0,607,110,48,57,138,72,40,58,18,34,17,7,5,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau OJS de Zevensprong, Ellertsveld 15",0171::SB12,,1987,982,2,1,0,0,0,888,98,0,1,0,1,0,0,986,164,67,71,224,96,108,137,36,37,17,19,3,3
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Buurthuis De Erven,Amstelland 2",0171::SB13,,1779,1204,5,1,0,0,0,1092,118,0,0,0,0,0,0,1210,245,63,107,277,103,94,157,33,64,33,23,5,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Dorpshuis de Bosfluiter, Amazonestr 46",0171::SB20,,1123,603,3,2,0,0,0,555,54,0,0,0,1,0,0,609,110,34,39,243,57,35,22,13,27,14,4,2,3
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Verz.huis Markehof,Walcherselaan 2",0171::SB21,,1465,733,2,4,0,0,0,680,60,0,0,0,1,0,0,740,118,44,63,199,74,57,82,31,23,24,9,6,3
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau CBS De Zeester, Noordzoom 119",0171::SB22,,1389,791,1,2,0,0,0,719,75,0,0,0,0,0,0,794,128,44,67,250,59,61,76,33,36,15,22,0,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Prot.centrum, Voorstraat 21",0171::SB23,,1087,632,0,1,0,0,1,589,43,0,0,0,0,0,0,633,126,43,51,140,52,65,51,26,29,30,13,4,2
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Steunpunt Ouderen, Baanhoek 21",0171::SB24,,1118,587,0,1,0,0,0,522,66,0,0,0,0,0,0,588,125,41,39,164,43,49,42,11,37,21,12,2,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau CBS het Lichtschip, Ingang EP Seidelstr.",0171::SB25,,1100,555,0,2,0,0,2,505,50,0,0,0,0,0,0,557,80,25,68,140,50,41,68,23,26,25,7,2,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Museum Nagele, Ring 23",0171::SB26,,1344,714,0,6,0,0,0,653,67,0,0,0,0,0,0,720,186,38,72,163,60,50,46,26,32,23,18,0,0
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau RK.parochiehuis, Vossenburcht 17",0171::SB27,,1587,854,0,1,0,0,0,737,118,0,0,0,0,0,0,855,134,28,66,232,40,29,130,18,146,11,8,6,6
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau MFC Mozaïek, Westerrand 42-44",0171::SB28,,1008,613,1,3,0,0,0,557,56,0,0,4,0,0,0,613,150,25,48,171,61,30,43,4,60,15,3,2,1
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Ontmoetingskerk, Galamalaan 35",0171::SB29,,1177,649,2,1,0,0,0,599,53,0,0,0,0,0,0,652,166,19,56,181,47,43,65,11,32,12,13,2,2
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Gymzaal de Kwartslag, Venelaan 3",0171::SB30,,1204,646,0,6,0,0,2,603,47,0,0,0,0,0,0,652,164,27,47,184,82,28,43,10,14,23,20,1,3
,Noordoostpolder,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,"Stembureau Bantsiliek , Zuidwend 2",0171::SB31,,982,525,1,1,0,0,0,470,57,0,0,0,0,0,0,527,117,34,52,151,49,51,37,9,9,4,7,5,0
