contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis,0010::SB1,9934 EA,1814,1088,3,5,0,0,1,991,103,0,0,1,0,1,0,1095,124,129,140,139,53,93,73,22,19,25,29,123,1,4,91,3,0,2,18
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Burg. van Julsinghatehuis,0010::SB2,9934 EH,1528,719,6,1,0,0,0,674,54,0,2,0,2,0,0,728,104,45,94,101,42,59,54,13,5,22,19,94,0,3,53,0,3,3,5
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,9934 LN,1157,643,1,0,0,0,59,585,0,0,0,0,0,0,0,644,57,94,81,58,47,68,77,9,12,14,12,81,0,2,25,1,0,0,5
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Aeolus,0010::SB4,9936 CS,1364,518,2,3,0,0,0,465,57,0,0,0,0,0,0,522,44,39,82,37,16,80,35,5,12,19,13,65,1,1,56,2,0,0,11
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Kerk Meedhuizen,0010::SB5,9937 PD,464,258,2,0,0,0,0,239,21,0,0,0,0,0,0,260,26,39,31,13,15,21,15,9,4,13,6,42,0,3,9,1,2,7,2
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gebouw Chr. Geref. Kerk,0010::SB6,9931 CB,2008,619,2,0,2,0,0,561,62,0,0,0,2,0,0,623,68,38,81,62,31,73,74,10,16,11,12,71,2,2,46,4,1,0,17
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Brede School Tuikwerd,0010::SB7,9932 BR,2100,766,4,3,0,0,0,700,73,0,0,0,0,0,0,773,75,57,139,56,42,84,81,13,11,34,10,109,2,4,25,2,1,2,19
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Eemsdeltacollege,0010::SB8,9932 BD,1255,522,0,1,0,0,0,476,47,0,0,0,0,0,0,523,73,52,81,60,36,38,50,14,18,6,8,53,2,1,21,0,0,0,9
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Brede School Noord,0010::SB9,9933 KH,2481,1069,4,7,0,0,1,978,101,0,0,0,0,0,0,1080,115,73,205,112,50,113,103,15,13,18,32,115,2,2,79,7,0,1,14
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau OBS Woldrakkers,0010::SB10,9946 PM,803,382,1,1,0,0,0,337,47,0,0,0,0,0,0,384,45,25,91,22,15,60,10,6,10,16,15,42,3,2,11,1,1,0,7
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau o.b.s. De Munte,0010::SB11,9948 PA,716,352,2,0,0,0,1,314,39,0,0,0,0,0,0,354,55,32,62,12,13,61,10,4,13,14,3,52,1,0,10,2,0,2,6
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Ons Centrum,0010::SB12,9945 SG,1448,727,2,1,0,0,81,649,0,0,0,0,0,0,0,730,63,64,108,121,37,61,64,22,17,15,10,109,0,6,12,2,4,0,12
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau CBS Bierum,0010::SB13,9906 PE,542,292,1,1,0,0,0,266,28,0,0,0,0,0,0,294,11,21,41,61,15,17,16,6,2,10,7,69,0,0,4,1,1,0,10
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Verenigingsgebouw Elim,0010::SB14,9909 AH,1076,616,1,1,0,0,0,558,60,0,0,0,0,0,0,618,41,33,69,73,23,37,76,13,6,12,9,188,2,0,12,2,0,0,20
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis De Heekt,0010::SB15,9905 PD,966,505,3,4,0,0,0,468,44,0,0,0,0,0,0,512,64,48,51,82,14,41,27,17,14,18,15,96,0,1,8,5,0,0,4
,Delfzijl,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Dorpshuis Vinkenhorst,0010::SB16,9908 PD,398,245,0,0,0,0,0,224,21,0,0,0,0,0,0,245,11,21,20,30,9,22,15,16,6,14,2,57,0,1,7,5,0,1,8
