contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Werft,0809::SB1,5171 EP,1677,711,2,3,0,0,0,636,80,0,0,0,0,0,0,716,100,148,151,102,43,69,35,20,24,0,1,6,4,8,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Bosvaert,0809::SB2,5171 JS,1613,751,1,1,0,1,1,662,91,0,0,0,1,0,0,754,211,149,122,52,35,76,27,29,21,2,0,15,3,7,2
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Voormalige Anton Pieckschool,0809::SB3,5171 MX,1635,588,3,1,2,0,0,532,58,0,0,2,0,0,0,590,85,63,108,111,34,74,21,28,32,0,1,20,3,8,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Vossenberg,0809::SB4,5171 DA,1450,564,0,0,0,0,1,480,83,0,0,0,0,0,0,564,106,102,78,70,23,49,17,23,12,0,0,6,2,75,1
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Westkant,0809::SB5,5171 CD,1350,508,4,1,0,0,0,459,54,0,0,0,0,0,0,513,94,64,88,90,36,42,15,32,24,0,0,13,1,7,2
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Buurthuis Pannehoef,0809::SB6,5171 ZC,1564,579,4,4,0,0,0,533,54,0,0,0,0,0,0,587,57,100,107,99,49,64,32,35,18,0,1,12,0,5,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Touwladder,0809::SB7,5171 WS,1671,692,0,1,0,0,0,622,71,0,0,0,0,0,0,693,146,118,95,89,49,67,38,34,29,0,1,12,0,13,1
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Crossroads,0809::SB8,5171 EA,1876,788,2,2,0,0,0,698,94,0,0,0,0,0,0,792,168,103,134,110,65,104,32,30,17,1,0,17,3,4,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Venloene,0809::SB9,5175 CX,1656,813,4,2,0,0,0,746,73,0,0,0,0,0,0,819,135,209,99,118,58,69,32,27,33,0,0,25,1,5,2
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Wetering,0809::SB10,5175 BZ,1593,847,4,0,0,0,0,769,82,0,0,0,0,0,0,851,194,140,100,92,75,113,38,28,33,2,0,22,2,8,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Serviceflat,0809::SB11,5175 WB,1559,800,4,1,0,0,0,742,63,0,0,0,0,0,0,805,203,156,87,66,84,88,39,19,33,0,0,15,1,9,0
Tilburg,Loon op Zand,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 't Moaske,0809::SB12,5176 NC,443,241,0,0,0,0,0,213,28,0,0,0,0,0,0,241,61,92,21,21,7,26,7,1,2,0,0,1,0,2,0
