contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Stadhuis, Korte Minrebroederstr. 2",0344::SB1,3512 GG,3308,2051,15,4,0,0,3,1943,124,0,0,0,0,0,0,2070,350,213,85,687,45,362,114,45,3,7,123,3,7,5,2
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Jacobikerk, St.-Jacobsstraat 171",0344::SB3,3511 BP,1336,867,4,4,0,0,2,805,68,0,0,0,0,0,0,875,117,86,74,242,62,100,77,32,6,10,57,0,1,1,2
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Kargadoor, Oudegracht 36",0344::SB4,3511 AP,1372,935,5,2,0,2,0,884,56,0,0,2,0,0,0,940,134,113,37,284,18,171,83,17,4,4,63,1,2,3,1
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Utrechtse School Wittevrouwenkade 4,0344::SB5,3512 CR,1231,930,5,1,0,0,0,900,36,0,0,0,0,0,0,936,124,118,29,318,24,173,71,12,1,2,51,0,3,3,1
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau School, Pieterskerkhof 10",0344::SB6,3512 JR,1738,1073,1,0,0,0,0,1003,72,0,1,0,1,0,0,1075,141,149,45,315,25,186,77,33,9,4,83,1,4,0,1
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Gymzaal, Nicolaasdwarsstraat 3",0344::SB7,3512 XG,1673,1073,2,1,0,1,0,987,91,0,1,0,2,0,0,1078,169,135,46,340,16,195,78,14,2,12,58,2,1,3,2
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Barth.Gasthuis, Lange Smeestraat 40",0344::SB8,3511 PZ,1476,1266,5,0,0,4,0,1177,98,0,0,0,4,0,0,1275,125,181,46,351,39,264,129,18,1,10,94,2,4,0,2
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau School, Laan van Puntenburg 2 A",0344::SB9,3511 ER,1128,638,1,0,0,0,0,589,50,0,0,0,0,0,0,639,127,80,27,209,17,90,37,8,2,4,32,2,1,2,0
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Kantoorgebouw,  A.v.Schendelstr 550",0344::SB10,3511 MH,1095,561,0,0,0,1,0,522,40,0,0,0,1,0,0,562,97,89,20,175,19,72,41,7,1,5,30,0,3,1,1
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Parkschool, Van Riebeeckstraat 40",0344::SB12,3531 EJ,2543,1111,9,2,0,0,1,1008,113,0,0,0,0,0,0,1122,93,181,50,354,30,224,80,18,4,7,59,1,2,3,5
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Kade Ateliers, Leidekade 117",0344::SB14,3531 HD,1423,773,3,5,0,0,3,728,50,0,0,0,0,0,0,781,73,104,33,225,21,166,65,17,1,3,57,1,4,2,1
,Utrecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau Gymzaal, Maetsuykerstraat 2",0344::SB15,3531 HS,2960,965,7,2,0,0,2,906,66,0,0,0,0,0,0,974,92,111,29,274,33,210,103,23,2,5,74,3,1,3,2
