contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stichting Welzijn&Zorg Doven WeZoDo,0637::SB1,2712 VD,2101,605,1,0,0,0,0,525,81,0,0,0,0,0,0,606,75,43,116,73,69,54,24,37,59,29,11,12,1,1,1
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gereformeerde Kerk Vrijgemaakt,0637::SB2,2712 KC,1397,762,3,3,0,0,0,706,63,0,0,0,1,0,0,769,104,61,110,105,67,78,22,63,61,30,42,12,4,0,3
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Woon- en Zorgcentrum De Morgenster,0637::SB3,2712 AT,1239,703,5,1,0,0,1,622,86,0,0,0,0,0,0,709,106,68,65,121,45,74,24,42,77,28,36,16,0,1,0
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Castellum Palensteyn,0637::SB6,2722 BN,2854,946,4,5,0,1,2,854,98,0,0,1,0,0,0,954,91,118,174,92,174,103,33,34,29,29,52,11,1,3,2
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Paulusschool,0637::SB7,2712 RN,1432,762,8,2,0,0,0,686,86,0,0,0,0,0,0,772,131,67,122,99,84,107,27,27,22,33,34,7,0,2,0
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Meervogels,0637::SB8,2712 PT,1502,328,1,0,0,0,0,291,38,0,0,0,0,0,0,329,41,29,70,30,38,43,13,20,12,10,7,11,1,3,0
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Recreatieruimte Bijdorp,0637::SB9,2713 SZ,1660,897,2,1,0,0,0,823,79,0,0,0,2,0,2,902,181,97,105,127,98,97,30,37,18,35,39,31,0,2,0
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Centrum voor Kunst en Cultuur,0637::SB10,2722 PC,1825,475,2,3,0,0,1,431,48,0,0,0,0,0,0,480,75,65,63,32,48,62,30,26,13,32,15,10,1,3,0
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeentehuis Driemanspolderzaal,0637::SB11,2711 CZ,1305,1107,4,4,0,0,1,996,118,0,0,0,0,0,0,1115,214,131,187,119,118,132,42,17,3,51,48,36,4,2,3
Leiden,Zoetermeer,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Recreatieruimte Flat De Leliënborgh,0637::SB12,2711 BG,1120,609,2,1,0,1,0,569,44,0,0,0,1,0,0,613,68,58,116,67,104,64,11,19,4,53,21,17,3,4,0
