contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Het Gemeentehuis,0352::SB1,3962 CL,1718,1281,11,4,0,2,0,1147,151,0,0,0,2,0,0,1298,258,121,147,177,120,157,167,17,16,42,47,0,9,2,1
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau E en E Gasthuis,0352::SB2,3961 CR,1552,675,1,3,0,0,0,613,66,0,0,0,0,0,0,679,90,44,96,63,109,49,136,23,6,27,23,2,5,1,1
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool De Werkschuit,0352::SB3,3962 JD,1817,1024,5,2,0,1,0,953,77,0,0,1,0,0,0,1030,191,86,103,162,119,100,135,39,7,31,41,0,4,2,4
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Revius Lyceum,0352::SB4,3962 KT,2426,1123,5,0,0,0,0,1006,122,0,0,0,0,0,0,1128,285,81,138,182,137,55,124,35,10,27,35,2,10,1,1
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool De Wegwijzer,0352::SB5,3962 AD,2039,880,1,0,0,0,0,803,78,0,0,0,0,0,0,881,165,78,119,105,97,74,121,37,9,23,44,0,6,2,0
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool Het Palet,0352::SB6,3961 EE,1465,641,3,2,0,0,0,576,70,0,0,0,0,0,0,646,112,64,50,107,81,38,101,29,4,26,16,1,12,0,0
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool 't baken,0352::SB7,3961 JJ,1428,773,2,4,0,1,0,697,83,0,0,0,1,0,0,780,144,69,62,111,84,41,146,29,9,33,36,1,7,1,0
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool De Regenboog,0352::SB8,3961 LA,1511,701,0,0,0,1,0,606,94,0,0,1,0,0,0,700,143,43,87,68,94,40,117,32,11,19,37,0,4,4,2
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau 't Dorpshuys van Cothen,0352::SB11,3945 CB,2371,1161,5,2,0,0,0,1033,135,0,0,0,0,0,0,1168,290,72,266,106,103,31,126,29,44,37,34,0,19,1,3
,Wijk bij Duurstede,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Langbroek,0352::SB12,3947 PG,1696,992,1,0,0,1,0,873,121,0,0,0,1,0,0,994,164,38,139,74,77,27,73,66,280,30,18,0,4,0,2
