contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Stadhuis,0216::SB1,,1431,892,10,3,0,0,2,799,103,0,0,1,0,0,0,904,146,95,72,76,93,168,115,33,7,46,19,1,2,1,3,5,6,4
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Koningin Beatrixschool,0216::SB2,,1370,437,2,0,0,0,0,391,48,0,0,0,0,0,0,439,74,49,41,38,30,79,54,19,4,26,11,1,1,0,5,1,3,1
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Jenaplanschool 't Praathuis,0216::SB3,,1210,658,4,0,0,0,0,597,67,0,0,0,2,0,0,664,43,85,39,25,78,95,179,19,12,58,8,1,2,0,2,10,1,1
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau 't Trefpunt,0216::SB4,,1442,580,0,3,0,0,0,500,83,0,0,0,0,0,0,583,58,60,62,96,86,83,57,15,13,20,21,0,0,2,1,3,2,1
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Elisabethhof,0216::SB5,,1375,738,2,0,0,0,60,677,2,0,0,0,0,0,0,739,127,90,129,67,37,108,75,29,4,28,34,0,2,0,0,1,7,0
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verzorgingshuis De Kulenburg,0216::SB6,,1747,701,0,0,0,0,0,652,49,0,0,0,0,0,0,701,85,60,127,108,60,91,46,40,9,21,31,0,2,1,1,4,10,5
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Basisschool De Palster,0216::SB7,,1639,553,1,0,0,0,0,499,55,0,0,0,0,0,0,554,63,74,72,84,95,62,38,25,1,18,8,0,1,2,0,3,6,1
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Koningin Julianaschool,0216::SB8,,1453,787,4,1,0,0,0,704,89,0,0,0,1,0,0,793,149,98,125,66,64,139,48,43,8,16,24,0,1,0,1,2,3,0
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Salaamander,0216::SB9,,1250,828,1,6,0,0,95,739,0,0,0,1,0,0,0,834,109,95,81,111,109,136,54,47,11,36,21,2,0,0,3,4,5,4
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gandhi-soos,0216::SB10,,1371,463,0,2,0,0,0,406,59,0,0,0,0,0,0,465,44,57,49,87,75,47,16,25,10,16,30,1,0,1,1,1,3,0
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Rode Kruisgebouw,0216::SB11,,1743,920,4,1,0,0,0,833,92,0,0,0,0,0,0,925,168,97,118,92,102,168,76,27,16,19,22,0,0,0,5,5,2,3
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Kleurrijk Wonen,0216::SB12,,171,202,0,1,0,0,1,176,26,0,0,0,0,0,0,203,20,19,27,13,24,31,42,14,2,9,1,0,0,0,0,0,0,0
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Augustinusschool,0216::SB13,,1603,722,2,4,0,0,0,637,91,0,0,0,0,0,0,728,120,73,91,80,65,124,73,31,6,25,13,2,0,0,1,5,9,4
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau BonVie,0216::SB14,,1634,1095,4,1,0,0,0,952,148,0,0,0,0,0,0,1100,237,84,146,133,71,172,81,53,22,40,31,1,3,2,2,1,10,6
Nijmegen,Culemborg,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Oranje Nassauschool,0216::SB15,,1198,546,5,0,0,0,0,477,73,0,0,1,0,0,0,550,143,44,69,45,31,124,42,16,8,16,6,0,0,1,0,1,0,0
