contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Gemeentehuis, Raadhuisplein 10, Haren",0017::SB1,9751AN,726,823,2,4,0,0,0,753,78,0,2,0,2,0,0,831,85,154,69,79,143,26,43,84,28,49,9,38,1,1,5,1,3,0,5
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Zorginstelling de Dilgt, Dilgtweg 2, Haren",0017::SB2,9751ND,1290,724,3,4,0,0,1,637,93,0,0,0,0,0,0,731,91,154,29,97,139,23,30,73,6,37,11,22,1,2,2,2,2,0,3
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Huize Maarwold, Nesciolaan 32, Haren",0017::SB3,9752HM,862,509,1,0,0,0,0,482,28,0,0,0,0,0,0,510,52,155,24,86,66,18,20,30,6,10,16,16,1,1,6,1,1,0,0
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Gemeentehuis II, Raadhuisplein 10, Haren",0017::SB4,9751AN,787,787,1,2,0,0,0,726,65,0,0,0,1,0,1,791,110,152,66,85,125,28,45,79,23,38,7,15,0,3,3,0,8,0,0
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Buurthuis de Mellenshorst, Waterhuizerweg 36, Haren",0017::SB5,9753HS,1239,878,0,0,0,0,0,807,71,0,0,0,0,0,0,878,127,71,146,82,99,45,82,73,32,53,11,33,0,3,10,1,6,0,4
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Huize Westerholm, Irenelaan 1, Haren",0017::SB6,9752LS,919,637,0,3,0,0,0,575,65,0,0,0,0,0,0,640,64,178,25,71,130,19,30,50,18,26,6,15,0,0,2,1,0,0,2
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Dorpshuis De Tiehof, Bakkerweg 4, Onnen",0017::SB8,9755PM,558,394,0,1,0,0,0,358,37,0,0,0,0,0,0,395,22,62,42,55,50,17,58,29,19,15,2,15,0,1,4,0,1,0,2
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Dorpshuis De Groenenberg, Markeweg 17, Glimmen",0017::SB9,9756BZ,1058,774,6,1,0,2,0,708,75,0,0,0,2,0,0,783,88,150,62,93,140,33,16,95,17,33,9,20,0,5,7,0,2,1,3
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Dorpshuis De Hoeksteen, Lageweg 45A, Noordlaren",0017::SB10,9479PL,463,328,0,1,0,0,2,286,41,0,0,0,0,0,0,329,56,79,24,20,45,15,10,43,8,9,1,9,1,4,1,0,3,0,0
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Koepel de Middelhorst, Parkweg 84, Haren",0017::SB11,9751CV,1321,700,2,0,0,0,0,650,52,0,0,0,0,0,0,702,84,108,76,52,144,40,61,40,16,34,4,25,0,1,7,1,1,0,6
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau OBS De Linde, Hertenlaan 21, Haren",0017::SB12,9751GA,1214,836,0,0,0,0,0,755,81,0,0,0,0,0,0,836,93,178,74,90,147,59,37,50,25,30,17,29,0,1,2,0,2,0,2
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Huize Zonnehof, Nesciolaan 115, Haren",0017::SB14,9752HW,990,492,3,2,0,0,0,460,37,0,0,0,0,0,0,497,50,93,29,94,76,27,36,35,8,8,10,12,0,1,9,0,0,1,3
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau OBS De Wissel, Mellenssteeg 16, Haren",0017::SB15,9753HN,1361,739,2,6,0,0,0,690,57,0,0,0,0,0,0,747,111,65,94,78,89,27,110,69,14,21,24,17,2,2,10,1,1,0,4
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Buurthuiskamer Sassenstate, Erasmuslaan 23, Haren",0017::SB16,9752PE,708,468,1,0,0,0,0,422,47,0,0,0,0,0,0,469,47,112,17,68,79,28,36,31,13,13,6,9,0,1,3,0,1,1,3
,Haren,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,"Stembureau Kerkboerderij, Oude Middelhorst 24, Haren",0017::SB17,9753BS,1169,875,2,2,0,0,0,798,81,0,0,0,0,0,0,879,104,73,115,102,141,33,108,78,14,37,17,27,0,2,8,0,7,0,9
