contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gemeentehuis,0285::SB1,7391 KA,1058,757,4,3,0,0,2,680,82,0,0,0,0,0,0,764,245,68,109,44,39,148,28,17,15,17,9,1,1,0,9,1,5,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Voorst,0285::SB2,7383 CG,839,419,0,1,0,0,0,387,33,0,0,0,0,0,0,420,97,38,67,41,27,67,20,8,1,16,18,1,1,0,5,2,9,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau 'De Benring',0285::SB3,7383 XC,1113,572,1,2,0,0,0,575,0,0,0,0,0,0,0,575,136,66,104,80,36,45,22,17,7,18,20,1,2,3,5,1,7,0,2
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Multifunctioneel Centrum 'De Pauw',0285::SB4,7382 CC,1027,522,0,3,0,0,0,469,56,0,0,0,0,0,0,525,121,43,171,24,31,52,20,8,5,16,15,0,2,0,8,0,3,3,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Vervallen,0285::SB5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Openb basisschool Wilp-Achterhoek,0285::SB6,7384 DE,714,399,1,0,0,0,0,352,48,0,0,0,0,0,0,400,114,24,126,30,15,48,8,7,6,8,9,0,1,0,2,0,0,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau 'Bethel',0285::SB7,7384 CS,869,306,0,0,0,0,0,284,22,0,0,0,0,0,0,306,108,13,68,18,23,36,8,6,3,7,7,0,0,1,1,3,3,0,1
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis 'de Pompe',0285::SB8,7384 BD,976,490,0,0,0,0,0,438,52,0,0,0,0,0,0,490,129,63,60,44,50,58,24,9,2,14,23,0,2,2,3,0,6,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Clubgebouw De Megafoon,0285::SB9,7392 AD,972,505,0,1,0,0,2,451,53,0,0,0,0,0,0,506,120,61,73,26,49,93,36,7,2,10,18,0,1,0,5,1,3,0,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Bibliotheek,0285::SB10,7391 DH,1368,656,2,2,0,0,0,610,50,0,0,0,0,0,0,660,116,78,114,87,61,85,19,15,8,18,34,0,2,0,6,2,8,2,1
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Martinusschool,0285::SB11,7391 AN,1059,504,4,0,0,0,0,473,35,0,0,0,0,0,0,508,94,52,120,30,60,78,19,0,13,12,9,1,3,0,6,3,3,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis 'op den Toega',0285::SB12,7395 PB,931,497,0,0,0,0,0,438,59,0,0,0,0,0,0,497,111,20,120,50,28,35,9,17,57,9,21,2,2,0,8,2,4,1,1
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Multifunctionele accommodatie Terwolde,0285::SB13,7396 NA,1484,713,1,2,0,0,0,663,54,0,1,0,1,0,0,717,152,89,87,65,74,107,43,19,17,26,23,0,1,1,3,1,4,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis 'de Arend',0285::SB14,7397 NH,643,406,1,0,0,0,0,361,46,0,0,0,0,0,0,407,77,14,101,27,12,26,7,21,88,17,5,1,0,0,4,2,2,1,1
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Notariskantoor,0285::SB15,7391 EN,1058,535,1,0,0,0,0,491,45,0,0,0,0,0,0,536,166,43,85,32,38,89,24,8,8,12,16,2,3,0,4,3,1,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Restaurant 'Korderijnk',0285::SB16,7391 EH,1437,664,2,1,0,0,0,609,58,0,0,0,0,0,0,667,123,54,150,53,87,72,33,16,8,18,28,1,1,0,10,0,9,1,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Kulturhus 'Jachtlust',0285::SB17,7391 BW,1010,580,1,2,0,0,0,537,46,0,0,0,0,0,0,583,83,86,121,42,65,75,20,14,19,16,26,1,1,2,6,0,2,0,1
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Martinushof,0285::SB18,7391 AG,1356,676,1,4,0,0,0,624,57,0,0,0,0,0,0,681,114,79,189,41,74,85,37,9,5,7,22,0,1,0,8,0,2,3,0
Arnhem,Voorst,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Christelijke basisschool 'de Oase',0285::SB19,7391 LK,1063,521,2,1,0,0,0,489,35,0,0,0,0,0,0,524,92,66,63,45,59,87,28,23,7,15,15,0,2,1,7,1,9,1,0
