contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentekantoor,1904::SB1,3601 GR,1492,955,3,2,0,0,2,841,117,0,0,0,0,0,0,960,222,80,136,191,88,50,54,30,8,48,39,1,3,2,3
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Woonzorgcentrum Maria Dommer,1904::SB2,3601 EX,1331,618,3,3,0,0,0,579,46,0,0,0,1,0,0,625,60,70,122,91,97,15,81,29,5,30,15,0,1,1,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool 't Palet(Troelstrastr.),1904::SB3,3601 WD,1392,655,2,4,0,0,0,583,78,0,0,0,0,0,0,661,84,56,117,88,88,28,67,35,9,50,28,1,2,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Merenhoef,1904::SB4,3601 AC,1446,854,0,1,0,0,0,760,101,0,0,0,6,0,0,861,203,56,169,103,92,50,53,40,6,46,27,0,6,0,3
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool 't Palet(Buitenweg),1904::SB5,3602 ZK,1243,798,1,0,0,0,1,699,99,0,0,0,0,0,0,799,198,94,104,184,67,41,47,14,2,21,20,1,5,0,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Restaurant Belle,1904::SB6,3611 AE,1248,679,0,1,0,0,0,598,82,0,0,0,0,0,0,680,281,57,46,142,57,29,16,7,2,17,22,1,0,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau CBS de Klaroen(Ds Ulferslaan),1904::SB7,3612 BH,1426,709,0,4,0,0,0,619,95,0,1,0,1,0,0,714,140,39,134,101,83,53,56,18,20,14,43,0,4,2,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool Het Kompas,1904::SB8,3603 AZ,1364,815,7,0,0,1,0,714,107,0,0,1,0,0,0,821,223,64,128,164,71,42,27,35,3,29,27,0,0,2,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau WereldKidz Palet(ingang Bolens),1904::SB9,3603 CN,1621,913,2,3,0,0,0,826,92,0,0,0,0,0,0,918,281,73,109,206,69,59,28,23,1,27,34,0,1,1,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau KBS De Wilde Wingerd,1904::SB10,3608 TK,1326,659,2,1,0,0,0,617,45,0,0,0,0,0,0,662,67,57,70,101,125,19,124,32,1,21,37,1,2,1,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Shelter Scouting naast ambulance,1904::SB11,3607 BX,1324,657,3,1,0,1,1,615,46,0,0,0,1,0,0,662,132,36,73,115,94,38,63,14,9,37,30,2,13,0,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Wereldkidz Tweesprong  Fazantenkamp,1904::SB12,3607 CH,1684,848,5,1,0,0,0,755,99,0,0,0,0,0,0,854,168,81,88,128,136,53,76,30,9,35,39,0,5,0,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau WereldKidz Tweesprong Duivenkamp,1904::SB13,3607 BL,1696,669,3,1,0,0,0,607,66,0,0,0,0,0,0,673,77,84,69,83,132,23,103,20,3,42,24,1,3,1,4
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RK Verrijzenisgemeenschap,1904::SB14,3607 JG,1745,879,4,2,0,0,0,799,86,0,0,0,0,0,0,885,141,90,71,120,137,54,107,30,5,53,51,2,7,7,4
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Werkspecht,1904::SB15,3607 KN,1266,530,1,2,0,2,0,484,51,0,0,0,2,0,0,535,58,62,41,90,103,23,71,19,5,25,22,1,8,2,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Valkenier,1904::SB16,3607 MJ,1632,716,0,2,0,0,1,644,73,0,0,0,0,0,0,718,130,72,105,125,103,32,53,20,0,33,34,0,5,3,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau KBS Franciscus, gymzaal nst Schuurt",1904::SB17,3607 NZ,1847,655,4,1,0,0,0,594,66,0,0,0,0,0,0,660,122,56,51,82,139,27,73,29,7,31,24,1,11,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Willem van Hoornhof,1904::SB18,3605 GP,1569,557,6,2,0,0,0,495,70,0,0,0,0,0,0,565,61,49,41,66,130,32,79,14,9,38,30,0,3,0,5
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool De Kameleon,1904::SB19,3605 ED,1348,451,3,3,0,0,0,389,68,0,0,0,0,0,0,457,58,40,39,45,96,16,77,23,2,24,23,2,4,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Zwembad Safari,1904::SB20,3605 JM,1988,857,4,8,0,0,0,781,88,0,0,0,0,0,0,869,132,68,85,132,174,30,116,22,7,44,35,2,6,3,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Basisschool Het Kompas,1904::SB21,3602 ZK,1223,666,0,2,0,0,0,601,67,0,0,0,0,0,0,668,173,62,90,133,69,38,48,18,4,18,9,1,2,1,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentelijke Sporthal,1904::SB22,3621 LN,1686,910,1,2,0,0,0,821,92,0,0,0,0,0,0,913,256,59,102,196,82,41,62,27,14,24,31,4,10,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis Boom en Bosch,1904::SB23,3621 AB,1832,858,1,2,0,0,0,748,113,0,0,0,0,0,0,861,272,53,100,137,85,31,56,27,46,17,29,0,3,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Woonzorgcentrum De Aa / Driestroom,1904::SB24,3621 VV,1636,766,3,5,0,2,0,714,62,0,0,0,2,0,0,776,110,68,140,103,97,23,97,20,18,57,24,1,7,0,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS de Regenboog,1904::SB25,3621 WS,841,567,0,1,0,0,0,511,57,0,0,0,0,0,0,568,133,45,67,117,40,40,45,29,15,13,16,2,5,0,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Wijkcentrum Over-Noord,1904::SB26,3621 HH,1815,1183,0,2,0,0,0,1074,111,0,0,0,0,0,0,1185,262,101,147,212,102,67,110,45,44,50,31,2,5,1,4
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Ons Genoegen,1904::SB27,3626 AV,661,473,0,0,0,0,0,389,84,0,0,0,0,0,0,473,69,6,97,35,23,8,12,51,152,8,8,1,0,2,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Brandweerkazerne,1904::SB28,3628 AZ,1113,770,2,1,0,0,0,651,122,0,0,0,0,0,0,773,114,29,216,74,48,22,18,70,125,17,15,2,16,0,4
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Zorgcentrum Overdorp,1904::SB29,3628 BX,1450,895,0,3,0,0,0,815,82,0,0,1,0,0,0,897,104,42,219,73,78,30,47,123,78,21,28,1,43,1,7
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Verzorgingstehuis 't Kampje,1904::SB31,3632 BK,1861,1093,2,2,0,0,0,953,144,0,0,0,0,0,0,1097,403,67,161,154,50,27,45,46,31,64,37,0,3,0,5
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Nigtevecht,1904::SB32,1393 NV,1158,690,4,0,0,0,0,613,81,0,0,0,0,0,0,694,156,57,85,127,53,27,39,18,16,73,29,0,8,1,1
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Dorpshuis Vreeland,1904::SB33,3633 CT,1380,935,1,3,0,0,0,846,93,0,0,0,0,0,0,939,273,62,128,176,66,35,35,15,26,81,25,2,9,0,2
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Montessorischool Loenersloot,1904::SB34,3634 AS,409,287,2,0,0,0,0,265,24,0,0,0,0,0,0,289,64,13,53,44,14,22,16,11,9,23,13,1,4,0,0
,Stichtse Vecht,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Boomgaard,1904::SB35,3632 TC,1712,1026,3,3,0,0,0,946,90,0,0,0,4,0,0,1036,200,75,136,136,121,32,123,48,25,81,46,1,2,0,0
