contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Hanzeheerd Brinkhoven,0246::SB1,8181 DB,1426,822,3,1,0,1,1,744,80,0,0,1,0,0,0,825,99,58,215,87,76,65,12,135,25,13,31,0,0,0,2,1,3,0,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Raadhuis,0246::SB2,8181 HL,1542,752,3,0,0,0,0,683,72,0,0,0,0,0,0,755,82,93,167,80,64,63,17,124,16,23,20,1,0,0,0,1,0,0,1
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Peuterpret,0246::SB3,8181 CH,1170,576,0,3,0,0,0,532,47,0,0,0,0,0,0,579,77,64,111,79,67,36,14,72,8,15,24,2,2,0,3,0,0,2,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Rhijnsberg,0246::SB4,8181 XW,1488,904,2,1,0,0,0,850,57,0,0,0,0,0,0,907,129,74,217,85,53,75,23,166,27,23,21,3,1,1,0,0,3,2,1
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Wendhorst,0246::SB5,8181 ET,1786,786,2,0,0,0,0,698,90,0,0,0,0,0,0,788,125,62,172,64,72,71,20,137,25,10,19,2,1,0,2,3,1,0,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Horsthoek,0246::SB6,8181 RE,865,443,1,0,0,3,0,384,57,0,0,3,0,0,0,441,76,29,84,45,16,37,24,97,5,14,12,0,1,0,0,0,3,0,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Jenaplanschool,0246::SB7,8181 LE,937,509,2,1,0,0,0,468,44,0,0,0,0,0,0,512,98,47,93,58,43,49,16,52,9,19,15,0,1,2,2,1,1,2,1
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau de Boerbrink,0246::SB8,8194 LT,677,404,0,0,0,0,0,365,39,0,0,0,0,0,0,404,73,41,86,33,26,40,22,33,16,13,9,0,1,0,4,0,4,2,1
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Hervormd Verenigingsgebouw,0246::SB9,8191 LS,1402,777,2,2,0,0,0,711,70,0,0,0,0,0,0,781,88,31,125,47,38,27,10,281,81,18,13,3,6,0,2,4,1,2,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Rehoboth,0246::SB10,8191 JE,962,503,1,0,0,1,0,453,52,0,0,0,1,0,0,505,105,40,71,35,28,54,18,104,26,9,9,2,0,0,0,0,2,0,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Hof van Cramer,0246::SB11,8191 AZ,1162,475,0,3,0,0,0,432,46,0,0,0,0,0,0,478,33,50,64,51,39,26,5,138,39,9,18,0,0,1,2,0,0,0,0
Arnhem,Heerde,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Het Drieluik,0246::SB12,8191 XT,1178,635,0,1,0,1,0,577,60,0,0,0,1,0,0,637,44,38,91,59,72,39,17,189,39,13,23,0,4,0,2,1,2,2,0
